dataset,target,train_favor_pct,train_against_pct,train_neutral_pct,train_total,test_favor_pct,test_against_pct,test_neutral_pct,test_total
covid,face_masks,50.92,49.08,0.0,1202.0,50.94,49.06,0.0,159.0
covid,fauci,44.67,55.33,0.0,985.0,44.44,55.56,0.0,117.0
covid,school_closures,71.11,28.89,0.0,720.0,71.03,28.97,0.0,145.0
covid,stay_at_home_orders,32.28,67.72,0.0,505.0,31.76,68.24,0.0,85.0
pstance,Bernie Sanders,56.38,43.62,0.0,5690.0,54.02,45.98,0.0,635.0
pstance,Donald Trump,46.14,53.86,0.0,7176.0,45.3,54.7,0.0,777.0
pstance,Joe Biden,43.96,56.04,0.0,6551.0,45.23,54.77,0.0,745.0
semeval,Atheism,23.23,76.77,0.0,396.0,16.67,83.33,0.0,192.0
semeval,Climate Change is a Real Concern,93.39,6.61,0.0,227.0,91.79,8.21,0.0,134.0
semeval,Donald Trump,33.13,66.87,0.0,335.0,33.04,66.96,0.0,112.0
semeval,Feminist Movement,39.03,60.97,0.0,538.0,24.07,75.93,0.0,241.0
semeval,Hillary Clinton,23.09,76.91,0.0,511.0,20.74,79.26,0.0,217.0
semeval,Legalization of Abortion,25.42,74.58,0.0,476.0,19.57,80.43,0.0,235.0
covid,Total,50.62,49.38,0.0,3412.0,51.98,48.02,0.0,506.0
pstance,Total,48.41,51.59,0.0,19417.0,47.84,52.16,0.0,2157.0
semeval,Total,34.8,65.2,0.0,2483.0,30.15,69.85,0.0,1131.0
