feature,shap_importance,iteration,stance,model
type_token_ratio,0.9357142451491481,4,AGAINST,Logistic Regression
function_word_ratio,0.7816032789900756,4,AGAINST,Logistic Regression
joy,0.6629656309648883,4,AGAINST,Logistic Regression
hapax_legomena,0.65064516100565,4,AGAINST,Logistic Regression
sentence_count,0.5822299647303716,4,AGAINST,Logistic Regression
hedges_score,0.5314387218257661,4,AGAINST,Logistic Regression
adv_ratio,0.47699742789400756,4,AGAINST,Logistic Regression
verb_ratio,0.4603442626819459,4,AGAINST,Logistic Regression
sentiment_subjectivity,0.4555892027497117,4,AGAINST,Logistic Regression
doubt_adjectives_count,0.3812599160891909,4,AGAINST,Logistic Regression
sentence_length_variation,0.34637548896012926,4,AGAINST,Logistic Regression
anger,0.34263334449732097,4,AGAINST,Logistic Regression
sentiment_polarity,0.324282091900532,4,AGAINST,Logistic Regression
C_ratio,0.3219082853637717,4,AGAINST,Logistic Regression
stopword_ratio,0.3075522399974168,4,AGAINST,Logistic Regression
certainty_adverbs_count,0.29193219368192225,4,AGAINST,Logistic Regression
doubt_adverbs_count,0.2729865341295231,4,AGAINST,Logistic Regression
certainty_adjectives_count,0.25415971661476555,4,AGAINST,Logistic Regression
punctuation_density,0.21271419103772274,4,AGAINST,Logistic Regression
hedge_C_count,0.21217970276440426,4,AGAINST,Logistic Regression
N_ratio,0.20668115018435215,4,AGAINST,Logistic Regression
surprise,0.18520489803414586,4,AGAINST,Logistic Regression
hedge_N_count,0.1471036350707029,4,AGAINST,Logistic Regression
avg_word_length,0.14210024145352626,4,AGAINST,Logistic Regression
certainty_verbs_count,0.1363049361599294,4,AGAINST,Logistic Regression
adj_ratio,0.11285457223774938,4,AGAINST,Logistic Regression
readability_score,0.11211202370158206,4,AGAINST,Logistic Regression
D_ratio,0.10886262739086441,4,AGAINST,Logistic Regression
noun_ratio,0.10270509527657352,4,AGAINST,Logistic Regression
sadness,0.09547033069869251,4,AGAINST,Logistic Regression
hedge_D_count,0.08392297347119052,4,AGAINST,Logistic Regression
pronoun_ratio,0.0786321878028625,4,AGAINST,Logistic Regression
hedge_E_count,0.07745246274417764,4,AGAINST,Logistic Regression
std_word_length,0.07394437753175649,4,AGAINST,Logistic Regression
doubt_verbs_count,0.05940890027927808,4,AGAINST,Logistic Regression
word_count,0.048216335371636714,4,AGAINST,Logistic Regression
punctuation_usage,0.04688428060683627,4,AGAINST,Logistic Regression
subordinate_clause_ratio,0.04378522806751418,4,AGAINST,Logistic Regression
fear,0.043261546576286315,4,AGAINST,Logistic Regression
E_ratio,0.015908550671200023,4,AGAINST,Logistic Regression
hedge_I_count,0.015250929016632551,4,AGAINST,Logistic Regression
disgust,0.011802524161436562,4,AGAINST,Logistic Regression
I_ratio,0.00967329673173012,4,AGAINST,Logistic Regression
avg_dependency_depth,0.0,4,AGAINST,Logistic Regression
