feature,shap_importance,linear_importance,linear_std,linear_count,_merge,shap_rank,linear_rank,overlap_status
avg_word_length,0.551609,0.9503442391352733,0.4008398829975981,13.0,both,1.0,1.0,Both methods
type_token_ratio,0.409812,0.48394176495073543,0.21448252114747846,13.0,both,2.0,4.0,Both methods
function_word_ratio,0.322675,0.5705732013792841,0.3304444114141673,13.0,both,3.0,2.0,Both methods
hapax_legomena,0.315348,0.4566345170336076,0.19437576259041683,13.0,both,4.0,6.0,Both methods
noun_ratio,0.280706,0.527194186963164,0.27405231832917876,13.0,both,5.0,3.0,Both methods
std_word_length,0.276956,0.4700462523414173,0.15329761012438564,13.0,both,6.0,5.0,Both methods
verb_ratio,0.223301,0.22766787612445943,0.11888228120929009,13.0,both,7.0,18.0,Both methods
word_count,0.211421,0.24301489905896234,0.22942014683259307,13.0,both,8.0,16.0,Both methods
adj_ratio,0.205178,0.290243054647784,0.14372763825372883,13.0,both,9.0,13.0,Both methods
stopword_ratio,0.20315,0.1847123986544452,0.1288470504993659,13.0,both,10.0,21.0,Both methods
fear,0.173071,0.33567544350464473,0.21104683460990828,13.0,both,11.0,10.0,Both methods
certainty_adjectives_count,0.168424,0.204399610382932,0.0894522251460356,13.0,both,12.0,19.0,Both methods
hedge_C_count,0.157938,0.26225491741537543,0.22041853925912508,13.0,both,13.0,14.0,Both methods
N_ratio,0.149862,0.4397146786523262,0.17417798402746654,13.0,both,14.0,7.0,Both methods
joy,0.147842,0.25989447986634046,0.10142949815233887,13.0,both,15.0,15.0,Both methods
C_ratio,0.131989,0.32884409622592786,0.16962195616682094,13.0,both,16.0,11.0,Both methods
hedge_N_count,0.109395,0.32497130017245407,0.19176086209747237,13.0,both,17.0,12.0,Both methods
sentiment_subjectivity,0.10405,0.16001335679957926,0.11256865626806709,13.0,both,18.0,25.0,Both methods
punctuation_density,0.103551,0.12452489753311695,0.07921199377552018,13.0,both,19.0,31.0,Both methods
anger,0.098158,0.15953429080964524,0.10172234106935428,13.0,both,20.0,26.0,Both methods
certainty_verbs_count,0.097359,0.17291674789464542,0.12952011441765893,13.0,both,21.0,23.0,Both methods
sentiment_polarity,0.087633,0.0804874535976812,0.059510704929857924,13.0,both,22.0,38.0,Both methods
adv_ratio,0.083171,0.1777904269204504,0.10550933645161696,13.0,both,23.0,22.0,Both methods
sentence_count,0.08077,0.23552053630397454,0.1251496572715928,13.0,both,24.0,17.0,Both methods
hedge_E_count,0.072654,0.20108745177975845,0.08769138893919844,13.0,both,25.0,20.0,Both methods
hedges_score,0.07233,0.15909470008716875,0.09225411552067377,13.0,both,26.0,27.0,Both methods
pronoun_ratio,0.070638,0.0721966819807841,0.047270792882762785,13.0,both,27.0,42.0,Both methods
subordinate_clause_ratio,0.069724,0.0870563516705014,0.038898407073785606,13.0,both,28.0,37.0,Both methods
hedge_D_count,0.069599,0.13527908258133128,0.07407445795112323,13.0,both,29.0,30.0,Both methods
sadness,0.064574,0.10945563637527932,0.07884712473126732,13.0,both,30.0,33.0,Both methods
punctuation_usage,0.057005,0.1545749545749375,0.07296240467984128,13.0,both,31.0,28.0,Both methods
readability_score,0.055618,0.09135615612431877,0.06156181913173811,13.0,both,32.0,34.0,Both methods
sentence_length_variation,0.055113,0.07213645146290262,0.05461436445614034,13.0,both,33.0,43.0,Both methods
E_ratio,0.050344,0.14813945882903853,0.0963291708365133,13.0,both,34.0,29.0,Both methods
doubt_adverbs_count,0.050323,0.07653074226737412,0.04829300024452433,13.0,both,35.0,39.0,Both methods
doubt_adjectives_count,0.048718,0.17135567028326842,0.0871979384225892,13.0,both,36.0,24.0,Both methods
surprise,0.046245,0.11774113152447015,0.0964680926234629,13.0,both,37.0,32.0,Both methods
certainty_adverbs_count,0.038391,0.07503955150496666,0.06805899203897457,13.0,both,38.0,40.0,Both methods
I_ratio,0.035378,0.4087861089696875,0.16305787295390956,13.0,both,39.0,9.0,Both methods
doubt_verbs_count,0.031061,0.09127184597550556,0.050332122426828156,13.0,both,40.0,35.0,Both methods
disgust,0.030114,0.08892175611135171,0.08664963987159661,13.0,both,41.0,36.0,Both methods
D_ratio,0.029939,0.07233060063473053,0.04752250352331057,13.0,both,42.0,41.0,Both methods
hedge_I_count,0.021687,0.4097025173386102,0.157071330281894,13.0,both,43.0,8.0,Both methods
avg_dependency_depth,0.0,,,,left_only,44.0,44.0,SHAP only
