stance,quartile,n_features,mean_directional_avg,mean_directional_std,positive_ratio_avg,negative_ratio_avg,direction_strength_avg,features_list
All_Stances,Q1,8,-0.0016957960145329628,0.07247545691706415,0.5098872364765484,0.4901127635234515,0.12903227476523385,"type_token_ratio, avg_word_length, word_count, hapax_legomena, fear, hedge_C_count, noun_ratio, std_word_length"
All_Stances,Q2,10,0.00149089525035026,0.016488279441916345,0.4339271122732472,0.5660728877267528,0.053184685527985706,"stopword_ratio, punctuation_density, verb_ratio, function_word_ratio, sentence_count, certainty_adjectives_count, C_ratio, hedge_N_count, N_ratio, joy"
All_Stances,Q3,10,9.175044672183005e-05,0.0042094412773589105,0.5292531459388788,0.47074685406112116,0.02810211503818365,"adj_ratio, doubt_adverbs_count, hedges_score, surprise, pronoun_ratio, certainty_adverbs_count, hedge_D_count, sentiment_subjectivity, certainty_verbs_count, doubt_adjectives_count"
All_Stances,Q4,15,-0.0016430684230302603,0.001963637596472764,0.500321403279403,0.4894154818325434,0.025124923031701576,"anger, readability_score, subordinate_clause_ratio, adv_ratio, punctuation_usage, E_ratio, sadness, hedge_E_count, D_ratio, sentence_length_variation, sentiment_polarity, doubt_verbs_count, disgust, hedge_I_count, I_ratio"
FAVOR,Q1,10,-0.0024077461495782193,0.053255073956926136,0.5598297213622291,0.4401702786377708,0.05546610802400974,"type_token_ratio, noun_ratio, hapax_legomena, punctuation_density, sentence_count, pronoun_ratio, word_count, stopword_ratio, doubt_adverbs_count, certainty_verbs_count"
FAVOR,Q2,8,-0.0013303213484669005,0.022453225453492938,0.5638544891640866,0.4361455108359133,0.031026693702830246,"function_word_ratio, fear, avg_word_length, adj_ratio, verb_ratio, certainty_adverbs_count, anger, hedge_C_count"
FAVOR,Q3,11,-0.012422103045256417,0.018313154821545274,0.4589079650999155,0.5410920349000844,0.050092914291048785,"sentiment_polarity, std_word_length, surprise, joy, hedge_E_count, punctuation_usage, adv_ratio, hedge_D_count, readability_score, hedge_N_count, D_ratio"
FAVOR,Q4,14,-0.00366051571627365,0.00956783938873938,0.484077841662981,0.44007076514816446,0.03186880548577694,"subordinate_clause_ratio, hedges_score, sentiment_subjectivity, doubt_adjectives_count, certainty_adjectives_count, N_ratio, sentence_length_variation, C_ratio, sadness, E_ratio, doubt_verbs_count, disgust, I_ratio, hedge_I_count"
AGAINST,Q1,8,0.002190805970350325,0.046767085220520234,0.4983576642335766,0.5016423357664234,0.05656612668156858,"punctuation_density, function_word_ratio, fear, anger, type_token_ratio, verb_ratio, noun_ratio, sentence_count"
AGAINST,Q2,8,0.011696620016886549,0.01910368323111093,0.5028284671532847,0.49717153284671534,0.03411922571653345,"hapax_legomena, adv_ratio, hedge_C_count, hedges_score, doubt_adverbs_count, avg_word_length, surprise, joy"
AGAINST,Q3,11,-0.0015011600007301638,0.012878070670045219,0.579960185799602,0.4197743861977438,0.0327826252145513,"readability_score, sentence_length_variation, adj_ratio, pronoun_ratio, C_ratio, punctuation_usage, hedge_E_count, word_count, certainty_verbs_count, N_ratio, hedge_D_count"
AGAINST,Q4,16,-0.004842108518693074,0.009978742214803249,0.5553375912408759,0.44466240875912405,0.030512082577457023,"stopword_ratio, sentiment_subjectivity, subordinate_clause_ratio, sadness, certainty_adjectives_count, std_word_length, certainty_adverbs_count, hedge_N_count, D_ratio, disgust, doubt_adjectives_count, E_ratio, sentiment_polarity, doubt_verbs_count, hedge_I_count, I_ratio"
NONE,Q1,7,-0.005921554889206857,0.01876810543648445,0.5180732811856731,0.4819267188143269,0.03531373766736333,"avg_word_length, type_token_ratio, function_word_ratio, hapax_legomena, noun_ratio, std_word_length, fear"
NONE,Q2,10,-0.004990372406714779,0.015822768012056763,0.4039481268011527,0.5960518731988472,0.04499493609090259,"verb_ratio, word_count, adj_ratio, stopword_ratio, certainty_adjectives_count, hedge_C_count, N_ratio, joy, C_ratio, hedge_N_count"
NONE,Q3,11,-0.001639750956975968,0.007889513885459996,0.5492795389048991,0.45072046109510083,0.039260483881987,"sentiment_subjectivity, punctuation_density, anger, certainty_verbs_count, adv_ratio, sentence_count, hedge_E_count, hedges_score, hedge_D_count, sadness, punctuation_usage"
NONE,Q4,15,-0.0004263076451647799,0.004715134201045936,0.5109702209414025,0.4800768491834775,0.026657686355576478,"sentiment_polarity, pronoun_ratio, subordinate_clause_ratio, readability_score, sentence_length_variation, E_ratio, doubt_adverbs_count, doubt_adjectives_count, surprise, certainty_adverbs_count, I_ratio, doubt_verbs_count, disgust, D_ratio, hedge_I_count"
