feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
doubt_adverbs_count,0.2021568269031334,,0.2612,0.2982,0.2612 ± 0.5419,0.2982 ± 0.5845,0.053611401468515396
word_count*,2.0093612526520186e-05,*,27.7507,25.0026,27.7507 ± 13.3518,25.0026 ± 11.6014,0.04839553311467171
doubt_adjectives_count,0.35515361791147104,,0.1385,0.1214,0.1385 ± 0.375,0.1214 ± 0.3464,0.04162946715950966
certainty_adverbs_count*,0.01060039129293847,*,0.1781,0.1253,0.1781 ± 0.4376,0.1253 ± 0.3618,0.0326814241707325
sentiment_subjectivity*,0.02969483629272398,*,0.3161,0.2818,0.3161 ± 0.3152,0.2818 ± 0.2997,0.032256945967674255
hedges_score,0.8379335931621739,,0.157,0.1607,0.157 ± 0.3504,0.1607 ± 0.3534,0.03172345831990242
type_token_ratio*,2.1107570022131378e-10,*,0.8719,0.9019,0.8719 ± 0.0995,0.9019 ± 0.0821,0.031127432361245155
D_ratio,0.16078019251690842,,0.0015,0.0022,0.0015 ± 0.0085,0.0022 ± 0.0107,0.02953234873712063
verb_ratio*,0.01641486530675738,*,0.1122,0.1211,0.1122 ± 0.0722,0.1211 ± 0.0706,0.02944665215909481
hedge_C_count*,0.0001116112614432313,*,20.934,18.9274,20.934 ± 11.2466,18.9274 ± 8.7676,0.028390273451805115
joy,0.07978597357421194,,0.0986,0.0826,0.0986 ± 0.1892,0.0826 ± 0.1674,0.027800170704722404
sentence_length_variation*,0.021993526314922542,*,2.7851,2.3611,2.7851 ± 3.7788,2.3611 ± 3.4104,0.027694376185536385
C_ratio,0.25604061671739814,,0.9916,0.9902,0.9916 ± 0.0228,0.9902 ± 0.0248,0.027649519965052605
sentence_count,0.17577400636204504,,1.934,1.8496,1.934 ± 1.2157,1.8496 ± 1.2114,0.027252519503235817
subordinate_clause_ratio,0.7222859570827753,,0.0419,0.0428,0.0419 ± 0.0481,0.0428 ± 0.0474,0.027119124308228493
std_word_length,0.5290131452943312,,3.5928,3.5614,3.5928 ± 1.0326,3.5614 ± 0.9037,0.027080193161964417
certainty_adjectives_count*,0.01693482286617357,*,0.2968,0.2309,0.2968 ± 0.593,0.2309 ± 0.4747,0.02684175781905651
hapax_legomena*,1.346089826385991e-08,*,0.7885,0.8291,0.7885 ± 0.1449,0.8291 ± 0.132,0.02626565657556057
stopword_ratio,0.059808228836129275,,0.245,0.2327,0.245 ± 0.1307,0.2327 ± 0.1224,0.025638557970523834
sadness,0.21229361636354063,,0.0839,0.0949,0.0839 ± 0.1661,0.0949 ± 0.175,0.025188719853758812
N_ratio,0.49146802194699957,,0.0036,0.0031,0.0036 ± 0.0159,0.0031 ± 0.0144,0.025038503110408783
sentiment_polarity,0.5463679409584975,,0.057,0.0493,0.057 ± 0.2642,0.0493 ± 0.2259,0.02423088066279888
noun_ratio,0.18588610868454616,,0.4024,0.4125,0.4024 ± 0.1498,0.4125 ± 0.1474,0.02411731332540512
anger,0.061645077260950205,,0.1633,0.1411,0.1633 ± 0.2439,0.1411 ± 0.2163,0.023634569719433784
pronoun_ratio*,0.0035863237673074994,*,0.0372,0.0304,0.0372 ± 0.0482,0.0304 ± 0.0435,0.02359894849359989
readability_score,0.06803719524103567,,9.8002,9.3862,9.8002 ± 4.8257,9.3862 ± 3.96,0.023037869483232498
surprise*,0.00853539604632494,*,0.0905,0.1124,0.0905 ± 0.1568,0.1124 ± 0.1671,0.022850757464766502
avg_word_length,0.2091352132060634,,4.657,4.7133,4.657 ± 0.8656,4.7133 ± 0.8786,0.022665370255708694
function_word_ratio,0.2605925762109645,,0.2979,0.2895,0.2979 ± 0.1515,0.2895 ± 0.14,0.022271620109677315
punctuation_density,0.6349414231234175,,0.3555,0.3598,0.3555 ± 0.181,0.3598 ± 0.1716,0.021888773888349533
disgust,0.8137509974283892,,0.0114,0.0106,0.0114 ± 0.071,0.0106 ± 0.0624,0.021874289959669113
punctuation_usage,0.7901691413571036,,0.0823,0.0832,0.0823 ± 0.0716,0.0832 ± 0.0587,0.021725811064243317
fear,0.21994489204991496,,0.4046,0.3806,0.4046 ± 0.3814,0.3806 ± 0.3817,0.021396270021796227
adj_ratio,0.9605656469188121,,0.0585,0.0584,0.0585 ± 0.0499,0.0584 ± 0.0494,0.02097100391983986
certainty_verbs_count*,5.290507888077684e-05,*,0.434,0.2916,0.434 ± 0.7591,0.2916 ± 0.6001,0.01932920329272747
adv_ratio,0.9185510375617941,,0.0283,0.0281,0.0283 ± 0.0417,0.0281 ± 0.0397,0.018549980595707893
hedge_N_count,0.5126664258788673,,0.0884,0.0765,0.0884 ± 0.3544,0.0765 ± 0.3516,0.015493233688175678
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
hedge_D_count,0.9131148864579051,,0.0462,0.0449,0.0462 ± 0.2605,0.0449 ± 0.2071,
doubt_verbs_count,0.8513911056942518,,0.0198,0.0185,0.0198 ± 0.1394,0.0185 ± 0.1347,
hedge_E_count,0.4623606112553401,,0.066,0.0765,0.066 ± 0.2832,0.0765 ± 0.2758,
hedge_I_count,0.4907084024996706,,0.0053,0.0092,0.0053 ± 0.0725,0.0092 ± 0.1405,
E_ratio,0.1479819199905301,,0.0031,0.0042,0.0031 ± 0.0138,0.0042 ± 0.0165,
I_ratio,0.6139478551529579,,0.0002,0.0003,0.0002 ± 0.0027,0.0003 ± 0.0046,
