feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
word_count*,7.088147620973564e-14,*,36.3109,26.2383,36.3109 ± 14.3439,26.2383 ± 10.8774,0.12591461837291718
C_ratio,0.7022349623582226,,0.9907,0.9915,0.9907 ± 0.0198,0.9915 ± 0.0221,0.08087135851383209
hedge_C_count*,2.15333639855069e-13,*,28.4197,20.1969,28.4197 ± 11.8711,20.1969 ± 9.1903,0.05360427126288414
certainty_adverbs_count*,5.8478549192128363e-05,*,0.3368,0.1347,0.3368 ± 0.5823,0.1347 ± 0.3715,0.049974750727415085
hedges_score,0.19971827842891948,,0.2193,0.1698,0.2193 ± 0.3966,0.1698 ± 0.3583,0.042701780796051025
avg_word_length*,8.165875502214143e-07,*,4.2863,4.6443,4.2863 ± 0.5691,4.6443 ± 0.8124,0.04000545293092728
hapax_legomena*,4.2107636683694656e-10,*,0.7441,0.8263,0.7441 ± 0.1244,0.8263 ± 0.1275,0.034492917358875275
doubt_adverbs_count,0.4563870970224825,,0.3212,0.3679,0.3212 ± 0.5405,0.3679 ± 0.6804,0.03217409923672676
type_token_ratio*,1.5138235649908183e-11,*,0.8443,0.9025,0.8443 ± 0.0881,0.9025 ± 0.0757,0.031734365969896317
readability_score,0.9169312924367641,,9.6074,9.5627,9.6074 ± 4.4253,9.5627 ± 3.99,0.031505633145570755
pronoun_ratio*,1.4028669094340092e-06,*,0.0509,0.0297,0.0509 ± 0.0471,0.0297 ± 0.0373,0.029604457318782806
sentiment_polarity,0.2065660787723475,,0.0995,0.065,0.0995 ± 0.2911,0.065 ± 0.2426,0.029306218028068542
function_word_ratio*,2.9523815926589125e-05,*,0.3631,0.3074,0.3631 ± 0.1283,0.3074 ± 0.1308,0.027599722146987915
punctuation_usage,0.19694423717024861,,0.0766,0.0851,0.0766 ± 0.0702,0.0851 ± 0.0591,0.027245769277215004
surprise*,2.8808230132126005e-05,*,0.0705,0.1437,0.0705 ± 0.1423,0.1437 ± 0.1934,0.026819370687007904
punctuation_density*,1.4367514727402334e-07,*,0.2592,0.3419,0.2592 ± 0.1353,0.3419 ± 0.1662,0.026625683531165123
sadness,0.42225840833425743,,0.0689,0.0821,0.0689 ± 0.1523,0.0821 ± 0.1702,0.026315979659557343
stopword_ratio*,3.1077303456267945e-07,*,0.3076,0.2479,0.3076 ± 0.1148,0.2479 ± 0.1104,0.024967072531580925
sentence_length_variation*,3.82135957745313e-05,*,4.5213,2.7655,4.5213 ± 4.3786,2.7655 ± 3.8857,0.02316964976489544
disgust,0.38563041900520423,,0.0112,0.0182,0.0112 ± 0.0547,0.0182 ± 0.098,0.020740842446684837
noun_ratio*,5.441792794581776e-08,*,0.3304,0.4052,0.3304 ± 0.1207,0.4052 ± 0.1433,0.020119627937674522
subordinate_clause_ratio*,0.007590866386526444,*,0.0567,0.0434,0.0567 ± 0.0487,0.0434 ± 0.048,0.01988237351179123
joy,0.9429884035470923,,0.1097,0.1112,0.1097 ± 0.2067,0.1112 ± 0.1993,0.019742188975214958
adv_ratio*,0.0136794425197567,*,0.0391,0.0292,0.0391 ± 0.0421,0.0292 ± 0.0365,0.01818089373409748
verb_ratio*,0.0008002566612029214,*,0.1395,0.116,0.1395 ± 0.0623,0.116 ± 0.0737,0.0169807281345129
std_word_length*,0.00034086851998250733,*,3.2366,3.5676,3.2366 ± 0.8998,3.5676 ± 0.8992,0.016813818365335464
adj_ratio,0.555181100072129,,0.0579,0.0607,0.0579 ± 0.0458,0.0607 ± 0.0478,0.016739822924137115
anger,0.6420454681808493,,0.1379,0.1271,0.1379 ± 0.2266,0.1271 ± 0.2332,0.015814103186130524
fear*,0.00019924172615865161,*,0.4888,0.3401,0.4888 ± 0.3966,0.3401 ± 0.3807,0.015077588148415089
doubt_adjectives_count,0.7979972573477303,,0.1503,0.1606,0.1503 ± 0.3862,0.1606 ± 0.4084,0.015053335577249527
certainty_adjectives_count*,0.0087743881260144,*,0.4456,0.2746,0.4456 ± 0.7489,0.2746 ± 0.5023,0.014694638550281525
sentiment_subjectivity*,0.004739783875404474,*,0.4083,0.3226,0.4083 ± 0.2963,0.3226 ± 0.2965,0.013564959168434143
sentence_count*,8.777699058624364e-05,*,2.3938,1.8653,2.3938 ± 1.4932,1.8653 ± 1.0957,0.01196188572794199
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
doubt_verbs_count,0.31285273529887825,,0.0311,0.0155,0.0311 ± 0.174,0.0155 ± 0.124,
certainty_verbs_count*,1.7354450591846134e-06,*,0.7254,0.3212,0.7254 ± 0.9532,0.3212 ± 0.6538,
hedge_D_count,0.3596343342336694,,0.0622,0.0415,0.0622 ± 0.2421,0.0415 ± 0.1998,
hedge_E_count,0.7385173410231424,,0.0829,0.0725,0.0829 ± 0.3281,0.0725 ± 0.2794,
hedge_I_count*,0.04451585416582264,*,0.0207,0.0,0.0207 ± 0.1428,0.0 ± 0.0,
hedge_N_count,0.30062536555172104,,0.1295,0.0881,0.1295 ± 0.3803,0.0881 ± 0.4051,
D_ratio,0.6377307664435901,,0.0015,0.0019,0.0015 ± 0.006,0.0019 ± 0.0095,
E_ratio,0.7816616722829254,,0.003,0.0033,0.003 ± 0.013,0.0033 ± 0.0132,
I_ratio,0.050810607133706887,,0.0008,0.0,0.0008 ± 0.0053,0.0 ± 0.0,
N_ratio,0.5556059701664833,,0.0041,0.0033,0.0041 ± 0.0123,0.0033 ± 0.0147,
