feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant,coefficient,abs_coef
avg_word_length,whole,ALL,All Stances,whole,0.2192,0.5437,0.1146,0.0345,small,negligible,False,Cliff's delta,negligible,no,-0.22940573102134887,0.22940573102134887
certainty_adjectives_count,whole,ALL,All Stances,whole,0.1504,0.2431,0.1293,0.0548,small,negligible,False,Cliff's delta,negligible,no,-0.21671018680015747,0.21671018680015747
avg_word_length,whole,ALL,All Stances,whole,0.5225,0.4884,-0.0656,-0.044,small,negligible,False,Cliff's delta,negligible,no,-0.22940573102134887,0.22940573102134887
hedge_C_count,whole,ALL,All Stances,whole,0.1437,0.2415,0.1555,0.0743,small,negligible,False,Cliff's delta,negligible,no,-0.7537277511975325,0.7537277511975325
certainty_adjectives_count,whole,ALL,All Stances,whole,0.8259,0.9651,0.032,0.0025,small,negligible,False,Cliff's delta,negligible,no,-0.21671018680015747,0.21671018680015747
avg_word_length,whole,ALL,AGAINST,whole,0.2192,0.5437,0.1146,0.0345,small,negligible,False,Cliff's delta,negligible,no,-0.31168378281442705,0.31168378281442705
avg_word_length,whole,ALL,AGAINST,whole,0.5225,0.4884,-0.0656,-0.044,small,negligible,False,Cliff's delta,negligible,no,-0.31168378281442705,0.31168378281442705
sadness,whole,ALL,AGAINST,whole,0.0588,0.2929,0.1434,0.0668,small,negligible,False,Cliff's delta,negligible,no,-0.3472734227348124,0.3472734227348124
anger,whole,ALL,AGAINST,whole,0.8598,0.2259,-0.0304,0.1078,small,negligible,False,Cliff's delta,negligible,no,-0.327223780238762,0.327223780238762
disgust,whole,ALL,AGAINST,whole,0.5398,0.0737,-0.1441,0.1591,small,small,False,Cliff's delta,small,no,-0.32621992037013287,0.32621992037013287
pronoun_ratio,whole,ALL,FAVOR,whole,0.9239,0.8726,-0.0096,-0.0091,small,negligible,False,Cliff's delta,negligible,no,-0.3904782684042009,0.3904782684042009
subordinate_clause_ratio,whole,ALL,FAVOR,whole,0.2998,0.3883,0.1084,0.054,small,negligible,False,Cliff's delta,negligible,no,-0.21559326969976791,0.21559326969976791
hedge_C_count,whole,ALL,FAVOR,whole,0.1437,0.2415,0.1555,0.0743,small,negligible,False,Cliff's delta,negligible,no,-0.31239698909874347,0.31239698909874347
pronoun_ratio,whole,ALL,FAVOR,whole,0.3489,0.1162,-0.1324,-0.1317,small,negligible,False,Cliff's delta,negligible,no,-0.3904782684042009,0.3904782684042009
avg_word_length,whole,ALL,NONE,whole,0.2192,0.5437,0.1146,0.0345,small,negligible,False,Cliff's delta,negligible,no,-0.24235315196808355,0.24235315196808355
std_word_length,whole,ALL,NONE,whole,0.1601,0.0524,-0.1291,-0.1102,small,negligible,False,Cliff's delta,negligible,no,-0.4063013658874893,0.4063013658874893
pronoun_ratio,whole,ALL,NONE,whole,0.9239,0.8726,-0.0096,-0.0091,small,negligible,False,Cliff's delta,negligible,no,-0.3644036594442678,0.3644036594442678
function_word_ratio,whole,ALL,NONE,whole,0.4657,0.5143,0.075,0.0371,small,negligible,False,Cliff's delta,negligible,no,-0.8658127669777588,0.8658127669777588
certainty_adjectives_count,whole,ALL,NONE,whole,0.1504,0.2431,0.1293,0.0548,small,negligible,False,Cliff's delta,negligible,no,-0.23215125561090214,0.23215125561090214
doubt_adjectives_count,whole,ALL,NONE,whole,0.9008,0.6295,0.0131,0.0165,small,negligible,False,Cliff's delta,negligible,no,-0.29679736229488984,0.29679736229488984
avg_word_length,whole,ALL,NONE,whole,0.5225,0.4884,-0.0656,-0.044,small,negligible,False,Cliff's delta,negligible,no,-0.24235315196808355,0.24235315196808355
std_word_length,whole,ALL,NONE,whole,0.8417,0.6951,0.021,-0.0249,small,negligible,False,Cliff's delta,negligible,no,-0.4063013658874893,0.4063013658874893
punctuation_density,whole,ALL,NONE,whole,0.9886,0.9546,0.0015,-0.0036,small,negligible,False,Cliff's delta,negligible,no,-0.5580978142984034,0.5580978142984034
function_word_ratio,whole,ALL,NONE,whole,0.6579,0.6114,-0.0478,-0.0323,small,negligible,False,Cliff's delta,negligible,no,-0.8658127669777588,0.8658127669777588
doubt_adjectives_count,whole,ALL,NONE,whole,0.448,0.3992,0.0802,0.0342,small,negligible,False,Cliff's delta,negligible,no,-0.29679736229488984,0.29679736229488984
pronoun_ratio,whole,ALL,NONE,whole,0.3489,0.1162,-0.1324,-0.1317,small,negligible,False,Cliff's delta,negligible,no,-0.3644036594442678,0.3644036594442678
certainty_adjectives_count,whole,ALL,NONE,whole,0.8259,0.9651,0.032,0.0025,small,negligible,False,Cliff's delta,negligible,no,-0.23215125561090214,0.23215125561090214
doubt_adjectives_count,whole,ALL,NONE,whole,0.8718,0.6584,0.026,0.0193,small,negligible,False,Cliff's delta,negligible,no,-0.29679736229488984,0.29679736229488984
