feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
word_count,0.12857461780359783,,21.5418,22.6161,21.5418 ± 5.4329,22.6161 ± 11.4662,0.08223896473646164
doubt_adverbs_count,0.7429505332600765,,0.2012,0.2136,0.2012 ± 0.466,0.2136 ± 0.493,0.06606628000736237
sentiment_polarity*,0.0018871543404831198,*,0.0835,0.0299,0.0835 ± 0.2379,0.0299 ± 0.1967,0.05097826197743416
certainty_adjectives_count*,0.0035062555805535638,*,0.2229,0.13,0.2229 ± 0.4457,0.13 ± 0.3548,0.05026852712035179
doubt_adjectives_count,0.4380554404888716,,0.0898,0.1084,0.0898 ± 0.2863,0.1084 ± 0.3211,0.04364578053355217
doubt_verbs_count,0.1617324157659129,,0.0279,0.0124,0.0279 ± 0.1648,0.0124 ± 0.1108,0.04087056219577789
joy*,0.01982172714352718,*,0.1054,0.0775,0.1054 ± 0.1647,0.0775 ± 0.1376,0.03557710349559784
pronoun_ratio,0.992670191637919,,0.0201,0.0201,0.0201 ± 0.0362,0.0201 ± 0.0371,0.03361276909708977
fear,0.08180265484692106,,0.3022,0.3527,0.3022 ± 0.356,0.3527 ± 0.3803,0.03348086401820183
certainty_verbs_count,0.06876573312807943,,0.1331,0.195,0.1331 ± 0.399,0.195 ± 0.4619,0.03271511569619179
type_token_ratio,0.5224061341111669,,0.9091,0.9132,0.9091 ± 0.0759,0.9132 ± 0.0846,0.03213682398200035
disgust,0.3644702893159889,,0.0047,0.0076,0.0047 ± 0.0219,0.0076 ± 0.0531,0.03095666691660881
sentiment_subjectivity,0.8566386933694004,,0.2395,0.2353,0.2395 ± 0.2885,0.2353 ± 0.3094,0.02902396209537983
sadness,0.4308256400752086,,0.0877,0.0984,0.0877 ± 0.1656,0.0984 ± 0.1787,0.02846839465200901
verb_ratio*,1.7686806212751083e-05,*,0.0894,0.1131,0.0894 ± 0.0655,0.1131 ± 0.0735,0.02842516265809536
surprise,0.1723128628649908,,0.1364,0.1193,0.1364 ± 0.1612,0.1193 ± 0.1575,0.027739087119698524
subordinate_clause_ratio,0.06809673180545148,,0.0315,0.0384,0.0315 ± 0.0496,0.0384 ± 0.047,0.027509184554219246
std_word_length,0.1212123393210535,,3.8754,3.777,3.8754 ± 0.7874,3.777 ± 0.8245,0.026814693585038185
hedge_C_count,0.07392584280422934,,15.8731,16.7307,15.8731 ± 4.5046,16.7307 ± 7.3382,0.026647325605154037
anger*,0.03025934678813147,*,0.0973,0.131,0.0973 ± 0.1853,0.131 ± 0.2082,0.023163555189967155
stopword_ratio,0.8770128103735406,,0.1923,0.1937,0.1923 ± 0.1135,0.1937 ± 0.119,0.022563928738236427
adv_ratio,0.973041200259349,,0.0203,0.0202,0.0203 ± 0.0343,0.0202 ± 0.0332,0.022240204736590385
punctuation_usage,0.49995562677049266,,0.0811,0.084,0.0811 ± 0.0517,0.084 ± 0.0569,0.021285558119416237
sentence_length_variation,0.1312853013472984,,1.3122,1.6253,1.3122 ± 2.2298,1.6253 ± 2.9837,0.020331699401140213
noun_ratio,0.3516141737869195,,0.4674,0.4568,0.4674 ± 0.1395,0.4568 ± 0.1498,0.020163020119071007
avg_word_length,0.4539331030513688,,4.9108,4.9631,4.9108 ± 0.871,4.9631 ± 0.903,0.01983327604830265
readability_score,0.6214398994950336,,10.0904,9.938,10.0904 ± 3.9375,9.938 ± 3.9033,0.018564891070127487
C_ratio,0.9939887719011806,,0.9912,0.9913,0.9912 ± 0.0238,0.9913 ± 0.0234,0.017616253346204758
sentence_count,0.07522521549516392,,1.4489,1.582,1.4489 ± 0.7349,1.582 ± 1.1237,0.016767507418990135
adj_ratio,0.7171725890056155,,0.0555,0.054,0.0555 ± 0.0491,0.054 ± 0.0503,0.015733415260910988
function_word_ratio,0.5959817888671095,,0.2377,0.2432,0.2377 ± 0.1293,0.2432 ± 0.1332,0.014566147699952126
punctuation_density,0.17997650886403477,,0.4245,0.4071,0.4245 ± 0.1621,0.4071 ± 0.1681,0.013689466752111912
hedges_score,0.38294502441001965,,0.1219,0.1444,0.1219 ± 0.3167,0.1444 ± 0.3387,0.013444891199469566
hapax_legomena,0.648265462828701,,0.8432,0.8478,0.8432 ± 0.1194,0.8478 ± 0.1352,0.012860740534961224
certainty_adverbs_count,0.8005420772465145,,0.096,0.0898,0.096 ± 0.3251,0.0898 ± 0.297,
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
hedge_D_count,0.4061369155580292,,0.031,0.0433,0.031 ± 0.1735,0.0433 ± 0.2039,
hedge_E_count,0.8884722891203485,,0.0836,0.0805,0.0836 ± 0.2882,0.0805 ± 0.2725,
hedge_I_count,0.31768609290559013,,0.0,0.0093,0.0 ± 0.0,0.0093 ± 0.1669,
hedge_N_count,0.8644484216817148,,0.0341,0.0372,0.0341 ± 0.2131,0.0372 ± 0.2464,
D_ratio,0.5406313072756207,,0.0017,0.0022,0.0017 ± 0.01,0.0022 ± 0.0115,
E_ratio,0.8188982341012624,,0.0053,0.0049,0.0053 ± 0.0187,0.0049 ± 0.0182,
I_ratio,0.3176860929055903,,0.0,0.0002,0.0 ± 0.0,0.0002 ± 0.0033,
N_ratio,0.6411024999888659,,0.0018,0.0014,0.0018 ± 0.0115,0.0014 ± 0.0094,
