target,text,stance,dataset,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,type,label
healthcare,CVS closes $69B acquisition of Aetna in a 'transformative moment' for the industry | FierceHealthcare https://t.co/Pj299RUnF5,1,wtwt,20.0,1.0,5.5,5.103920062069938,1.0,1.0,0.25,0.45,0.45,0.05,0.05,0.0,0.0,1.0,0.2631578947368421,0.05,15.0,0.0,0.0,0.0,0.0,0.0203698948025703,0.5124729871749878,0.0337053723633289,0.0083012590184807,0.0017671955283731,0.3054184317588806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Joe Biden,That entry (i.e. 3)) will be counted as #JoeBiden is simultaneously a Harvey Weinstein Democrat and a Jeffrey Epstein Democrat. #BidensBoundaries,1,pstance,28.0,3.0,4.464285714285714,3.9953736000631577,0.8214285714285714,0.6428571428571429,0.2857142857142857,0.2857142857142857,0.3571428571428571,0.1071428571428571,0.0,0.0357142857142857,0.0,1.0,0.2962962962962963,0.1071428571428571,10.419285714285714,7.118052168020874,0.0357142857142857,0.0,0.0,0.0416108258068561,0.0195982083678245,0.1857289969921112,0.0443663075566291,0.0035932667087763,0.2295274287462234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
healthcare,"CVS officially completed its $70 billion deal with Aetna almost a year after it was announced, creating a new kind… https://t.co/Ha43FQ0nre",1,wtwt,25.0,1.0,4.76,3.636261816756324,0.96,0.92,0.28,0.28,0.28,0.16,0.04,0.08,0.08,1.0,0.3333333333333333,0.04,12.7,0.0,0.12,0.1363636363636363,0.4545454545454545,0.0148075455799698,0.2491328865289688,0.0112627800554037,0.0095355799421668,0.0014771141577512,0.4914599359035492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,CVS And Aetna Win U.S. Approval For Merger $AET https://t.co/lfF9w9Oyls @benzinga,1,wtwt,15.0,1.0,4.733333333333333,3.9237170585499097,1.0,1.0,0.1333333333333333,0.6,0.6666666666666666,0.0,0.0666666666666666,0.0,0.0,1.0,0.1666666666666666,0.2,6.6,0.0,0.0,0.8,0.4,0.0553547143936157,0.4421629309654236,0.0901421308517456,0.0432231314480304,0.0005740207852795,0.2310146689414978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
entertainment,"With the Disney/Fox deal seeming more and more realistic, Ben &amp; Daniel give the #MCU some ideas on how to recast th… https://t.co/3f5mIkyx5B",1,wtwt,29.0,1.0,4.206896551724138,3.262950963360996,0.9310344827586208,0.8620689655172413,0.3448275862068966,0.3448275862068966,0.3103448275862069,0.1034482758620689,0.1034482758620689,0.0344827586206896,0.0,1.0,0.4,0.0344827586206896,9.9,0.0,0.0689655172413793,0.3888888888888889,0.4444444444444444,0.0347166433930397,0.6673426032066345,0.1202624812722206,0.0251443311572074,0.0003948137164115,0.0954468548297882,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
entertainment,"No, you're right, IMDb. I was definitely looking for ""Infinity War Trailer Breakdown, Fox Interested in Disney Deal… https://t.co/IDei91ZhjP",1,wtwt,27.0,2.0,4.555555555555555,3.705184889007348,0.925925925925926,0.8888888888888888,0.2222222222222222,0.4074074074074074,0.4074074074074074,0.1111111111111111,0.037037037037037,0.037037037037037,0.074074074074074,1.0,0.2692307692307692,0.074074074074074,9.4,5.5,0.0,0.1785714285714285,0.5119047619047619,0.0044301333837211,0.0157786253839731,0.0100689362734556,0.0165778584778308,0.0024675130844116,0.133504718542099,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,Aetna gets OK to acquire Humana's Florida-based affiliates: The proposed acquisition of Humana Inc. i... https://t.co/deS04GDqfi #florida,1,wtwt,23.0,1.0,5.260869565217392,4.151661702984752,0.9130434782608696,0.8260869565217391,0.1739130434782608,0.5652173913043478,0.4347826086956521,0.0869565217391304,0.1304347826086956,0.0,0.0,1.0,0.217391304347826,0.217391304347826,14.6,0.0,0.0434782608695652,0.5,0.5,0.1450123488903045,0.4653924703598022,0.259167343378067,0.0260953307151794,0.0004582923429552,0.0802951753139495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Joe Biden,#DemocraticDebate Wow!!! Uncle Joe just whacked Gillibrand : Whats changed ? You running for President ...,1,pstance,20.0,3.0,4.55,3.787809393303733,0.9,0.85,0.15,0.45,0.35,0.15,0.0,0.05,0.05,1.0,0.1904761904761904,0.35,6.006538461538462,2.867441755680876,0.05,0.1953125,1.0,0.0081398440524935,0.0073548308573663,0.0225694514811038,0.0034709030296653,0.0007082751253619,0.9532607793807985,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
face_masks,@naijagyaldee Didnt even have his mask covering his whole mouth and then grabs it and pulls it down part way thru ... once he touches it games over it's not sterile anymore. And the beard don't help either dude!!,1,covid,45.0,3.0,3.866666666666666,2.0612833111653743,0.8666666666666667,0.7777777777777778,0.4,0.2,0.2222222222222222,0.2,0.0666666666666666,0.1333333333333333,0.1555555555555555,1.0,0.5777777777777777,0.1333333333333333,4.565789473684209,13.424687043734844,0.0888888888888888,-0.0215277777777777,0.3444444444444444,0.0442316159605979,0.020304437726736,0.0315787121653556,0.1932056546211242,0.0263611208647489,0.4006414413452148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
healthcare,SCGhealth reads: #Anthem/Cigna merger awaits regulatory approval after shareholder vote #HealthcareDive https://t.co/eyR1AWQEwZ,1,wtwt,17.0,1.0,6.823529411764706,4.668231736241529,0.8823529411764706,0.7647058823529411,0.0588235294117647,0.5294117647058824,0.6470588235294118,0.0,0.0588235294117647,0.0,0.0,1.0,0.0588235294117647,0.0588235294117647,16.2,0.0,0.1764705882352941,0.0,0.0,0.0336260013282299,0.009554143063724,0.9283130168914796,0.0200011171400547,0.0005533468211069,0.0053100925870239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Atheism,How soon do you think WWIII &WWWIV will begin? #U9tedWeStand #EndRacism #EndReligion #EndSexism #EndMisogyny #LoveYourNeighbor #SemST,1,semeval,25.0,2.0,4.72,4.1715225038347805,0.76,0.72,0.16,0.36,0.36,0.12,0.0,0.04,0.04,1.0,0.16,0.04,11.130000000000004,1.0,0.04,0.0,0.0,0.4101417660713196,0.0241306517273187,0.5432279706001282,0.0158990789204835,0.003326644655317,0.0012916711857542,0.0,1.0,1.0,0.0,0.0,0.0,0.9539522528648376,15.0,1.0,0.0,0.0,0.0,0.9375,0.0625,0.0,0.0,0.0,test,0
healthcare,Just in: Mega merger in health care. Anthem buying Cigna for $54 billion. Details: http://t.co/NY4G29SOSx $ANTM $CI http://t.co/PiN77ZASUr,1,wtwt,29.0,3.0,4.172413793103448,4.026369679288343,0.7241379310344828,0.5517241379310345,0.1379310344827586,0.5862068965517241,0.3793103448275862,0.0344827586206896,0.0689655172413793,0.0344827586206896,0.0,1.0,0.16,0.1379310344827586,4.5,0.816496580927726,0.0,0.0,0.0,0.0074347909539937,0.0753144472837448,0.0052791754715144,0.019113129004836,0.0009867149638012,0.420697957277298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Donald Trump,I Think your a little jealous of Trump and also its sad you have to mention his 14 year old son that has nothing to do with this,1,pstance,28.0,1.0,3.607142857142857,1.6331233378819534,0.9642857142857144,0.9285714285714286,0.5714285714285714,0.0,0.1785714285714285,0.1785714285714285,0.1071428571428571,0.0357142857142857,0.1785714285714285,1.0,0.6428571428571429,0.0,9.23714285714286,0.0,0.1071428571428571,-0.1958333333333333,0.5666666666666667,0.003381258342415,0.0180524084717035,0.0018332845065742,0.8134225010871887,0.0028785886242985,0.1304590702056884,0.0,2.0,0.0,0.0,0.0,0.0,0.9684742093086244,27.0,1.0,0.0,0.0,0.0,0.9642857142857144,0.0357142857142857,0.0,0.0,0.0,test,0
Donald Trump,Clinton have his order in yet?! Military researchers develop self-destructing material that 'disappears in an instant' to carry out covert missions without leaving any trace #Trump #LowLifeClinton,1,pstance,32.0,2.0,5.3125,3.761960094153047,0.9375,0.875,0.28125,0.21875,0.28125,0.15625,0.09375,0.03125,0.03125,1.0,0.3142857142857143,0.0625,13.275000000000002,7.5,0.03125,-0.05,0.3833333333333333,0.037583015859127,0.0074546104297041,0.9367272257804872,0.0106440996751189,0.0015565818175673,0.0029750494286417,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
healthcare,Anthem &amp; CIGNA Enter Into Definitive Acquisition... https://t.co/XUwPVtI7Fw,1,wtwt,13.0,1.0,5.538461538461538,4.465515468830767,1.0,1.0,0.0769230769230769,0.7692307692307693,0.6923076923076923,0.0,0.0,0.0,0.0,1.0,0.0909090909090909,0.3076923076923077,18.2,0.0,0.0,0.0,0.0,0.012215900234878,0.3978771567344665,0.0109154358506202,0.0288723465055227,0.0015681837685406,0.1927502751350402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,US pharmacy chain CVS announces $69 billion purchase of insurer Aetna | @AFP,1,wtwt,15.0,1.0,4.266666666666667,2.792052212182923,1.0,1.0,0.0666666666666666,0.2,0.6666666666666666,0.0666666666666666,0.0,0.0,0.0,1.0,0.1428571428571428,0.0,9.2,0.0,0.0,0.0,0.0,0.069496251642704,0.452848732471466,0.1297716200351715,0.0188257973641157,0.0008817267371341,0.2151019871234893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,Illinois #insurance dept agrees Aetna /Humana Inc takeover subject to US DOJ approval https://t.co/knLVAFx3lG,1,wtwt,17.0,1.0,5.647058823529412,3.818548792262937,1.0,1.0,0.0588235294117647,0.4117647058823529,0.7647058823529411,0.0588235294117647,0.0,0.0,0.0,1.0,0.1333333333333333,0.0588235294117647,11.1,0.0,0.0,-0.1666666666666666,0.3333333333333333,0.0657135918736457,0.045770950615406,0.7665707468986511,0.0953286439180374,0.0004830186371691,0.0140008814632892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Hillary Clinton,@stylistkavin Amazing how much they sound like Republicans! ; ) #ITrustHillary #SemST,1,semeval,16.0,2.0,4.625,3.9823830805184977,0.9375,0.875,0.125,0.375,0.1875,0.0625,0.1875,0.0,0.0625,1.0,0.2,0.0625,6.010000000000002,2.0,0.0,0.3875,0.625,0.0151909552514553,0.0075538721866905,0.9674596786499025,0.002089278306812,0.0003838617412839,0.0055845165625214,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
healthcare,.@CVSHealth reportedly proposes to acquire @Aetna for $66B: https://t.co/XoaqlHTOeT https://t.co/5rHMvEaEq3,1,wtwt,19.0,2.0,5.157894736842105,4.976398590978026,0.7894736842105263,0.631578947368421,0.1052631578947368,0.7894736842105263,0.3157894736842105,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.0,1.0,0.1666666666666666,0.1578947368421052,16.6,4.5,0.0526315789473684,0.0,0.0,0.0450863242149353,0.1526911556720733,0.237735778093338,0.1021662726998329,0.000792488339357,0.3321250975131988,0.0,0.0,0.0,0.0,0.0,0.0,0.9440693855285645,9.0,0.0,1.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,,1
healthcare,CVS Health Has Had Sick Looking Charts While Worrying About Amazon And Buying Aetna https://t.co/nnnPoynmMF https://t.co/PxDBxydcHN,1,wtwt,20.0,1.0,5.8,4.130375285612676,0.9,0.8,0.25,0.5,0.65,0.05,0.05,0.0,0.0,1.0,0.3125,0.1,13.1,0.0,0.05,-0.7142857142857143,0.8571428571428571,0.0056120664812624,0.0045645385980606,0.5864489078521729,0.3621341288089752,0.002450069412589,0.0167060084640979,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,CVS Says Aetna Merger 'Making Good Progress' On Regulatory Front –– by @brucejapsen via @forbes… https://t.co/ato9NUO8t2,1,wtwt,21.0,1.0,5.0,3.927922024247863,0.9523809523809524,0.9047619047619048,0.0952380952380952,0.4285714285714285,0.6666666666666666,0.0476190476190476,0.0476190476190476,0.0,0.0,1.0,0.2,0.0476190476190476,11.5,0.0,0.0476190476190476,0.7,0.6000000000000001,0.0691288486123085,0.2541992664337158,0.0374389737844467,0.1036375313997268,0.0007922389777377,0.1951507627964019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,"The Hill Don’t believe the critics, Aetna-Humana merger a good deal for consumers: As regulatory review of th... https://t.co/GAULm7TYQU",1,wtwt,26.0,1.0,4.538461538461538,3.84538453844615,0.9615384615384616,0.9230769230769232,0.3076923076923077,0.4230769230769231,0.5,0.0384615384615384,0.0769230769230769,0.0,0.0,1.0,0.32,0.1538461538461538,13.1,0.0,0.0,0.7,0.6000000000000001,0.0520833693444728,0.0238089133054018,0.0975807979702949,0.0247738324105739,0.0033737905323505,0.3749515116214752,0.0,1.0,0.0,0.0,0.0,0.0,0.9640814661979676,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
