feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
D_ratio,0.5991884610274191,,0.0019,0.0022,0.0019 ± 0.0103,0.0022 ± 0.0107,0.08172803372144699
certainty_adjectives_count,0.5586419412509243,,0.2164,0.2309,0.2164 ± 0.491,0.2309 ± 0.4747,0.051585081964731216
doubt_adjectives_count,0.1772843899134334,,0.0989,0.1214,0.0989 ± 0.2988,0.1214 ± 0.3464,0.04363517835736275
hedges_score,0.19067086784857823,,0.1377,0.1607,0.1377 ± 0.3319,0.1607 ± 0.3534,0.04211101308465004
word_count*,9.791694089521443e-07,*,22.5092,25.0026,22.5092 ± 7.772,25.0026 ± 11.6014,0.038753919303417206
doubt_adverbs_count*,2.3257413705287404e-06,*,0.1728,0.2982,0.1728 ± 0.4337,0.2982 ± 0.5845,0.0383978933095932
sentiment_subjectivity*,0.04753445870123709,*,0.2509,0.2818,0.2509 ± 0.3061,0.2818 ± 0.2997,0.0340803861618042
function_word_ratio*,3.2840863874163155e-07,*,0.253,0.2895,0.253 ± 0.1368,0.2895 ± 0.14,0.029178710654377937
subordinate_clause_ratio*,0.005558595483138497,*,0.0359,0.0428,0.0359 ± 0.0492,0.0428 ± 0.0474,0.027790285646915436
verb_ratio*,1.379864737254608e-10,*,0.0984,0.1211,0.0984 ± 0.066,0.1211 ± 0.0706,0.02708992175757885
pronoun_ratio*,0.022427353368731022,*,0.0254,0.0304,0.0254 ± 0.0417,0.0304 ± 0.0435,0.026878343895077705
anger,0.5545979401655596,,0.1344,0.1411,0.1344 ± 0.2238,0.1411 ± 0.2163,0.026849787682294846
C_ratio,0.7065354859292488,,0.9907,0.9902,0.9907 ± 0.0248,0.9902 ± 0.0248,0.025832226499915123
joy*,0.0003153612478971019,*,0.1148,0.0826,0.1148 ± 0.1803,0.0826 ± 0.1674,0.025481415912508965
noun_ratio*,0.00018018802983283172,*,0.4407,0.4125,0.4407 ± 0.1454,0.4125 ± 0.1474,0.02476423978805542
stopword_ratio*,5.7342186975337205e-05,*,0.2073,0.2327,0.2073 ± 0.1228,0.2327 ± 0.1224,0.024443063884973526
adv_ratio*,0.0010261122551543092,*,0.0217,0.0281,0.0217 ± 0.0354,0.0281 ± 0.0397,0.02318963222205639
sadness,0.0613448639979233,,0.079,0.0949,0.079 ± 0.1544,0.0949 ± 0.175,0.022850148379802704
N_ratio,0.4987547164963826,,0.0026,0.0031,0.0026 ± 0.0148,0.0031 ± 0.0144,0.022491825744509697
hedge_C_count*,6.880217055314477e-08,*,16.7863,18.9274,16.7863 ± 6.4322,18.9274 ± 8.7676,0.022316865622997284
type_token_ratio,0.7836640576472179,,0.9007,0.9019,0.9007 ± 0.0825,0.9019 ± 0.0821,0.021800627931952477
certainty_adverbs_count,0.674418099620768,,0.1174,0.1253,0.1174 ± 0.3716,0.1253 ± 0.3618,0.020927859470248222
disgust,0.10785578646861332,,0.0062,0.0106,0.0062 ± 0.0418,0.0106 ± 0.0624,0.020815346390008926
punctuation_density*,2.499004081754262e-05,*,0.3974,0.3598,0.3974 ± 0.1747,0.3598 ± 0.1716,0.020003613084554672
readability_score*,0.0046808218724514175,*,9.9583,9.3862,9.9583 ± 3.9044,9.3862 ± 3.96,0.019571732729673386
sentiment_polarity,0.22173316168938845,,0.0639,0.0493,0.0639 ± 0.2373,0.0493 ± 0.2259,0.01947421208024025
punctuation_usage,0.5494713972453904,,0.0814,0.0832,0.0814 ± 0.0607,0.0832 ± 0.0587,0.018944531679153442
avg_word_length*,0.045188590159918135,*,4.8042,4.7133,4.8042 ± 0.8877,4.7133 ± 0.8786,0.01878310926258564
E_ratio,0.6288467547983885,,0.0047,0.0042,0.0047 ± 0.0174,0.0042 ± 0.0165,0.018491070717573166
std_word_length*,0.00040215787798430136,*,3.7315,3.5614,3.7315 ± 0.9621,3.5614 ± 0.9037,0.018482977524399757
sentence_count*,3.2499696969205173e-06,*,1.5923,1.8496,1.5923 ± 0.9116,1.8496 ± 1.2114,0.01845528557896614
fear,0.16661188652216036,,0.3539,0.3806,0.3539 ± 0.369,0.3806 ± 0.3817,0.017798934131860733
hedge_N_count,0.15449884684541623,,0.0528,0.0765,0.0528 ± 0.295,0.0765 ± 0.3516,0.017703702673316002
adj_ratio,0.07633243361743394,,0.0539,0.0584,0.0539 ± 0.0492,0.0584 ± 0.0494,0.0173622015863657
surprise,0.7689063783443078,,0.1148,0.1124,0.1148 ± 0.1497,0.1124 ± 0.1671,0.017192605882883072
sentence_length_variation*,0.0036828459338403723,*,1.8891,2.3611,1.8891 ± 2.8866,2.3611 ± 3.4104,0.016668161377310753
hapax_legomena,0.9020687933046494,,0.8283,0.8291,0.8283 ± 0.132,0.8291 ± 0.132,0.016232529655098915
certainty_verbs_count*,0.0005969712864364556,*,0.1953,0.2916,0.1953 ± 0.4837,0.2916 ± 0.6001,0.014470616355538368
hedge_D_count,0.44441665868312075,,0.0369,0.0449,0.0369 ± 0.1956,0.0449 ± 0.2071,0.007372870109975338
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
doubt_verbs_count,0.8513911056942518,,0.0198,0.0185,0.0198 ± 0.1394,0.0185 ± 0.1347,
hedge_I_count,0.3452201818592523,,0.004,0.0092,0.004 ± 0.0628,0.0092 ± 0.1405,
hedge_E_count,0.7891565274952789,,0.0805,0.0765,0.0805 ± 0.2999,0.0765 ± 0.2758,
I_ratio,0.583029033231192,,0.0002,0.0003,0.0002 ± 0.0029,0.0003 ± 0.0046,
