feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,0.17996289944628305,0.035846512764692307,0.9908 ± 0.0245,0.9879 ± 0.0283
D_ratio,-0.10735270651920138,0.0,0.0031 ± 0.012,0.0022 ± 0.0104
E_ratio,-0.7920426932085701,0.0,0.0035 ± 0.0126,0.004 ± 0.0164
I_ratio,-0.170156607775131,0.0,0.0 ± 0.0,0.0007 ± 0.0072
N_ratio,0.5642520311131264,0.0,0.0026 ± 0.0154,0.0052 ± 0.0188
adj_ratio,-0.24597983160072237,0.016114691272377968,0.0633 ± 0.0473,0.0624 ± 0.0493
adv_ratio,-0.3824715635026934,0.0233356561511755,0.0302 ± 0.034,0.0377 ± 0.0474
anger,0.7761822390956147,0.019226951524615288,0.2046 ± 0.2829,0.1658 ± 0.2118
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,0.1398019194051837,0.020619982853531837,4.2036 ± 0.6203,4.4348 ± 0.8027
certainty_adjectives_count,0.198489338301829,0.0,0.4639 ± 0.678,0.3306 ± 0.5599
certainty_adverbs_count,-0.06469512975624629,0.007756547536700964,0.1649 ± 0.3731,0.1653 ± 0.4243
certainty_verbs_count,-0.17386875048820027,0.010745423845946789,0.4845 ± 0.7376,0.3967 ± 0.6935
disgust*,-0.7060525365209901,0.02192276529967785,0.0021 ± 0.0051,0.0086 ± 0.0275
doubt_adjectives_count,0.21486718073971123,0.1054958701133728,0.1443 ± 0.3816,0.1074 ± 0.3234
doubt_adverbs_count,0.09512849079664612,0.0015207853866741061,0.3711 ± 0.6178,0.3554 ± 0.6023
doubt_verbs_count,0.008418219798323445,0.0,0.0206 ± 0.1428,0.0289 ± 0.1679
fear*,1.2328875108334911,0.015152135863900185,0.6266 ± 0.3413,0.45 ± 0.3765
function_word_ratio,-0.403940279465129,0.02213946543633938,0.3588 ± 0.1003,0.3371 ± 0.1373
hapax_legomena,-0.15431191016453097,0.01976596936583519,0.7999 ± 0.1076,0.8066 ± 0.1279
hedge_C_count,-0.3702042234472078,0.019672567024827003,20.4021 ± 8.2255,20.8471 ± 9.5268
hedge_D_count,0.5091921503325155,0.0,0.0722 ± 0.2601,0.0496 ± 0.2175
hedge_E_count,0.9070353221742663,0.0,0.0722 ± 0.2601,0.0744 ± 0.2783
hedge_I_count,-0.3600701196099924,0.0,0.0 ± 0.0,0.0165 ± 0.1569
hedge_N_count,-0.8366247241893541,0.09786145389080048,0.0515 ± 0.3018,0.1198 ± 0.4151
hedges_score,0.22483924957805076,0.027580449357628822,0.1656 ± 0.3614,0.1753 ± 0.3689
joy,0.4673156077935019,0.023980706930160522,0.0697 ± 0.1942,0.0664 ± 0.1736
noun_ratio*,-0.870478279668843,0.029912643134593964,0.325 ± 0.1075,0.3593 ± 0.1279
pronoun_ratio*,0.08565271706886693,0.011580346152186394,0.0589 ± 0.0541,0.0445 ± 0.0515
punctuation_density*,-1.668270647417604,0.03280451521277428,0.2437 ± 0.1059,0.3109 ± 0.1645
punctuation_usage,0.6292196255881305,0.023483196273446083,0.0732 ± 0.0882,0.0807 ± 0.0609
readability_score,0.11478603976042435,0.008859913796186447,7.9762 ± 3.5575,8.5089 ± 3.8744
sadness,0.3974793813363987,0.02620595321059227,0.0792 ± 0.1918,0.1004 ± 0.1739
sentence_count,-0.45967840961519807,0.08085383474826813,2.2165 ± 0.9599,2.1942 ± 1.3231
sentence_length_variation*,0.1387015789359722,0.01731386035680771,3.8158 ± 3.0225,3.0208 ± 3.364
sentiment_polarity,0.11725017766272516,0.01567508839070797,0.0461 ± 0.2449,0.0628 ± 0.2466
sentiment_subjectivity,-0.2813123064043906,0.03210604190826416,0.3301 ± 0.3046,0.3112 ± 0.2814
std_word_length*,-0.1403145136253839,0.030160484835505486,3.0246 ± 0.8535,3.2688 ± 0.9298
stopword_ratio*,-0.07723516093198467,0.039467889815568924,0.3044 ± 0.0844,0.2727 ± 0.1208
subordinate_clause_ratio,0.15693438082469377,0.012266541831195354,0.0474 ± 0.0513,0.048 ± 0.047
surprise*,-1.489706838824538,0.08157424628734589,0.0126 ± 0.0492,0.0783 ± 0.1506
type_token_ratio,0.05153231518886639,0.018924225121736526,0.8814 ± 0.072,0.8863 ± 0.0813
verb_ratio,-0.9056641114664405,0.035575270652770996,0.124 ± 0.0591,0.1356 ± 0.0615
word_count,0.16746209755737768,0.01449801679700613,26.3918 ± 10.5045,27.2025 ± 11.7951
