feature,shap_importance,linear_importance,linear_std,linear_count,_merge,shap_rank,linear_rank,overlap_status
punctuation_density,0.716981,0.8765869550829245,0.5876476822968543,13.0,both,1.0,1.0,Both methods
function_word_ratio,0.625122,0.6478879296130267,0.32557238486100304,13.0,both,2.0,2.0,Both methods
fear,0.529336,0.5105048715808972,0.3839754488738075,13.0,both,3.0,6.0,Both methods
anger,0.501058,0.6189972047816236,0.25837537460714466,13.0,both,4.0,3.0,Both methods
type_token_ratio,0.40895,0.4857872558704041,0.42215682829630125,13.0,both,5.0,7.0,Both methods
verb_ratio,0.397478,0.4436283456386789,0.27689143779914444,13.0,both,6.0,10.0,Both methods
noun_ratio,0.394976,0.46424448487651243,0.42014467546570683,13.0,both,7.0,8.0,Both methods
hapax_legomena,0.347749,0.4075673277795293,0.2766251838892974,13.0,both,8.0,12.0,Both methods
adv_ratio,0.329581,0.3791293217475766,0.1960770915646541,13.0,both,9.0,15.0,Both methods
hedge_C_count,0.312354,0.36410451428663876,0.3030285867951625,13.0,both,10.0,17.0,Both methods
sentence_count,0.308119,0.5135187895387676,0.2995837545977116,13.0,both,11.0,5.0,Both methods
hedges_score,0.289185,0.370110114499865,0.31535895071857056,13.0,both,12.0,16.0,Both methods
readability_score,0.274252,0.316778260309647,0.20101680568840402,13.0,both,13.0,24.0,Both methods
sentence_length_variation,0.251275,0.2606567513406977,0.1432186452484171,13.0,both,14.0,29.0,Both methods
adj_ratio,0.241732,0.2458116775979291,0.18145840229998472,13.0,both,15.0,30.0,Both methods
doubt_adverbs_count,0.241178,0.33635322638307563,0.3101514864929604,13.0,both,16.0,19.0,Both methods
avg_word_length,0.236429,0.326381359598205,0.2202704469300087,13.0,both,17.0,22.0,Both methods
surprise,0.205076,0.38248723953795566,0.36484343030215527,13.0,both,18.0,14.0,Both methods
pronoun_ratio,0.201899,0.2795461565601775,0.20216759050456776,13.0,both,19.0,28.0,Both methods
joy,0.197091,0.5667785518758636,0.5639109457045739,13.0,both,20.0,4.0,Both methods
C_ratio,0.19117,0.3008525210724955,0.1724397564940907,13.0,both,21.0,27.0,Both methods
stopword_ratio,0.186614,0.1801832522674519,0.128560307274717,13.0,both,22.0,40.0,Both methods
punctuation_usage,0.182124,0.3261524925104914,0.21616773373372675,13.0,both,23.0,23.0,Both methods
sentiment_subjectivity,0.176363,0.20692927511263265,0.14734302771910618,13.0,both,24.0,38.0,Both methods
subordinate_clause_ratio,0.176337,0.21881057323776001,0.22288074273179675,13.0,both,25.0,36.0,Both methods
hedge_E_count,0.171696,0.4582013180216566,0.2679509102155472,13.0,both,26.0,9.0,Both methods
word_count,0.170191,0.30136296564836595,0.21634141292474868,13.0,both,27.0,26.0,Both methods
sadness,0.168661,0.23068239026077275,0.13636730925414578,13.0,both,28.0,34.0,Both methods
certainty_verbs_count,0.168597,0.23949136680228802,0.1757365637760183,13.0,both,29.0,33.0,Both methods
certainty_adjectives_count,0.159794,0.1328560770021349,0.10686036390407612,13.0,both,30.0,43.0,Both methods
N_ratio,0.150294,0.3881901350859089,0.16547585114576008,13.0,both,31.0,13.0,Both methods
std_word_length,0.144034,0.22170591294272415,0.15915097452503937,13.0,both,32.0,35.0,Both methods
hedge_D_count,0.142882,0.4178013905826675,0.2049269443151854,13.0,both,33.0,11.0,Both methods
certainty_adverbs_count,0.136516,0.24016616438155877,0.14794609980512857,13.0,both,34.0,32.0,Both methods
hedge_N_count,0.123618,0.33503423670310445,0.2285992258122708,13.0,both,35.0,20.0,Both methods
D_ratio,0.121881,0.35234444770910733,0.21714866122469936,13.0,both,36.0,18.0,Both methods
disgust,0.119233,0.3288850681572357,0.21826706103201934,13.0,both,37.0,21.0,Both methods
doubt_adjectives_count,0.102927,0.1812081709805659,0.16702988004335126,13.0,both,38.0,39.0,Both methods
E_ratio,0.102584,0.30313853137568125,0.23348000368498334,13.0,both,39.0,25.0,Both methods
sentiment_polarity,0.101223,0.1425265072390044,0.055852180741450305,13.0,both,40.0,42.0,Both methods
doubt_verbs_count,0.058733,0.24108152415372888,0.16586904181548698,13.0,both,41.0,31.0,Both methods
hedge_I_count,0.05033,0.21124164729811948,0.12870840183808904,13.0,both,42.0,37.0,Both methods
I_ratio,0.017371,0.14609376692228124,0.05761472704502966,13.0,both,43.0,41.0,Both methods
avg_dependency_depth,0.0,,,,left_only,44.0,44.0,SHAP only
