feature,mean_mi_score,std_mi_score,median_mi_score,min_mi_score,max_mi_score,num_iterations,cv_mi_score
joy,0.026047240725960524,0.010963753000482789,0.0277449206721749,0.0070576153171961,0.0447788491078078,13,0.4209180202936251
std_word_length,0.024241006324137913,0.007939135856276758,0.0246712035595477,0.0076226430907362,0.0345483550057468,13,0.32750850975899404
readability_score,0.021871020964167223,0.019772679646545357,0.022595404082228,0.0,0.0664879792061936,13,0.9040583738153001
anger,0.020843830466566494,0.010268227588429085,0.019019893454945,0.0039685807938534,0.039761158475885,13,0.49262670817148135
sentiment_subjectivity,0.020575163319486833,0.007154795088328769,0.0224982743040693,0.0022709589259739,0.0291209181592617,13,0.34773940683875054
word_count,0.019660773210351385,0.011881971860661028,0.0186432968855245,0.0,0.0359909384993324,13,0.6043491643759553
punctuation_density,0.017451029115303763,0.00881297259015821,0.014317433898334,0.0085030252935907,0.0340557953163125,13,0.5050116260725066
noun_ratio,0.016120290298237118,0.009845736310214208,0.0166943634268998,0.0,0.0316425357595813,13,0.6107666876998435
fear,0.015124225223495203,0.011535738165394698,0.0122230125455069,0.0,0.0372829855690339,13,0.7627325033135677
sentence_count,0.01314840296267292,0.011416406498224622,0.0163268707090034,0.0,0.0375704392919071,13,0.8682732443350516
stopword_ratio,0.013077045744446224,0.011886151429989077,0.012903994275383,0.0,0.0389963947732479,13,0.9089324655025455
verb_ratio,0.013020622143090962,0.008939142861458228,0.0164916628394997,0.0,0.0245732798946967,13,0.6865373069904759
type_token_ratio,0.012192672294538975,0.008643981363719286,0.0120403038557843,0.0,0.0262623674433362,13,0.7089488796964447
disgust,0.011100751636502915,0.011900792810235525,0.0087087809306949,0.0,0.0378319997795555,13,1.0720709011362628
hedge_C_count,0.010962901337978297,0.008531821215608191,0.011884335068161,0.0,0.0271020936691657,13,0.7782448233892043
pronoun_ratio,0.010729819044389926,0.010418212179799557,0.0080817106593551,0.0,0.0393572498763721,13,0.9709587959217921
sentiment_polarity,0.01043560243914467,0.010590319268672148,0.0098742911710882,0.0,0.0299167947379257,13,1.0148258646714179
certainty_verbs_count,0.010336213454641278,0.011531376915313921,0.0079719958519013,0.0,0.0374447355834544,13,1.1156287518555432
surprise,0.009448994214306077,0.011542696761057111,0.0019059783763204,0.0,0.0332301438586772,13,1.221579408269835
sadness,0.009194908514115006,0.009515055377667869,0.0065240590666799,0.0,0.0342357827331372,13,1.0348178410977564
I_ratio,0.008351338161740786,0.010188934622998145,0.0,0.0,0.0247711423591614,13,1.2200361697333453
hapax_legomena,0.007717358713330416,0.00716716083465482,0.0059764154669841,0.0,0.0217265230624081,13,0.9287064526720491
hedge_D_count,0.007327342583576823,0.007711095919474407,0.0051300771453817,0.0,0.0227560931310517,13,1.052372784747053
sentence_length_variation,0.007289727405015638,0.007828517066427933,0.0047471455120671,0.0,0.0197435993475658,13,1.073910810580048
hedges_score,0.006898175916487654,0.007676596152300704,0.001228672834618,0.0,0.0210245918348197,13,1.1128443584560537
adj_ratio,0.0064489067240787856,0.006971449018769781,0.0016871407209149,0.0,0.0186066941592679,13,1.081028043519367
C_ratio,0.006415958071516377,0.005717271350547912,0.0077143505150136,0.0,0.0178038127841668,13,0.8911017320904445
hedge_I_count,0.006031125139080938,0.006714609184141815,0.0051987886414277,0.0,0.0205213235397516,13,1.1133261256066445
avg_word_length,0.005989088600595231,0.007902365976370708,0.0021261878947906,0.0,0.0235847216674485,13,1.3194605228557355
D_ratio,0.0058584422970062765,0.007233128884755944,0.0027902473401824,0.0,0.0221787478385113,13,1.234650529621525
adv_ratio,0.0058289120186346315,0.00783060498804381,0.0022072708692317,0.0,0.0256550930084633,13,1.3434076484616517
doubt_adverbs_count,0.005812598196301755,0.004213792095929265,0.0068477919650091,0.0,0.011528775925347,13,0.7249412317215174
subordinate_clause_ratio,0.005661003270335692,0.006650456458387701,0.0013427799107383,0.0,0.0208590998558182,13,1.1747840693251066
certainty_adverbs_count,0.005360351250397461,0.007226238964877572,0.0,0.0,0.0226996921351416,13,1.3480905685689457
doubt_adjectives_count,0.004947929088784724,0.004985723352831204,0.0044317165715799,0.0,0.0146864918353768,13,1.0076384005041923
function_word_ratio,0.004433689888951738,0.005305429736673404,0.0010289873088034,0.0,0.0161424916950654,13,1.1966172352049125
avg_dependency_depth,0.004390906504858469,0.007905156340068283,0.0,0.0,0.0289883547882896,13,1.8003472247294154
hedge_E_count,0.0041166264390434925,0.006128434101709625,0.0,0.0,0.0201189978294364,13,1.4887029932046933
hedge_N_count,0.003984374270993623,0.004449014214249548,0.000737364633877,0.0,0.0112710616480569,13,1.1166155365068284
certainty_adjectives_count,0.0039809100570727006,0.0055916225749395344,0.00082251319072,0.0,0.0196196855601851,13,1.404609120722322
E_ratio,0.0033146263726414843,0.005163375793030367,0.0,0.0,0.0160882317875732,13,1.55775499635441
punctuation_usage,0.003183858938505423,0.0036089235708748105,0.0,0.0,0.0098671746757603,13,1.1335061133609527
N_ratio,0.0029874670613910534,0.004068649846211006,0.0,0.0,0.0130429161020861,13,1.361906177575234
doubt_verbs_count,0.0021371931829893,0.00524161557207787,0.0,0.0,0.0178023770159974,13,2.4525698536743428
