feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
joy*,9.43340225079084e-07,*,0.2109,0.1112,0.2109 ± 0.1938,0.1112 ± 0.1993,0.09549780935049057
sentence_count*,2.241240759903733e-06,*,1.3679,1.8653,1.3679 ± 0.9323,1.8653 ± 1.0957,0.09450630843639374
certainty_adjectives_count,0.05940820403446707,,0.1762,0.2746,0.1762 ± 0.5205,0.2746 ± 0.5023,0.07266867905855179
function_word_ratio*,5.669523069240219e-13,*,0.2116,0.3074,0.2116 ± 0.121,0.3074 ± 0.1308,0.06373994052410126
hedge_C_count*,5.525706227440512e-07,*,16.0674,20.1969,16.0674 ± 6.5121,20.1969 ± 9.1903,0.04539332538843155
punctuation_usage,0.8495927335093134,,0.0862,0.0851,0.0862 ± 0.0563,0.0851 ± 0.0591,0.0387006476521492
adj_ratio*,0.00420687153344892,*,0.0467,0.0607,0.0467 ± 0.0482,0.0607 ± 0.0478,0.03558599576354027
E_ratio,0.1691802680061001,,0.0057,0.0033,0.0057 ± 0.0194,0.0033 ± 0.0132,0.03436960652470589
disgust*,0.023134091349421078,*,0.0021,0.0182,0.0021 ± 0.0024,0.0182 ± 0.098,0.03388423100113869
stopword_ratio*,5.188394381009907e-12,*,0.1683,0.2479,0.1683 ± 0.1092,0.2479 ± 0.1104,0.03285034000873566
punctuation_density*,4.6987630152023324e-09,*,0.4406,0.3419,0.4406 ± 0.157,0.3419 ± 0.1662,0.032771091908216476
fear*,0.011143460775057628,*,0.248,0.3401,0.248 ± 0.3272,0.3401 ± 0.3807,0.03262396529316902
doubt_adverbs_count*,2.063973423824794e-07,*,0.0829,0.3679,0.0829 ± 0.3119,0.3679 ± 0.6804,0.03155597671866417
pronoun_ratio*,3.5780417689654673e-07,*,0.0122,0.0297,0.0122 ± 0.0286,0.0297 ± 0.0373,0.027627110481262207
hedges_score,0.36423006685612147,,0.138,0.1698,0.138 ± 0.3306,0.1698 ± 0.3583,0.026465030387043953
noun_ratio*,1.017649051216163e-06,*,0.4772,0.4052,0.4772 ± 0.1414,0.4052 ± 0.1433,0.024875424802303314
sentence_length_variation*,5.490070798420158e-07,*,1.0904,2.7655,1.0904 ± 2.4013,2.7655 ± 3.8857,0.024139409884810448
verb_ratio*,0.0001595529881985933,*,0.0897,0.116,0.0897 ± 0.0615,0.116 ± 0.0737,0.023008370772004128
anger*,4.093692473736894e-06,*,0.0448,0.1271,0.0448 ± 0.0736,0.1271 ± 0.2332,0.021568913012742996
type_token_ratio,0.27952935857620415,,0.9113,0.9025,0.9113 ± 0.084,0.9025 ± 0.0757,0.021385135129094124
surprise*,0.011783968229375432,*,0.1888,0.1437,0.1888 ± 0.155,0.1437 ± 0.1934,0.019755305722355843
sadness*,0.021948843065374705,*,0.0507,0.0821,0.0507 ± 0.0836,0.0821 ± 0.1702,0.019289882853627205
sentiment_subjectivity*,0.002147160877688447,*,0.2266,0.3226,0.2266 ± 0.3139,0.3226 ± 0.2965,0.018886050209403038
std_word_length*,1.3457560955180166e-05,*,3.9257,3.5676,3.9257 ± 0.6812,3.5676 ± 0.8992,0.01864100620150566
readability_score*,0.004451013648193797,*,10.6893,9.5627,10.6893 ± 3.7424,9.5627 ± 3.99,0.015153320506215096
subordinate_clause_ratio*,0.01488987566590748,*,0.032,0.0434,0.032 ± 0.0439,0.0434 ± 0.048,0.014803511090576649
word_count*,7.01965990795391e-06,*,21.7565,26.2383,21.7565 ± 8.2744,26.2383 ± 10.8774,0.014390014111995697
adv_ratio*,0.00011785450764556858,*,0.0162,0.0292,0.0162 ± 0.0286,0.0292 ± 0.0365,0.013411939144134521
sentiment_polarity,0.2185960341270879,,0.0938,0.065,0.0938 ± 0.2156,0.065 ± 0.2426,0.012448294088244438
C_ratio,0.9153630742028196,,0.9913,0.9915,0.9913 ± 0.023,0.9915 ± 0.0221,0.01170957088470459
avg_word_length*,2.9363267391422894e-05,*,5.0077,4.6443,5.0077 ± 0.8746,4.6443 ± 0.8124,0.011462811380624771
hedge_N_count,0.054076733365191164,,0.0259,0.0881,0.0259 ± 0.1892,0.0881 ± 0.4051,0.008435738272964954
hapax_legomena,0.17849093351909037,,0.8445,0.8263,0.8445 ± 0.1371,0.8263 ± 0.1275,0.008395212702453136
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
certainty_adverbs_count,0.08965990425489202,,0.0725,0.1347,0.0725 ± 0.346,0.1347 ± 0.3715,
doubt_verbs_count,0.6536210045812598,,0.0104,0.0155,0.0104 ± 0.1015,0.0155 ± 0.124,
hedge_D_count,0.3986288953449706,,0.0259,0.0415,0.0259 ± 0.1593,0.0415 ± 0.1998,
doubt_adjectives_count*,0.04350032918916646,*,0.0881,0.1606,0.0881 ± 0.2842,0.1606 ± 0.4084,
certainty_verbs_count*,7.787992814943469e-05,*,0.1036,0.3212,0.1036 ± 0.3814,0.3212 ± 0.6538,
hedge_I_count,0.15702774893853494,,0.0104,0.0,0.0104 ± 0.1015,0.0 ± 0.0,
hedge_E_count,0.4071341891953286,,0.0984,0.0725,0.0984 ± 0.3317,0.0725 ± 0.2794,
D_ratio,0.8560528892521058,,0.0017,0.0019,0.0017 ± 0.0106,0.0019 ± 0.0095,
I_ratio,0.15715208703445535,,0.0005,0.0,0.0005 ± 0.005,0.0 ± 0.0,
N_ratio*,0.037979050303454845,*,0.0009,0.0033,0.0009 ± 0.0063,0.0033 ± 0.0147,
