dataset,subdataset,sentence,flag,Bert,BiGRU,BiLSTM,Distilbert,GRU,LSTM,RNN,Roberta,Smallbert,Status,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
airlines,aircraft,I loved the extra legroom in the seats which made the 14-hour flight much more comfortable.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,17.0,1.0,4.470588235294118,2.3792645195478452,0.8823529411764706,0.8235294117647058,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.058823529411764705,1.0,0.47368421052631576,0.058823529411764705,6.137499999999999,0.0,0.058823529411764705,0.4,0.55,0.0011444047559052706,0.935015857219696,0.0013559045037254691,0.00443340465426445,0.004447699524462223,0.004705688450485468,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,aircraft,The airline lost my luggage and the seat was incredibly uncomfortable.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,12.0,1.0,5.0,3.415650255319866,1.0,1.0,0.4166666666666667,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.4166666666666667,0.08333333333333333,10.154545454545456,0.0,0.0,-0.5,1.0,0.03946993872523308,0.0005346520920284092,0.08451646566390991,0.03792629390954971,0.811089277267456,0.0042992448434233665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,aircraft,The cabin was cramped and the seats were uncomfortable.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,10.0,1.0,4.7,3.1638584039112754,1.0,1.0,0.5,0.1,0.2,0.3,0.1,0.0,0.0,1.0,0.5,0.1,6.2755555555555596,0.0,0.0,-0.5,1.0,0.010363318957388401,0.0013253557262942195,0.035032644867897034,0.05479703098535538,0.8316379189491272,0.0036634455900639296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,aircraft,The cramped legroom on the flight was truly disappointing and made the journey uncomfortable.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,15.0,1.0,5.333333333333333,3.515047020390418,0.9333333333333333,0.8666666666666667,0.4,0.06666666666666667,0.2,0.13333333333333333,0.2,0.06666666666666667,0.0,1.0,0.4666666666666667,0.06666666666666667,10.098571428571429,0.0,0.06666666666666667,-0.55,0.85,0.006126613821834326,0.0024657368194311857,0.22525881230831146,0.0846623033285141,0.6217559576034546,0.007235518656671047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,aircraft,The legroom in economy class was adequate for the journey,explicit,True,True,True,True,True,True,True,True,True,Misclassified,10.0,1.0,4.8,2.1354156504062622,1.0,1.0,0.5,0.0,0.4,0.1,0.1,0.0,0.0,1.0,0.5,0.0,8.370000000000001,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0022094501182436943,0.03604640066623688,0.0069616385735571384,0.006523767486214638,0.006294737104326487,0.023064440116286278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,aircraft,"The legroom on the airline's economy class flights is standard, meeting the basic requirements of most passengers.",explicit,True,True,True,True,True,True,True,True,True,Misclassified,20.0,1.0,4.9,3.031501278244824,0.95,0.9,0.35,0.15,0.35,0.1,0.15,0.0,0.0,1.0,0.4,0.05,11.169411764705881,0.0,0.05,0.16666666666666666,0.20833333333333334,0.00350505905225873,0.011631539091467857,0.00413854606449604,0.003609373467043042,0.03182082995772362,0.007200478110462427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,aircraft,The legroom on the plane was incredibly spacious.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,9.0,1.0,4.666666666666667,2.8674417556808756,1.0,1.0,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,1.0,0.4444444444444444,0.1111111111111111,6.705000000000002,0.0,0.0,0.9,0.9,0.004153739660978317,0.12946435809135437,0.006539385765790939,0.006153614725917578,0.02784358337521553,0.018610743805766106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,aircraft,The legroom on this flight was so cramped that I couldn't even stretch my legs.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,17.0,1.0,3.823529411764706,1.947405336146688,1.0,1.0,0.47058823529411764,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.11764705882352941,1.0,0.6470588235294118,0.058823529411764705,4.420000000000002,0.0,0.11764705882352941,0.0,0.0,0.027378249913454056,0.001489139860495925,0.15194597840309143,0.05222858116030693,0.615829348564148,0.038345735520124435,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,aircraft,The spacious seats and ample legroom significantly improved my overall comfort during the long-haul flight.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,16.0,1.0,5.8125,2.9414866564375233,1.0,1.0,0.3125,0.125,0.25,0.0625,0.25,0.0625,0.0625,1.0,0.2777777777777778,0.0625,12.286666666666669,0.0,0.0,0.1875,0.4375,0.0036849146708846092,0.21104475855827332,0.008311482146382332,0.008587867952883244,0.009778322651982307,0.009604450315237045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,booking,The flight price was surprisingly high considering the time of the year and the airline's reputation.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,18.0,1.0,4.777777777777778,3.119037521692933,0.8888888888888888,0.8333333333333334,0.3888888888888889,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0,1.0,0.4444444444444444,0.05555555555555555,9.825,0.0,0.05555555555555555,0.16,0.5399999999999999,0.0038526656571775675,0.014357064850628376,0.0025056623853743076,0.0007450769771821797,0.0019419697346165776,0.9524351954460144,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,flight,The airline lost my luggage and the seat was incredibly uncomfortable.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,12.0,1.0,5.0,3.415650255319866,1.0,1.0,0.4166666666666667,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.4166666666666667,0.08333333333333333,10.154545454545456,0.0,0.0,-0.5,1.0,0.03946993872523308,0.0005346520920284092,0.08451646566390991,0.03792629390954971,0.811089277267456,0.0042992448434233665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,flight,The airline's promise to provide a memorable journey turned out to be more of a hiccup than a smooth ride.,implicit,True,True,True,True,True,True,True,True,True,Misclassified,22.0,1.0,3.9545454545454546,2.4397703455126623,0.8636363636363636,0.7727272727272727,0.5,0.09090909090909091,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.0,0.0,1.0,0.5454545454545454,0.045454545454545456,8.73,0.0,0.045454545454545456,0.4666666666666666,0.6666666666666666,0.007153549697250128,0.21715088188648224,0.017305811867117882,0.02517423965036869,0.005949622485786676,0.05928008630871773,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,flight,"The in-flight entertainment system was glitch-free, providing a smooth experience throughout the entire journey.",explicit,True,True,True,True,True,True,True,True,True,Misclassified,16.0,1.0,6.1875,3.761960094153047,1.0,1.0,0.25,0.25,0.25,0.125,0.25,0.0,0.0,1.0,0.3,0.0625,14.312857142857148,0.0,0.0625,0.2,0.5625,0.003391246311366558,0.1091727539896965,0.004412401933223009,0.007383444346487522,0.003365352749824524,0.02601294033229351,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,flight,"The legroom on the airline's economy class flights is standard, meeting the basic requirements of most passengers.",explicit,True,True,True,True,True,True,True,True,True,Misclassified,20.0,1.0,4.9,3.031501278244824,0.95,0.9,0.35,0.15,0.35,0.1,0.15,0.0,0.0,1.0,0.4,0.05,11.169411764705881,0.0,0.05,0.16666666666666666,0.20833333333333334,0.00350505905225873,0.011631539091467857,0.00413854606449604,0.003609373467043042,0.03182082995772362,0.007200478110462427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,ground,"I always arrive at the gate right as the boarding starts, no stress, no panic.",implicit,True,True,True,True,True,True,True,True,True,Misclassified,18.0,1.0,3.5555555555555554,2.165954298846436,0.8333333333333334,0.6666666666666666,0.3888888888888889,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,1.0,0.4444444444444444,0.05555555555555555,5.206666666666667,0.0,0.0,0.2857142857142857,0.5357142857142857,0.0031752372160553932,0.0029527151491492987,0.965801477432251,0.002445830963551998,0.001191657967865467,0.0034518337342888117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,ground,The online check-in system was incredibly efficient and streamlined the process,explicit,True,True,True,True,True,True,True,True,True,Misclassified,11.0,1.0,6.2727272727272725,2.86327559054975,1.0,1.0,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,1.0,0.38461538461538464,0.0,10.154545454545456,0.0,0.0,0.9,0.9,0.00785689428448677,0.11211388558149338,0.0034459999296814203,0.0031474726274609566,0.0037367045879364014,0.04673805832862854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airlines,punctuality,"The crew was extremely apologetic and offered compensation for the unexpected delay, demonstrating an understanding of customer satisfaction.",implicit,True,True,True,True,True,True,True,True,True,Misclassified,20.0,1.0,6.2,4.166533331199932,1.0,1.0,0.35,0.1,0.3,0.15,0.1,0.05,0.0,1.0,0.35,0.05,19.618888888888893,0.0,0.05,-0.012499999999999997,1.0,0.060850776731967926,0.020609403029084206,0.003157464787364006,0.3895120918750763,0.08511348068714142,0.008130058646202087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cars,interior,"The smooth, luxurious ride made every mile feel priceless.",implicit,True,True,True,True,True,True,True,True,True,Misclassified,11.0,1.0,4.545454545454546,2.535695578360246,1.0,1.0,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.0,0.0,1.0,0.2727272727272727,0.09090909090909091,7.58666666666667,0.0,0.09090909090909091,0.7,0.75,0.001283845747821033,0.964168131351471,0.0006941996980458498,0.002898020902648568,0.003110322169959545,0.0027486111503094435,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cars,maintenance,I've driven it for years and it's still going strong with minimal repairs.,implicit,True,True,True,True,True,True,True,True,True,Misclassified,16.0,1.0,3.875,1.964529205687714,0.9375,0.875,0.375,0.1875,0.125,0.25,0.125,0.0625,0.1875,1.0,0.5625,0.0625,5.818461538461541,0.0,0.0,0.16666666666666663,0.6666666666666666,0.009112173691391945,0.032639600336551666,0.001709937583655119,0.009853298775851727,0.005952926352620125,0.03615608066320419,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cars,maintenance,The low ownership costs of this car make it a great choice for those who prioritize long-term value.,implicit,True,True,True,True,True,True,True,True,True,Misclassified,19.0,1.0,4.368421052631579,2.53834853721842,1.0,1.0,0.42105263157894735,0.10526315789473684,0.2631578947368421,0.10526315789473684,0.15789473684210525,0.0,0.05263157894736842,1.0,0.42857142857142855,0.05263157894736842,7.818888888888889,0.0,0.05263157894736842,0.4,0.525,0.0066344947554171085,0.27890658378601074,0.0030109076760709286,0.006031655240803957,0.00704355351626873,0.00991048663854599,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cars,performance,"Even at high speeds, the car didn't skid, instilling confidence in every turn.",implicit,True,True,True,True,True,True,True,True,True,Misclassified,17.0,1.0,3.8823529411764706,2.6095380015080982,0.9411764705882353,0.8823529411764706,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.0,1.0,0.4117647058823529,0.058823529411764705,8.541538461538462,0.0,0.058823529411764705,0.16,0.5399999999999999,0.008000041358172894,0.029897024855017662,0.18713141977787018,0.007926180958747864,0.00937764160335064,0.008909388445317745,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cars,safety,I got an adrenaline rush driving down the highway with the windows down.,implicit,True,True,True,True,True,True,True,True,True,Misclassified,14.0,1.0,4.285714285714286,2.4907993963089563,0.8571428571428571,0.7142857142857143,0.5,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.0,0.0,0.07142857142857142,1.0,0.5,0.07142857142857142,6.726153846153846,0.0,0.0,-0.15555555555555559,0.2888888888888889,0.02422715537250042,0.8625228404998779,0.06619954109191895,0.0028759329579770565,0.004464651923626661,0.02764725871384144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cars,safety,"When it comes to long drives, this vehicle doesn't inspire confidence.",implicit,True,True,True,True,True,True,True,True,True,Misclassified,14.0,1.0,4.285714285714286,2.4619554199448697,1.0,1.0,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,0.42857142857142855,0.07142857142857142,6.936363636363637,0.0,0.07142857142857142,-0.05,0.4,0.027167676016688347,0.010961124673485756,0.05702061206102371,0.017342964187264442,0.09792690724134445,0.014790126122534275,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cars,value,I'm disappointed with the high maintenance costs of this car; they are much greater than I expected.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,20.0,1.0,4.2,3.043024810940588,0.95,0.9,0.45,0.15,0.15,0.15,0.15,0.05,0.15,1.0,0.55,0.05,8.39294117647059,0.0,0.15,-0.047499999999999994,0.5475,0.007922554388642311,0.008075154386460781,0.0024500470608472824,0.7425731420516968,0.007631383370608091,0.16312353312969208,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
