dataset,subdataset,sentence,flag,Bert,BiGRU,BiLSTM,Distilbert,GRU,LSTM,RNN,Roberta,Smallbert,Status
airlines,aircraft,"After a few flights, I started to feel like a valued customer.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"After frequent travels with this airline, I've started to feel a sense of belonging.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"After repeatedly being told the flight was on time, I was quite surprised to see the plane still not on the runway an hour before departure.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"After several attempts, I managed to finally get through to a friendly agent who assisted me with the flight changes.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"After years of traveling with them, I finally got to enjoy a first-class upgrade without having to pay extra.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Arriving at the airport an hour before my flight, I was pleasantly surprised at how quickly I navigated through the lines.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Being a long-time flyer, I was often treated to unexpected upgrades, which made me feel truly valued by the airline.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite a minor delay due to weather, the staff's efficient management ensured everyone's seats were occupied before we needed to move.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite being a frequent flier, I rarely earn any points towards my travels.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite our departure time, we were still left waiting on the tarmac for an indefinite period.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite paying a high premium for my ticket, I've yet to see a perk that justifies my investment.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite paying extra for a priority boarding ticket, we were stuck in a long queue.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite the busy schedule, the flight landed just in time for our meeting, seamlessly coordinating with the tight agenda.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite the chaotic weather, they made sure we got to the gate on time, which was a relief.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite the inconvenience of missing my connecting flight, the exceptional treatment and upgrades I received from the airline staff made the whole ordeal worthwhile.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite the long journey, we barely managed to catch a wink.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite the long queues at the check-in counter, my trip was smooth thanks to the efficiency of the airline staff.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite the rain, my walk from the terminal to the gate was smooth and stress-free.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Despite the rush-hour traffic, we were able to catch our connecting flight with ease.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,Earning and redeeming miles with their frequent flyer program has been incredibly straightforward and rewarding.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,Earning enough miles to get a free flight took much longer than expected.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,Earning miles with their loyalty program is a breeze.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"Every time I had to check in, I always felt recognized and treated with special care, like I had a VIP status.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,Figuring out the flight schedules was surprisingly straightforward.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"From the moment we arrived at the airport until we boarded the plane, everything ran like clockwork.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I absolutely love my airline's frequent flyer program; earning miles has never been so rewarding and easy to track.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I absolutely love the miles earned through their loyalty program, it's what keeps me coming back.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I absolutely loved the efficiency of the baggage handling at XYZ Airlines, it made my journey stress-free.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I absolutely loved the efficiency of the check-in process at the airport.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I always arrive at the gate just as they start boarding.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I always arrive at the gate right as the boarding starts, no stress, no panic.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I always choose the airline that's offering the quickest check-in process, which makes me feel like a VIP.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I always enjoy my upgrades, it's a great perk of flying frequently with them.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I always feel so cramped on these flights, even when the cabin seems full.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I always fly with this airline because I'm treated so well as a repeat customer.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I always fly with this airline because of the countless benefits I've earned over the years.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I always leave extra time for security and check-in, just in case something happens again.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I always look forward to my upgrades, thanks to the airline's consistent recognition of my travel frequency.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I always rely on this airline for its exceptional on-time performance.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I always rely on this airline for its exceptional punctuality.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I always stick with this airline because I feel like they reward my frequent travel with better treatment and privileges.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I always trust this airline for their punctuality; they consistently depart and arrive on time.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I appreciated the airline's ability to keep its schedule, even when faced with unforeseen weather conditions.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I appreciated the airline's commitment to on-time departures and arrivals.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I appreciated the airline's consistently punctual departures and arrivals, ensuring my schedule remained uninterrupted.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I appreciated the airline's punctuality, as my flight departed and arrived right on time, making our travel stress-free.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I appreciated the airline's punctuality, as my flight departed exactly on time.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I appreciated the airline's straightforward booking process, which allowed me to quickly select my seats and reserve my preferred travel dates.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I appreciated the airline's thoughtful gestures towards frequent flyers, which made me feel valued and loyal.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I appreciated the convenient booking process offered by the airline's mobile app.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I appreciated the efficient, well-staffed check-in counter at the airport, which made my pre-flight experience pleasant and stress-free.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I appreciated the straightforward, user-friendly website interface, making seat selection and booking a breeze.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I barely got any sleep during my six-hour flight, making me feel exhausted upon arrival.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I barely slept a wink during the flight; the constant announcements were disruptive.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I enjoyed the movie selection on the flight.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I felt a bit anxious during the flight, but it was due to the turbulence.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I felt a bit cramped throughout the journey.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I felt an unusual amount of turbulence during the flight, which was quite unsettling.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I felt cramped throughout the entire flight, with barely enough room to move my legs.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I find myself checking the same airline's app religiously for new offers and destinations, even if it's not the most direct route.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I found the airline's online booking platform incredibly user-friendly.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I got an email confirmation of my flight booking within 24 hours, which provided a sense of relief.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I got to the gate an hour early, which was nice because I could take a seat and relax before boarding.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I had difficulty navigating the airline's confusing online booking platform.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I had to call customer service three times to sort out my travel plans, which was quite frustrating.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I had to call multiple times to resolve the issue,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I had to call their customer service multiple times to secure my seat, it was incredibly time-consuming.",implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I highly value my airline's tiered reward system because it offers increasing perks with each level of loyalty.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I just redeemed my miles for an upgrade, and the loyalty program staff's assistance was exceptional.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I kept coming back to this airline because of the personalized treatment and benefits I receive as a frequent flyer.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I left the airport feeling like I had barely gotten a taste of what it was like to travel.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I love flying with this airline because of their excellent loyalty program, which rewards me with free upgrades and priority boarding.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I love how easy it is to earn and redeem miles with their frequent flyer program.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I love how flexible the airline's frequent flyer program is, allowing me to easily redeem my miles for upgrades.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I love how their frequent flyer program allows me to earn miles so quickly.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I love how their frequent flyer program rewards me with free upgrades.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I love the flexibility of the airline's frequent flyer program, it allows me to upgrade to business class for free.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I love the hassle-free and efficient check-in process at the airline's ground counter, making the beginning of my journey stress-free and enjoyable.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I loved earning miles with the airline's loyalty program, and it was worth the extra effort to reach the next tier.",explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I loved flying with this airline because I earned points for every flight and could redeem them for free upgrades and priority boarding.,implicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I loved the comfortable and spacious seating on the Airbus A350 aircraft,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,I loved the step-by-step guided assistance during the online booking process.,explicit,True,True,True,True,True,True,True,True,True,Correct
airlines,aircraft,"I loved the user-friendly booking process of Emirates Airlines, where I could easily select my seats and add special meal requests.",explicit,True,True,True,True,True,True,True,True,True,Correct
