feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
E_ratio,0.47241489349214116,,0.006,0.0049,0.006 ± 0.0211,0.0049 ± 0.0182,0.07764821499586105
fear*,1.0384492620289251e-12,*,0.1608,0.3527,0.1608 ± 0.2837,0.3527 ± 0.3803,0.07605335116386414
pronoun_ratio*,0.0018791086404525293,*,0.0293,0.0201,0.0293 ± 0.0376,0.0201 ± 0.0371,0.0592380091547966
sentence_count,0.3017543733555318,,1.5046,1.582,1.5046 ± 0.7409,1.582 ± 1.1237,0.05071111395955086
word_count,0.8242931476309642,,22.774,22.6161,22.774 ± 5.6344,22.6161 ± 11.4662,0.04813424497842789
avg_word_length*,4.781457109034317e-12,*,4.5301,4.9631,4.5301 ± 0.6363,4.9631 ± 0.903,0.04346201941370964
surprise*,4.7481662490063965e-07,*,0.1914,0.1193,0.1914 ± 0.2003,0.1193 ± 0.1575,0.04208246245980263
doubt_adjectives_count,0.30263672609127396,,0.0836,0.1084,0.0836 ± 0.2882,0.1084 ± 0.3211,0.04166422411799431
sentiment_polarity*,0.00028598900000116004,*,0.0964,0.0299,0.0964 ± 0.2621,0.0299 ± 0.1967,0.04136815667152405
certainty_adjectives_count*,2.0903764538933895e-08,*,0.3498,0.13,0.3498 ± 0.5988,0.13 ± 0.3548,0.03778025880455971
type_token_ratio,0.7173806844952482,,0.9154,0.9132,0.9154 ± 0.0742,0.9132 ± 0.0846,0.032111022621393204
joy*,1.3659534909096177e-09,*,0.1745,0.0775,0.1745 ± 0.2477,0.0775 ± 0.1376,0.029142186045646667
anger*,1.4838770542275828e-06,*,0.0651,0.131,0.0651 ± 0.127,0.131 ± 0.2082,0.028053535148501396
function_word_ratio*,3.168199577876116e-09,*,0.3059,0.2432,0.3059 ± 0.1322,0.2432 ± 0.1332,0.027886750176548958
stopword_ratio*,4.546069611355173e-08,*,0.2444,0.1937,0.2444 ± 0.1138,0.1937 ± 0.119,0.025500386953353882
hedge_C_count,0.22199441130738573,,17.3127,16.7307,17.3127 ± 4.4019,16.7307 ± 7.3382,0.025458795949816704
disgust,0.15083660391404907,,0.0149,0.0076,0.0149 ± 0.0745,0.0076 ± 0.0531,0.024639468640089035
sentiment_subjectivity*,7.040542457570959e-06,*,0.3503,0.2353,0.3503 ± 0.3352,0.2353 ± 0.3094,0.023128364235162735
verb_ratio,0.1740593515338906,,0.1056,0.1131,0.1056 ± 0.0674,0.1131 ± 0.0735,0.022987000644207
hapax_legomena,0.8128853202328559,,0.8501,0.8478,0.8501 ± 0.1201,0.8478 ± 0.1352,0.02265937626361847
std_word_length*,1.6989545969665175e-06,*,3.4717,3.777,3.4717 ± 0.781,3.777 ± 0.8245,0.02234584279358387
doubt_adverbs_count*,0.015607922063412778,*,0.3127,0.2136,0.3127 ± 0.5444,0.2136 ± 0.493,0.022006500512361526
hedges_score,0.07087414562598704,,0.196,0.1444,0.196 ± 0.3846,0.1444 ± 0.3387,0.0219167061150074
noun_ratio,0.13360886979551798,,0.4401,0.4568,0.4401 ± 0.1325,0.4568 ± 0.1498,0.01944633387029171
certainty_verbs_count*,0.0065088677753082184,*,0.3065,0.195,0.3065 ± 0.5701,0.195 ± 0.4619,0.01612826995551586
adj_ratio*,0.010937162308775651,*,0.0637,0.054,0.0637 ± 0.0462,0.054 ± 0.0503,0.015614142641425133
sadness,0.6718659100525735,,0.1046,0.0984,0.1046 ± 0.1932,0.0984 ± 0.1787,0.014614429324865341
readability_score*,8.430408115490116e-07,*,8.4765,9.938,8.4765 ± 3.5571,9.938 ± 3.9033,0.014357851818203926
punctuation_density*,4.6184798408568375e-05,*,0.3522,0.4071,0.3522 ± 0.1722,0.4071 ± 0.1681,0.013768559321761131
subordinate_clause_ratio,0.5174331819097674,,0.0409,0.0384,0.0409 ± 0.0505,0.0384 ± 0.047,0.012993672862648964
sentence_length_variation,0.9000471149655562,,1.6527,1.6253,1.6527 ± 2.5377,1.6253 ± 2.9837,0.012489765882492065
C_ratio*,0.007243152096317875,*,0.9852,0.9913,0.9852 ± 0.0328,0.9913 ± 0.0234,0.012399774044752121
adv_ratio*,0.0026900080511238498,*,0.0292,0.0202,0.0292 ± 0.042,0.0202 ± 0.0332,0.011133869178593159
punctuation_usage,0.42478210655328974,,0.0801,0.084,0.0801 ± 0.0667,0.084 ± 0.0569,0.011075417511165142
certainty_adverbs_count*,0.002635689949910616,*,0.1796,0.0898,0.1796 ± 0.4444,0.0898 ± 0.297,
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
hedge_D_count,0.3723637023192544,,0.0588,0.0433,0.0588 ± 0.2357,0.0433 ± 0.2039,
doubt_verbs_count*,0.010374476805421235,*,0.0464,0.0124,0.0464 ± 0.2108,0.0124 ± 0.1108,
hedge_I_count,0.527313735095598,,0.0031,0.0093,0.0031 ± 0.0556,0.0093 ± 0.1669,
hedge_E_count,0.6898849118627135,,0.0898,0.0805,0.0898 ± 0.3172,0.0805 ± 0.2725,
hedge_N_count*,0.011973667970492562,*,0.1053,0.0372,0.1053 ± 0.4186,0.0372 ± 0.2464,
D_ratio,0.3846648275259681,,0.0031,0.0022,0.0031 ± 0.0126,0.0022 ± 0.0115,
I_ratio,0.9025311474659212,,0.0002,0.0002,0.0002 ± 0.004,0.0002 ± 0.0033,
N_ratio*,0.0024536593594629125,*,0.0054,0.0014,0.0054 ± 0.0221,0.0014 ± 0.0094,
