feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
N_ratio*,0.010771409926773329,*,0.0017,0.0052,0.0017 ± 0.0101,0.0052 ± 0.0188,0.09860473871231079
hedge_D_count,0.06668592149785899,,0.1033,0.0496,0.1033 ± 0.3993,0.0496 ± 0.2175,0.08461184799671173
noun_ratio*,1.5615505917015297e-10,*,0.4424,0.3593,0.4424 ± 0.1508,0.3593 ± 0.1279,0.06714219599962234
doubt_adjectives_count,0.3754481537955987,,0.0826,0.1074,0.0826 ± 0.2906,0.1074 ± 0.3234,0.060534458607435226
certainty_verbs_count,0.22091499762746564,,0.3223,0.3967,0.3223 ± 0.6405,0.3967 ± 0.6935,0.04413615167140961
stopword_ratio*,3.904872334028156e-10,*,0.2015,0.2727,0.2015 ± 0.1244,0.2727 ± 0.1208,0.038092825561761856
anger*,0.0014311017129028077,*,0.2359,0.1658,0.2359 ± 0.2659,0.1658 ± 0.2118,0.032066140323877335
certainty_adjectives_count*,0.00018910163810511446,*,0.1612,0.3306,0.1612 ± 0.421,0.3306 ± 0.5599,0.03146848455071449
C_ratio,0.7463856343094889,,0.987,0.9879,0.987 ± 0.0303,0.9879 ± 0.0283,0.029975729063153267
adj_ratio,0.2925992966354289,,0.0575,0.0624,0.0575 ± 0.0524,0.0624 ± 0.0493,0.027979910373687744
sentence_count*,4.678657544737221e-08,*,1.5992,2.1942,1.5992 ± 1.0147,2.1942 ± 1.3231,0.026640769094228745
sentiment_polarity*,0.04789312897619224,*,0.0209,0.0628,0.0209 ± 0.2177,0.0628 ± 0.2466,0.024847902357578278
type_token_ratio*,0.000390013453998335,*,0.9121,0.8863,0.9121 ± 0.0776,0.8863 ± 0.0813,0.024348687380552292
sadness,0.06883137008396412,,0.1316,0.1004,0.1316 ± 0.2019,0.1004 ± 0.1739,0.022876452654600143
surprise,0.42781527492226257,,0.0685,0.0783,0.0685 ± 0.1187,0.0783 ± 0.1506,0.022152163088321686
E_ratio,0.17891009896153232,,0.0063,0.004,0.0063 ± 0.021,0.004 ± 0.0164,0.021926458925008774
sentiment_subjectivity*,0.0025090699270756554,*,0.2304,0.3112,0.2304 ± 0.3037,0.3112 ± 0.2814,0.02167801931500435
std_word_length*,8.782136099271776e-07,*,3.6876,3.2688,3.6876 ± 0.9197,3.2688 ± 0.9298,0.02097810059785843
punctuation_density*,9.092294152600934e-08,*,0.3998,0.3109,0.3998 ± 0.1949,0.3109 ± 0.1645,0.020845910534262657
disgust,0.5571387274922943,,0.0112,0.0086,0.0112 ± 0.0631,0.0086 ± 0.0275,0.020304450765252113
subordinate_clause_ratio,0.8979293087691078,,0.0475,0.048,0.0475 ± 0.0481,0.048 ± 0.047,0.018987061455845833
adv_ratio*,1.0631649294550409e-05,*,0.021,0.0377,0.021 ± 0.0342,0.0377 ± 0.0474,0.01843946985900402
sentence_length_variation*,3.5925545854022805e-06,*,1.7024,3.0208,1.7024 ± 2.7969,3.0208 ± 3.364,0.018161054700613022
fear*,0.00351657875105682,*,0.352,0.45,0.352 ± 0.3585,0.45 ± 0.3765,0.01726214401423931
verb_ratio*,0.0024533306168300836,*,0.1173,0.1356,0.1173 ± 0.0704,0.1356 ± 0.0615,0.0171087384223938
word_count*,1.3651209746220596e-06,*,22.3512,27.2025,22.3512 ± 9.9445,27.2025 ± 11.7951,0.016615571454167366
avg_word_length*,1.0093818309458733e-10,*,4.9699,4.4348,4.9699 ± 0.9697,4.4348 ± 0.8027,0.01592862792313099
readability_score*,1.412959733540541e-05,*,10.1482,8.5089,10.1482 ± 4.3335,8.5089 ± 3.8744,0.015868432819843292
hapax_legomena*,0.0006269771621812434,*,0.846,0.8066,0.846 ± 0.1241,0.8066 ± 0.1279,0.015400543808937073
hedges_score,0.4022603666076261,,0.2042,0.1753,0.2042 ± 0.3883,0.1753 ± 0.3689,0.015125640667974949
hedge_C_count*,9.862617299372718e-07,*,16.876,20.8471,16.876 ± 8.0285,20.8471 ± 9.5268,0.01503442507237196
joy,0.09817042810473162,,0.0441,0.0664,0.0441 ± 0.1169,0.0664 ± 0.1736,0.014903432689607143
certainty_adverbs_count,0.19300706189299052,,0.1198,0.1653,0.1198 ± 0.338,0.1653 ± 0.4243,0.014848628081381321
function_word_ratio*,1.4129180480495508e-09,*,0.2579,0.3371,0.2579 ± 0.1449,0.3371 ± 0.1373,0.01418793573975563
pronoun_ratio*,0.00038822406109304854,*,0.0283,0.0445,0.0283 ± 0.0484,0.0445 ± 0.0515,0.012495757080614567
punctuation_usage,0.30314029987807467,,0.0862,0.0807,0.0862 ± 0.0573,0.0807 ± 0.0609,0.011585516855120659
doubt_adverbs_count*,0.0024462567005148106,*,0.2066,0.3554,0.2066 ± 0.463,0.3554 ± 0.6023,0.006835571490228176
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
doubt_verbs_count*,0.007629630763563126,*,0.0,0.0289,0.0 ± 0.0,0.0289 ± 0.1679,
hedge_E_count,0.2491118412667269,,0.1074,0.0744,0.1074 ± 0.3481,0.0744 ± 0.2783,
hedge_N_count*,0.0059513396916878875,*,0.0372,0.1198,0.0372 ± 0.2104,0.1198 ± 0.4151,
hedge_I_count,0.10193471093185988,,0.0,0.0165,0.0 ± 0.0,0.0165 ± 0.1569,
D_ratio*,0.04969190110260698,*,0.005,0.0022,0.005 ± 0.0189,0.0022 ± 0.0104,
I_ratio,0.15481819131413735,,0.0,0.0007,0.0 ± 0.0,0.0007 ± 0.0072,
