feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant,coefficient,abs_coef
std_word_length,whole,ALL,All Stances,whole,0.1601,0.0524,-0.1291,-0.1102,small,negligible,False,Cliff's delta,negligible,no,0.16235627767456995,0.16235627767456995
type_token_ratio,whole,ALL,All Stances,whole,0.6392,0.6473,-0.0453,-0.026,small,negligible,False,Cliff's delta,negligible,no,0.2101908683312314,0.2101908683312314
stopword_ratio,whole,ALL,All Stances,whole,0.2866,0.2481,0.1138,0.0656,small,negligible,True,Cohen's d,small,no,0.3803458718524194,0.3803458718524194
noun_ratio,whole,ALL,All Stances,whole,0.3437,0.3251,-0.0972,-0.0559,small,negligible,False,Cliff's delta,negligible,no,0.2095548874810318,0.2095548874810318
verb_ratio,whole,ALL,All Stances,whole,0.173,0.1844,0.1381,0.0754,small,negligible,False,Cliff's delta,negligible,no,0.2653192589072394,0.2653192589072394
adj_ratio,whole,ALL,All Stances,whole,0.0537,0.1129,-0.2156,-0.0896,small,negligible,False,Cliff's delta,negligible,no,0.2336581968904838,0.2336581968904838
adv_ratio,whole,ALL,All Stances,whole,0.6353,0.6576,0.0465,0.0247,small,negligible,False,Cliff's delta,negligible,no,0.1463977537320671,0.1463977537320671
sentence_length_variation,whole,ALL,All Stances,whole,0.7522,0.8456,0.0301,0.011,small,negligible,False,Cliff's delta,negligible,no,0.12534413425342067,0.12534413425342067
fear,whole,ALL,All Stances,whole,0.0953,0.1823,-0.1592,-0.0758,small,negligible,False,Cliff's delta,negligible,no,0.33980884510822096,0.33980884510822096
word_count,whole,ALL,All Stances,whole,0.179,0.1823,0.1484,0.0846,small,negligible,False,Cliff's delta,negligible,no,0.7037530609931505,0.7037530609931505
std_word_length,whole,ALL,All Stances,whole,0.8417,0.6951,0.021,-0.0249,small,negligible,False,Cliff's delta,negligible,no,0.16235627767456995,0.16235627767456995
stopword_ratio,whole,ALL,All Stances,whole,0.275,0.279,-0.1146,-0.0687,small,negligible,False,Cliff's delta,negligible,no,0.3803458718524194,0.3803458718524194
noun_ratio,whole,ALL,All Stances,whole,0.328,0.5997,0.0975,0.0333,small,negligible,False,Cliff's delta,negligible,no,0.2095548874810318,0.2095548874810318
verb_ratio,whole,ALL,All Stances,whole,0.6115,0.6759,-0.054,-0.0265,small,negligible,True,Cohen's d,small,no,0.2653192589072394,0.2653192589072394
sentence_length_variation,whole,ALL,All Stances,whole,0.4853,0.9659,-0.0914,0.0027,small,negligible,False,Cliff's delta,negligible,no,0.12534413425342067,0.12534413425342067
fear,whole,ALL,All Stances,whole,0.7564,0.5951,-0.0338,-0.0337,small,negligible,False,Cliff's delta,negligible,no,0.33980884510822096,0.33980884510822096
