target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_count,possibility_modals_count,necessity_modals_count,predictive_modals_count
Atheism,"Psalm 86:17 Is. 7:14 God will give you a sign. ""Father, within the next 3 days, show me a sign; a token. #SemST",0,31.0,4.0,2.903225806451613,1.691627174467986,0.8064516129032258,0.6774193548387096,0.25806451612903225,0.3225806451612903,0.2903225806451613,0.06451612903225806,0.03225806451612903,0.0,0.06451612903225806,1.0,0.3870967741935484,0.0967741935483871,0.4,4.205650960315181,0.0,0.0,0.0,0.04463445395231247,0.036904849112033844,0.8643283247947693,0.006944638676941395,0.0009208060801029205,0.01690574362874031,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Atheism,In other related news. Boko Haram has killed over 200 people in the last 48hrs. #SemST,2,19.0,3.0,3.736842105263158,1.7424153007628262,0.9473684210526315,0.8947368421052632,0.3157894736842105,0.15789473684210525,0.2631578947368421,0.10526315789473684,0.15789473684210525,0.0,0.0,1.0,0.3684210526315789,0.10526315789473684,2.9,4.189935029992179,0.0,-0.08125,0.21041666666666667,0.03835446760058403,0.0016577134374529123,0.911001980304718,0.03300889953970909,0.001130506512708962,0.010053097270429134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atheism,Yeah I think maybe words just stopped mattering #SemST,2,10.0,1.0,4.6,2.2891046284519194,1.0,1.0,0.2,0.1,0.2,0.3,0.0,0.2,0.1,1.0,0.2,0.0,2.1,0.0,0.2,0.0,0.0,0.16169944405555725,0.019025804474949837,0.28128015995025635,0.05633915588259697,0.011044882237911224,0.1869240701198578,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Atheism,Every religion is good that teaches man to be good and I know of none that instructs him to be bad. ~Thomas Paine #SemST,0,26.0,2.0,3.730769230769231,2.1041660563984506,0.8461538461538461,0.6923076923076923,0.4230769230769231,0.11538461538461539,0.19230769230769232,0.23076923076923078,0.15384615384615385,0.0,0.07692307692307693,1.0,0.5,0.038461538461538464,3.3,9.0,0.07692307692307693,0.23333333333333336,0.6222222222222222,0.07867061346769333,0.02838204987347126,0.8512225151062012,0.015313020907342434,0.0022805139888077974,0.010155104100704193,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Atheism,Best feeling is when you think you can't do it but you did! #Will #SemST,2,19.0,2.0,3.0526315789473686,1.5034586165353367,0.8421052631578947,0.7368421052631579,0.5263157894736842,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.21052631578947367,1.0,0.631578947368421,0.05263157894736842,3.2,5.5,0.10526315789473684,1.0,0.3,0.14617840945720673,0.03209077939391136,0.7327906489372253,0.04640581086277962,0.0016669537872076035,0.03003954514861107,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Atheism,"My Jesus, I wish to do nothing but Thy most holy will. #Saint Philip Neri #Catholic #SemST",0,22.0,2.0,3.3636363636363638,2.034820844145399,0.9090909090909091,0.8636363636363636,0.3181818181818182,0.22727272727272727,0.4090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.09090909090909091,1.0,0.36363636363636365,0.045454545454545456,0.7,3.5,0.045454545454545456,0.25,0.3,0.008285033516585827,0.01872471533715725,0.9150563478469849,0.05407888442277908,0.0004538187349680811,0.0022478438913822174,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Atheism,@BJPScams @ANI_news Elections were nearing in Bihar / UP / TN so he may be so sickularism sorry #SemST,2,22.0,1.0,3.8181818181818183,2.9485954073139733,0.8636363636363636,0.7272727272727273,0.3181818181818182,0.2727272727272727,0.45454545454545453,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.045454545454545456,1.0,0.4,0.0,8.7,0.0,0.09090909090909091,-0.5,1.0,0.006383798085153103,0.006674056872725487,0.5209052562713623,0.43446171283721924,0.0008456041105091572,0.022692419588565826,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Atheism,"I love God  but ""We get raped in life by demons and then judged for being negative and complaining"" by Christians. #God #SemST",0,28.0,2.0,3.75,2.516020099851578,0.8571428571428571,0.7142857142857143,0.39285714285714285,0.17857142857142858,0.21428571428571427,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.07142857142857142,1.0,0.41379310344827586,0.03571428571428571,8.7,9.5,0.0,0.1,0.5,0.031192073598504066,0.004979032091796398,0.9346189498901367,0.02599875070154667,0.0015495674451813102,0.0010974270990118384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atheism,Never debate with the devil... Give him an instruction to get behind you!!  #SemST,0,18.0,2.0,3.7777777777777777,2.3465235646603193,0.9444444444444444,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,1.0,0.5263157894736842,0.2777777777777778,3.7,6.0,0.0,-0.625,0.7,0.057549525052309036,0.014126913622021675,0.9023927450180054,0.01078803837299347,0.0009063699981197715,0.006977234501391649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atheism,@Pseud0_Anon @SuhaibSaqib1 very true. Raising awareness and compassion is our goal. #SemST,2,17.0,3.0,4.647058823529412,3.66126266343422,0.8823529411764706,0.7647058823529411,0.23529411764705882,0.35294117647058826,0.47058823529411764,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,0.26666666666666666,0.11764705882352941,3.3,2.449489742783178,0.0,0.45499999999999996,0.8450000000000001,0.22538453340530396,0.3509300947189331,0.37312084436416626,0.027352500706911087,0.003527050605043769,0.004912144970148802,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
