text,stance
"Aetna, Humana extend acquisition deadline https://t.co/fQh12HDQP5",0
@CNBC @chrissyfarr So does this mean CVS doesn't have to buy Aetna anymore?,0
Possible Collapse Of Anthem-Cigna Deal Could Create Opportunities For Smaller Health Plans https://t.co/Faqq2A7lqP #healthcare,0
Will the Aetna-Humana #merger close? See why #regulators have some big concerns: https://t.co/LEAveGB4Mn https://t.co/Th5uvTqJa0,0
Wall Street Hates The Anthem-Cigna Deal: The Two Companies Have Already Lost $3B In Value,0
Anthem-Cigna Proposed Deal Goes to U.S. Federal Court https://t.co/qzdZRXzhrD,0
"Hey, @FTC. Read this short thread. Do not allow CVS to purchase Aetna. They can’t take care of their own business n… https://t.co/oAI7c2NvRE",0
"Corporate mergers crumbling today: Tribune/Sinclair, Rite Aid/Albertsons, and who knows where Cigna/Express Scripts is headed?",0
Fox and Disney were discussing a sort-of merger - but not anymore https://t.co/BzWVAU8fiX https://t.co/rfOP0F4OLn,0
"The DOJ should have sued against the @Disney buyout of Fox, and against others.

Going up against any #Bigs should… https://t.co/1tojh3g1cl",0
"The market thinks the CVS purchase of Aetna is a done deal, based on Q3 numbers. But, is it? Really? https://t.co/UdUpuQprpJ #WeEvokeEmotion",0
Icahn drops fight to block Cigna's takeover of Express Scripts https://t.co/MIH7Qi2NLj via @technology,0
Anthem refuses to sweeten $47B takeover bid that was flatly rejected over the weekend by insurance rival Cigna. http://t.co/IoNUIBIPWD,0
CVS: $69B Aetna acquisition to close later than expected https://t.co/KOuAGk67jf,0
"When Aetna and Humana asked Feds for permission to merge, DOJ said no because it would have reduced need for 'single payer' in near future!",0
With the Fox/Disney merger not taking effect for a year....everything production next year is safe people. After mmmmm not so much,0
We need YOU to call on Governor Malloy to stop Anthem &amp; Cigna from walking all over us. Sign the petition today! https://t.co/GQf822tftc,0
"Activists Question State Reviews Of Proposed Aetna-Humana, Anthem-Cigna Deals  #merger @CCAG @care4every1 @CSMS https://t.co/cMKu8YAsLj",0
Fox's talks with Disney and Comcast could yield a deal this month. Why Rupert Murdoch and his sons are ready to sell https://t.co/AUGqYPAnJK,0
Critics fear mergers between Anthem/Cigna &amp; Aetna/Humana will kill competition http://t.co/tGcPJ5lHxM,0
Anthem-Cigna merger challenge to speed along with new judge assignment https://t.co/VioCYd85qQ,0
"Take Three-- Humana is OUT in 2018, Aetna-Humana are broken up, Anthem-Cigna are broken up and fighting:
https://t.co/lvITWweqnM",0
Cigna posts revenue growth as concerns rise over merger with Express Scripts https://t.co/akclaUKsCW,0
AMA voices 'significant concerns' with insurers' proposed mergers $AET $HUM $ANTM $CI: Full Story https://t.co/8UFNco5KyA,0
