index,score_correct,score_misclassified,actual_outcome,actual_outcome_binary
0,0.7682615612681152,0.23173843873188474,Correct,0
1,0.6664692832702015,0.3335307167297985,Correct,0
2,0.8525477721890213,0.14745222781097858,Correct,0
3,0.681380897665934,0.31861910233406593,Correct,0
4,0.7388774012796667,0.2611225987203333,Correct,0
5,0.8064610624878751,0.19353893751212498,Correct,0
6,0.7897712742478826,0.2102287257521173,Correct,0
7,0.8535470419348002,0.14645295806519978,Correct,0
8,0.7622692141451638,0.23773078585483612,Correct,0
9,0.8034198657921396,0.1965801342078604,Correct,0
10,0.796193946587999,0.20380605341200103,Correct,0
11,0.7621706541911917,0.23782934580880838,Correct,0
12,0.7431512564155909,0.2568487435844091,Correct,0
13,0.70448254253807,0.29551745746193003,Correct,0
14,0.743570765924783,0.256429234075217,Correct,0
15,0.7622692141451638,0.23773078585483612,Correct,0
16,0.7622692141451638,0.23773078585483612,Correct,0
17,0.7889770277404548,0.21102297225954525,Correct,0
18,0.8385588950523059,0.16144110494769423,Correct,0
19,0.8064610624878751,0.19353893751212498,Correct,0
20,0.7048512912019063,0.2951487087980938,Correct,0
21,0.8110212818862751,0.1889787181137249,Correct,0
22,0.8034198657921396,0.1965801342078604,Correct,0
23,0.7125318804422174,0.2874681195577826,Correct,0
24,0.7460248196339817,0.25397518036601835,Correct,0
25,0.6911685100617596,0.30883148993824044,Correct,0
26,0.7308280633755193,0.2691719366244805,Correct,0
27,0.765942545337484,0.23405745466251593,Correct,0
28,0.7185116884156147,0.28148831158438525,Correct,0
29,0.7808410435550813,0.2191589564449187,Correct,0
30,0.7363059317778458,0.26369406822215424,Correct,0
31,0.7003754072384899,0.29962459276151,Correct,0
32,0.7622692141451638,0.23773078585483612,Correct,0
33,0.7053124333613193,0.29468756663868056,Correct,0
34,0.8346967481436222,0.16530325185637773,Correct,0
35,0.7786496757835664,0.22135032421643364,Correct,0
36,0.7751211496531331,0.22487885034686694,Correct,0
37,0.7018264298174554,0.2981735701825447,Correct,0
38,0.7038934006558861,0.2961065993441139,Correct,0
39,0.7902887337190165,0.20971126628098347,Correct,0
40,0.7786798058200024,0.22132019417999765,Correct,0
41,0.7459584593824362,0.2540415406175638,Correct,0
42,0.7168076131869714,0.2831923868130286,Correct,0
43,0.7100606386743037,0.2899393613256962,Correct,0
44,0.7482782006246601,0.2517217993753399,Correct,0
45,0.8326000547170322,0.16739994528296775,Correct,0
46,0.8350619337796539,0.1649380662203461,Correct,0
47,0.6962506845270797,0.3037493154729203,Correct,0
48,0.742436057446536,0.25756394255346393,Correct,0
49,0.7571131222766174,0.2428868777233826,Correct,0
50,0.7315168037507184,0.26848319624928163,Misclassified,1
51,0.7543361826875643,0.24566381731243578,Correct,0
52,0.7723730127492823,0.22762698725071775,Correct,0
53,0.7220784594807249,0.27792154051927503,Correct,0
54,0.7294125702331724,0.2705874297668276,Correct,0
55,0.8034198657921396,0.1965801342078604,Correct,0
56,0.7524854155682619,0.24751458443173815,Correct,0
57,0.7711351244865061,0.22886487551349394,Correct,0
58,0.6739375279640174,0.32606247203598265,Correct,0
59,0.7512671882763778,0.2487328117236222,Correct,0
60,0.7622692141451638,0.23773078585483612,Correct,0
61,0.8417368259031927,0.15826317409680746,Correct,0
