Feature,LR Coef,Significant,Effect Size,Impact,Max Misclass Rate
stopword_ratio,+0.943,yes,Cliff's delta (medium),↑ Misclass,"39.7% ((0.338, 0.571])"
certainty_verbs_count,+0.661,yes,Cliff's delta (negligible),↑ Misclass,"75.0% ((1.0, 2.0])"
fear,+0.572,yes,Cliff's delta (small),↑ Misclass,"44.8% ((0.824, 0.995])"
noun_ratio,+0.479,yes,Cliff's delta (medium),↑ Misclass,"36.2% ((0.281, 0.364])"
verb_ratio,+0.443,yes,Cliff's delta (medium),↑ Misclass,"44.4% ((0.167, 0.364])"
doubt_adverbs_count,+0.337,yes,Cliff's delta (small),↑ Misclass,"27.0% ((1.0, 4.0])"
punctuation_usage,+0.275,yes,Cliff's delta (small),↑ Misclass,"34.0% ((0.0833, 0.333])"
certainty_adverbs_count,+0.217,yes,Cliff's delta (negligible),↑ Misclass,"24.3% ((-0.001, 2.0])"
subordinate_clause_ratio,+0.182,yes,Cliff's delta (negligible),↑ Misclass,"35.1% ((0.0645, 0.192])"
sentence_count,+0.170,yes,Cliff's delta (medium),↑ Misclass,"49.0% ((2.0, 6.0])"
anger,+0.165,yes,Cliff's delta (negligible),↑ Misclass,"33.3% ((0.0183, 0.078])"
N_ratio,+0.111,yes,Cliff's delta (negligible),↑ Misclass,"24.3% ((-0.001, 0.0952])"
