feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant,coefficient,abs_coef
word_count,whole,ALL,All Stances,whole,0.01,0.0042,0.2504,0.1628,small,small,False,Cliff's delta,small,yes,0.7036364066728684,0.7036364066728684
anger,whole,ALL,All Stances,whole,0.0002,0.1967,0.2923,0.0734,small,negligible,False,Cliff's delta,negligible,yes,0.15064188380448568,0.15064188380448568
surprise,whole,ALL,All Stances,whole,0.0782,0.0014,-0.1763,-0.1816,small,small,False,Cliff's delta,small,yes,0.19775217180086702,0.19775217180086702
type_token_ratio,whole,ALL,All Stances,whole,0.0372,0.0634,-0.2197,-0.1178,small,negligible,False,Cliff's delta,negligible,yes,0.21014287492029637,0.21014287492029637
adj_ratio,whole,ALL,All Stances,whole,0.0293,0.0166,-0.2471,-0.1517,small,small,False,Cliff's delta,small,yes,0.2336562407604683,0.2336562407604683
adv_ratio,whole,ALL,All Stances,whole,0.0172,0.0058,-0.2616,-0.1717,small,small,False,Cliff's delta,small,yes,0.14639743586791654,0.14639743586791654
anger,whole,ALL,All Stances,whole,0.0006,0.0003,-0.4944,-0.2291,medium,small,False,Cliff's delta,small,yes,0.15064188380448568,0.15064188380448568
surprise,whole,ALL,All Stances,whole,0.5087,0.0015,-0.0984,0.2015,small,small,False,Cliff's delta,small,yes,0.19775217180086702,0.19775217180086702
word_count,whole,ALL,All Stances,whole,0.0008,0.0018,-0.5949,-0.2779,medium,small,False,Cliff's delta,small,yes,0.7036364066728684,0.7036364066728684
std_word_length,whole,ALL,All Stances,whole,0.0,0.0,0.8067,0.4201,large,medium,False,Cliff's delta,medium,yes,0.16236578465546314,0.16236578465546314
type_token_ratio,whole,ALL,All Stances,whole,0.0012,0.0286,-0.4011,-0.1942,medium,small,False,Cliff's delta,small,yes,0.21014287492029637,0.21014287492029637
stopword_ratio,whole,ALL,All Stances,whole,0.0,0.0,-0.8226,-0.4571,large,medium,False,Cliff's delta,medium,yes,0.3803391192289086,0.3803391192289086
noun_ratio,whole,ALL,All Stances,whole,0.0,0.0001,0.6253,0.3443,medium,medium,False,Cliff's delta,medium,yes,0.20955554710251564,0.20955554710251564
verb_ratio,whole,ALL,All Stances,whole,0.0,0.0,-0.8435,-0.4552,large,medium,False,Cliff's delta,medium,yes,0.265312379637967,0.265312379637967
adv_ratio,whole,ALL,All Stances,whole,0.0378,0.0006,-0.2823,-0.2792,small,small,False,Cliff's delta,small,yes,0.14639743586791654,0.14639743586791654
sentence_length_variation,whole,ALL,All Stances,whole,0.0001,0.0,-0.7255,-0.3897,large,medium,False,Cliff's delta,medium,yes,0.12534486457879204,0.12534486457879204
fear,whole,ALL,All Stances,whole,0.0016,0.0011,-0.5376,-0.2906,medium,small,False,Cliff's delta,small,yes,0.33981679805783155,0.33981679805783155
surprise,whole,ALL,All Stances,whole,0.626,0.0004,0.083,0.3138,small,small,False,Cliff's delta,small,yes,0.19775217180086702,0.19775217180086702
punctuation_density,whole,ALL,AGAINST,whole,0.0043,0.0011,-0.2975,-0.186,small,small,False,Cliff's delta,small,yes,0.2757690940063668,0.2757690940063668
sentiment_polarity,whole,ALL,AGAINST,whole,0.0133,0.0041,-0.2471,-0.1609,small,small,False,Cliff's delta,small,yes,0.139791250490368,0.139791250490368
adj_ratio,whole,ALL,AGAINST,whole,0.0293,0.0166,-0.2471,-0.1517,small,small,False,Cliff's delta,small,yes,0.2867366955381549,0.2867366955381549
sentiment_polarity,whole,ALL,AGAINST,whole,0.0001,0.0005,0.3921,0.2188,medium,small,False,Cliff's delta,small,yes,0.139791250490368,0.139791250490368
std_word_length,whole,ALL,AGAINST,whole,0.0,0.0,0.8067,0.4201,large,medium,False,Cliff's delta,medium,yes,0.176929669785389,0.176929669785389
punctuation_density,whole,ALL,AGAINST,whole,0.0,0.0,0.9159,0.4957,large,large,False,Cliff's delta,large,yes,0.2757690940063668,0.2757690940063668
noun_ratio,whole,ALL,AGAINST,whole,0.0,0.0001,0.6253,0.3443,medium,medium,False,Cliff's delta,medium,yes,0.29540535968760157,0.29540535968760157
verb_ratio,whole,ALL,AGAINST,whole,0.0,0.0,-0.8435,-0.4552,large,medium,False,Cliff's delta,medium,yes,0.14593555677700737,0.14593555677700737
function_word_ratio,whole,ALL,AGAINST,whole,0.0,0.0,-0.6491,-0.378,medium,medium,False,Cliff's delta,medium,yes,0.2607270932667822,0.2607270932667822
sentence_length_variation,whole,ALL,AGAINST,whole,0.0001,0.0,-0.7255,-0.3897,large,medium,False,Cliff's delta,medium,yes,0.11188580048701562,0.11188580048701562
certainty_adverbs_count,whole,ALL,AGAINST,whole,0.0662,0.0167,-0.3144,-0.126,medium,negligible,False,Cliff's delta,negligible,yes,0.13917840332924447,0.13917840332924447
anger,whole,ALL,FAVOR,whole,0.0002,0.1967,0.2923,0.0734,small,negligible,False,Cliff's delta,negligible,yes,0.7372387829568646,0.7372387829568646
disgust,whole,ALL,FAVOR,whole,0.0006,0.0002,0.1645,0.2114,small,small,False,Cliff's delta,small,yes,0.3324393296012802,0.3324393296012802
surprise,whole,ALL,FAVOR,whole,0.0782,0.0014,-0.1763,-0.1816,small,small,False,Cliff's delta,small,yes,0.4157445355724545,0.4157445355724545
type_token_ratio,whole,ALL,FAVOR,whole,0.0372,0.0634,-0.2197,-0.1178,small,negligible,False,Cliff's delta,negligible,yes,0.12949979955562535,0.12949979955562535
adj_ratio,whole,ALL,FAVOR,whole,0.0293,0.0166,-0.2471,-0.1517,small,small,False,Cliff's delta,small,yes,0.18715157739601765,0.18715157739601765
adv_ratio,whole,ALL,FAVOR,whole,0.0172,0.0058,-0.2616,-0.1717,small,small,False,Cliff's delta,small,yes,0.24914960025625166,0.24914960025625166
anger,whole,ALL,FAVOR,whole,0.0006,0.0003,-0.4944,-0.2291,medium,small,False,Cliff's delta,small,yes,0.7372387829568646,0.7372387829568646
disgust,whole,ALL,FAVOR,whole,0.0461,0.0116,-0.4306,-0.1601,medium,small,False,Cliff's delta,small,yes,0.3324393296012802,0.3324393296012802
surprise,whole,ALL,FAVOR,whole,0.5087,0.0015,-0.0984,0.2015,small,small,False,Cliff's delta,small,yes,0.4157445355724545,0.4157445355724545
type_token_ratio,whole,ALL,FAVOR,whole,0.0012,0.0286,-0.4011,-0.1942,medium,small,False,Cliff's delta,small,yes,0.12949979955562535,0.12949979955562535
stopword_ratio,whole,ALL,FAVOR,whole,0.0,0.0,-0.8226,-0.4571,large,medium,False,Cliff's delta,medium,yes,0.48247271265061464,0.48247271265061464
verb_ratio,whole,ALL,FAVOR,whole,0.0,0.0,-0.8435,-0.4552,large,medium,False,Cliff's delta,medium,yes,0.15639533708435055,0.15639533708435055
adv_ratio,whole,ALL,FAVOR,whole,0.0378,0.0006,-0.2823,-0.2792,small,small,False,Cliff's delta,small,yes,0.24914960025625166,0.24914960025625166
fear,whole,ALL,FAVOR,whole,0.0016,0.0011,-0.5376,-0.2906,medium,small,False,Cliff's delta,small,yes,0.7290451767134866,0.7290451767134866
surprise,whole,ALL,FAVOR,whole,0.626,0.0004,0.083,0.3138,small,small,False,Cliff's delta,small,yes,0.4157445355724545,0.4157445355724545
subordinate_clause_ratio,whole,ALL,NONE,whole,0.0209,0.068,0.2046,0.1022,small,negligible,False,Cliff's delta,negligible,yes,0.18230524880537052,0.18230524880537052
anger,whole,ALL,NONE,whole,0.0002,0.1967,0.2923,0.0734,small,negligible,False,Cliff's delta,negligible,yes,0.16502337692304908,0.16502337692304908
certainty_verbs_count,whole,ALL,NONE,whole,0.0334,0.0122,0.2069,0.1282,small,negligible,False,Cliff's delta,negligible,yes,0.6606625762263778,0.6606625762263778
anger,whole,ALL,NONE,whole,0.0006,0.0003,-0.4944,-0.2291,medium,small,False,Cliff's delta,small,yes,0.16502337692304908,0.16502337692304908
certainty_verbs_count,whole,ALL,NONE,whole,0.0499,0.1048,0.194,0.0949,small,negligible,False,Cliff's delta,negligible,yes,0.6606625762263778,0.6606625762263778
sentence_count,whole,ALL,NONE,whole,0.0,0.0,-0.8121,-0.3763,large,medium,False,Cliff's delta,medium,yes,0.17038390254931582,0.17038390254931582
stopword_ratio,whole,ALL,NONE,whole,0.0,0.0,-0.8226,-0.4571,large,medium,False,Cliff's delta,medium,yes,0.942673227836464,0.942673227836464
noun_ratio,whole,ALL,NONE,whole,0.0,0.0001,0.6253,0.3443,medium,medium,False,Cliff's delta,medium,yes,0.4792911082086611,0.4792911082086611
verb_ratio,whole,ALL,NONE,whole,0.0,0.0,-0.8435,-0.4552,large,medium,False,Cliff's delta,medium,yes,0.4425973453787449,0.4425973453787449
punctuation_usage,whole,ALL,NONE,whole,0.0411,0.0026,-0.32,-0.2563,medium,small,False,Cliff's delta,small,yes,0.2753900038407037,0.2753900038407037
