feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant,coefficient,abs_coef
subordinate_clause_ratio,whole,ALL,All Stances,whole,0.0209,0.068,0.2046,0.1022,small,negligible,False,Cliff's delta,negligible,yes,-0.11426616913168956,0.11426616913168956
hedge_C_count,whole,ALL,All Stances,whole,0.0022,0.0007,0.2987,0.1919,small,small,False,Cliff's delta,small,yes,-0.7535028245166271,0.7535028245166271
pronoun_ratio,whole,ALL,All Stances,whole,0.0016,0.026,0.2867,0.1404,small,negligible,False,Cliff's delta,negligible,yes,-0.17158270233698122,0.17158270233698122
certainty_adjectives_count,whole,ALL,All Stances,whole,0.0025,0.0448,0.2645,0.1118,small,negligible,False,Cliff's delta,negligible,yes,-0.2167111825525972,0.2167111825525972
avg_word_length,whole,ALL,All Stances,whole,0.0,0.0,0.6902,0.3829,medium,medium,False,Cliff's delta,medium,yes,-0.22942519088039107,0.22942519088039107
function_word_ratio,whole,ALL,All Stances,whole,0.0,0.0,-0.6491,-0.378,medium,medium,False,Cliff's delta,medium,yes,-0.1338440138404635,0.1338440138404635
readability_score,whole,ALL,All Stances,whole,0.0,0.0012,0.608,0.2875,medium,small,False,Cliff's delta,small,yes,-0.15762419579940806,0.15762419579940806
subordinate_clause_ratio,whole,ALL,All Stances,whole,0.0006,0.0001,-0.6507,-0.3126,medium,small,False,Cliff's delta,small,yes,-0.11426616913168956,0.11426616913168956
hedge_C_count,whole,ALL,All Stances,whole,0.0,0.0,-0.8465,-0.5395,large,large,False,Cliff's delta,large,yes,-0.7535028245166271,0.7535028245166271
subordinate_clause_ratio,whole,ALL,AGAINST,whole,0.0209,0.068,0.2046,0.1022,small,negligible,False,Cliff's delta,negligible,yes,-0.12073390853125336,0.12073390853125336
anger,whole,ALL,AGAINST,whole,0.0002,0.1967,0.2923,0.0734,small,negligible,False,Cliff's delta,negligible,yes,-0.3272604059384145,0.3272604059384145
sadness,whole,ALL,AGAINST,whole,0.0052,0.6459,0.2016,0.0261,small,negligible,False,Cliff's delta,negligible,yes,-0.34729265041268004,0.34729265041268004
disgust,whole,ALL,AGAINST,whole,0.0006,0.0002,0.1645,0.2114,small,small,False,Cliff's delta,small,yes,-0.32623954638034236,0.32623954638034236
certainty_verbs_count,whole,ALL,AGAINST,whole,0.0334,0.0122,0.2069,0.1282,small,negligible,False,Cliff's delta,negligible,yes,-0.10250947767864324,0.10250947767864324
anger,whole,ALL,AGAINST,whole,0.0006,0.0003,-0.4944,-0.2291,medium,small,False,Cliff's delta,small,yes,-0.3272604059384145,0.3272604059384145
disgust,whole,ALL,AGAINST,whole,0.0461,0.0116,-0.4306,-0.1601,medium,small,False,Cliff's delta,small,yes,-0.32623954638034236,0.32623954638034236
certainty_verbs_count,whole,ALL,AGAINST,whole,0.0499,0.1048,0.194,0.0949,small,negligible,False,Cliff's delta,negligible,yes,-0.10250947767864324,0.10250947767864324
certainty_adjectives_count,whole,ALL,AGAINST,whole,0.0025,0.0448,0.2645,0.1118,small,negligible,False,Cliff's delta,negligible,yes,-0.1312750334855468,0.1312750334855468
avg_word_length,whole,ALL,AGAINST,whole,0.0,0.0,0.6902,0.3829,medium,medium,False,Cliff's delta,medium,yes,-0.3116865441414115,0.3116865441414115
readability_score,whole,ALL,AGAINST,whole,0.0,0.0012,0.608,0.2875,medium,small,False,Cliff's delta,small,yes,-0.10746201923081794,0.10746201923081794
subordinate_clause_ratio,whole,ALL,AGAINST,whole,0.0006,0.0001,-0.6507,-0.3126,medium,small,False,Cliff's delta,small,yes,-0.12073390853125336,0.12073390853125336
sadness,whole,ALL,AGAINST,whole,0.7357,0.0211,0.0531,0.205,small,small,False,Cliff's delta,small,yes,-0.34729265041268004,0.34729265041268004
certainty_verbs_count,whole,ALL,AGAINST,whole,0.0,0.0,-0.8531,-0.35,large,medium,False,Cliff's delta,medium,yes,-0.10250947767864324,0.10250947767864324
doubt_adverbs_count,whole,ALL,AGAINST,whole,0.0062,0.0003,-0.5492,-0.2091,medium,small,False,Cliff's delta,small,yes,-0.11741190807109082,0.11741190807109082
subordinate_clause_ratio,whole,ALL,FAVOR,whole,0.0209,0.068,0.2046,0.1022,small,negligible,False,Cliff's delta,negligible,yes,-0.2155919908060909,0.2155919908060909
