feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,-0.23062911080825987,0.027148213237524033,0.9868 ± 0.0328,0.9913 ± 0.0234
D_ratio,0.018644292458728347,0.0,0.0019 ± 0.0108,0.0022 ± 0.0115
E_ratio,-0.42214223583045024,0.02501808851957321,0.0044 ± 0.0186,0.0049 ± 0.0182
I_ratio,0.6311973612425658,0.0,0.0003 ± 0.0041,0.0002 ± 0.0033
N_ratio*,0.6244326705727385,0.005000166594982147,0.0065 ± 0.023,0.0014 ± 0.0094
adj_ratio*,0.4763136142435652,0.021349893882870674,0.0632 ± 0.0501,0.054 ± 0.0503
adv_ratio*,0.323910423823014,0.011348034255206585,0.0291 ± 0.0372,0.0202 ± 0.0332
anger*,-0.23221105466343417,0.021904075518250465,0.0839 ± 0.1779,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-1.235498764041319,0.0461755134165287,4.5013 ± 0.6562,4.9631 ± 0.903
certainty_adjectives_count*,0.16592507959576727,0.008300003595650196,0.2539 ± 0.4959,0.13 ± 0.3548
certainty_adverbs_count*,0.06286153698485489,0.0,0.1889 ± 0.4712,0.0898 ± 0.297
certainty_verbs_count*,0.2832619358392804,0.04121823236346245,0.2941 ± 0.5433,0.195 ± 0.4619
disgust,0.0036989371060330164,0.014248737134039402,0.0105 ± 0.0535,0.0076 ± 0.0531
doubt_adjectives_count,-0.17374882725865165,0.041028980165719986,0.0774 ± 0.2899,0.1084 ± 0.3211
doubt_adverbs_count,-0.09095526671457921,0.011809664778411388,0.2539 ± 0.4959,0.2136 ± 0.493
doubt_verbs_count,-0.013385663531034537,0.0,0.0341 ± 0.1817,0.0124 ± 0.1108
fear*,-0.5293592811040202,0.07925524562597275,0.1658 ± 0.2776,0.3527 ± 0.3803
function_word_ratio*,0.4132331209110961,0.027294399216771126,0.3028 ± 0.1405,0.2432 ± 0.1332
hapax_legomena,0.40634743297985454,0.012497583404183388,0.8473 ± 0.1209,0.8478 ± 0.1352
hedge_C_count,-0.10018228937225779,0.033390700817108154,17.3622 ± 4.352,16.7307 ± 7.3382
hedge_D_count,-0.16815891862090845,0.0,0.0372 ± 0.2052,0.0433 ± 0.2039
hedge_E_count,0.23377031243236096,0.0,0.0836 ± 0.3378,0.0805 ± 0.2725
hedge_I_count,-0.5799438673505756,0.0,0.0062 ± 0.0786,0.0093 ± 0.1669
hedge_N_count*,-0.33309444232147933,0.1584489345550537,0.1238 ± 0.4282,0.0372 ± 0.2464
hedges_score,-0.22664694358879744,0.0070251706056296825,0.1712 ± 0.364,0.1444 ± 0.3387
joy*,0.23443100082135152,0.024702219292521477,0.1497 ± 0.2172,0.0775 ± 0.1376
noun_ratio,0.6908972594503731,0.024614064022898674,0.4356 ± 0.1285,0.4568 ± 0.1498
pronoun_ratio*,0.07043529540836108,0.022523125633597374,0.0321 ± 0.0413,0.0201 ± 0.0371
punctuation_density*,0.04420177324044804,0.020385971292853355,0.3602 ± 0.1626,0.4071 ± 0.1681
punctuation_usage,0.1139938460669439,0.02142721600830555,0.0785 ± 0.0626,0.084 ± 0.0569
readability_score*,0.05944404634955945,0.010793978348374367,8.4489 ± 3.4963,9.938 ± 3.9033
sadness,0.16080186702804136,0.017408519983291626,0.1232 ± 0.2138,0.0984 ± 0.1787
sentence_count,-0.3436950529475312,0.04579417034983635,1.5108 ± 0.8354,1.582 ± 1.1237
sentence_length_variation,-0.007830765856533342,0.016825798898935318,1.5276 ± 2.45,1.6253 ± 2.9837
sentiment_polarity,-0.10545546870855986,0.03987809270620346,0.0591 ± 0.2703,0.0299 ± 0.1967
sentiment_subjectivity*,0.13385632708010117,0.01494673453271389,0.3048 ± 0.3223,0.2353 ± 0.3094
std_word_length*,0.5023950534919674,0.017215443775057793,3.4829 ± 0.7437,3.777 ± 0.8245
stopword_ratio*,0.44946879861309996,0.027657492086291313,0.2412 ± 0.1229,0.1937 ± 0.119
subordinate_clause_ratio*,0.16141537744952314,0.01683623716235161,0.0469 ± 0.054,0.0384 ± 0.047
surprise*,0.08337935634790726,0.027470815926790237,0.2048 ± 0.2332,0.1193 ± 0.1575
type_token_ratio,-0.38778192095437225,0.02056000381708145,0.914 ± 0.074,0.9132 ± 0.0846
verb_ratio,-0.20112570619885498,0.012250051833689213,0.1112 ± 0.0705,0.1131 ± 0.0735
word_count,-0.10564594801415185,0.026248538866639137,22.9443 ± 5.2547,22.6161 ± 11.4662
