feature,shap_importance,iteration,stance,model
fear,0.97624964,2,NONE,XGBoost
function_word_ratio,0.70438564,2,NONE,XGBoost
noun_ratio,0.6290672,2,NONE,XGBoost
avg_word_length,0.54265183,2,NONE,XGBoost
disgust,0.5265594,2,NONE,XGBoost
stopword_ratio,0.4774797,2,NONE,XGBoost
surprise,0.4340445,2,NONE,XGBoost
anger,0.38497913,2,NONE,XGBoost
word_count,0.3583468,2,NONE,XGBoost
readability_score,0.31844097,2,NONE,XGBoost
pronoun_ratio,0.29742634,2,NONE,XGBoost
joy,0.29595187,2,NONE,XGBoost
sentiment_polarity,0.29364306,2,NONE,XGBoost
sentence_length_variation,0.26647687,2,NONE,XGBoost
punctuation_density,0.24039641,2,NONE,XGBoost
subordinate_clause_ratio,0.23197822,2,NONE,XGBoost
std_word_length,0.22353125,2,NONE,XGBoost
sadness,0.21375492,2,NONE,XGBoost
punctuation_usage,0.20996667,2,NONE,XGBoost
sentiment_subjectivity,0.20210846,2,NONE,XGBoost
adj_ratio,0.19727243,2,NONE,XGBoost
hedge_C_count,0.16724262,2,NONE,XGBoost
hapax_legomena,0.13558394,2,NONE,XGBoost
certainty_verbs_count,0.12200334,2,NONE,XGBoost
adv_ratio,0.11419383,2,NONE,XGBoost
verb_ratio,0.10647235,2,NONE,XGBoost
type_token_ratio,0.101409644,2,NONE,XGBoost
sentence_count,0.08609386,2,NONE,XGBoost
doubt_adverbs_count,0.06348616,2,NONE,XGBoost
hedges_score,0.030411424,2,NONE,XGBoost
doubt_adjectives_count,0.015617077,2,NONE,XGBoost
certainty_adverbs_count,0.01342732,2,NONE,XGBoost
certainty_adjectives_count,0.012752668,2,NONE,XGBoost
N_ratio,0.011571084,2,NONE,XGBoost
E_ratio,0.009760984,2,NONE,XGBoost
C_ratio,0.009219144,2,NONE,XGBoost
avg_dependency_depth,0.0,2,NONE,XGBoost
doubt_verbs_count,0.0,2,NONE,XGBoost
hedge_D_count,0.0,2,NONE,XGBoost
hedge_E_count,0.0,2,NONE,XGBoost
hedge_N_count,0.0,2,NONE,XGBoost
hedge_I_count,0.0,2,NONE,XGBoost
D_ratio,0.0,2,NONE,XGBoost
I_ratio,0.0,2,NONE,XGBoost
