feature,shap_importance,iteration,stance,model
fear,1.1267376,8,FAVOR,XGBoost
surprise,0.79592264,8,FAVOR,XGBoost
joy,0.689228,8,FAVOR,XGBoost
hedge_C_count,0.6247565,8,FAVOR,XGBoost
word_count,0.5840181,8,FAVOR,XGBoost
std_word_length,0.5539442,8,FAVOR,XGBoost
punctuation_usage,0.44044784,8,FAVOR,XGBoost
disgust,0.39811906,8,FAVOR,XGBoost
type_token_ratio,0.37923402,8,FAVOR,XGBoost
subordinate_clause_ratio,0.37889287,8,FAVOR,XGBoost
noun_ratio,0.3335725,8,FAVOR,XGBoost
sadness,0.30650872,8,FAVOR,XGBoost
function_word_ratio,0.28255257,8,FAVOR,XGBoost
sentence_length_variation,0.25163475,8,FAVOR,XGBoost
sentiment_polarity,0.24951197,8,FAVOR,XGBoost
avg_word_length,0.22728784,8,FAVOR,XGBoost
hapax_legomena,0.22590168,8,FAVOR,XGBoost
anger,0.19825082,8,FAVOR,XGBoost
sentiment_subjectivity,0.1874016,8,FAVOR,XGBoost
pronoun_ratio,0.1872869,8,FAVOR,XGBoost
punctuation_density,0.1725961,8,FAVOR,XGBoost
readability_score,0.17090479,8,FAVOR,XGBoost
adj_ratio,0.14276719,8,FAVOR,XGBoost
stopword_ratio,0.13914911,8,FAVOR,XGBoost
doubt_adverbs_count,0.119456895,8,FAVOR,XGBoost
verb_ratio,0.10782413,8,FAVOR,XGBoost
adv_ratio,0.10415213,8,FAVOR,XGBoost
C_ratio,0.040831216,8,FAVOR,XGBoost
E_ratio,0.038516846,8,FAVOR,XGBoost
certainty_adjectives_count,0.031963028,8,FAVOR,XGBoost
hedges_score,0.030607073,8,FAVOR,XGBoost
sentence_count,0.027096177,8,FAVOR,XGBoost
doubt_adjectives_count,0.021149172,8,FAVOR,XGBoost
avg_dependency_depth,0.0,8,FAVOR,XGBoost
certainty_adverbs_count,0.0,8,FAVOR,XGBoost
certainty_verbs_count,0.0,8,FAVOR,XGBoost
hedge_D_count,0.0,8,FAVOR,XGBoost
doubt_verbs_count,0.0,8,FAVOR,XGBoost
hedge_I_count,0.0,8,FAVOR,XGBoost
hedge_E_count,0.0,8,FAVOR,XGBoost
hedge_N_count,0.0,8,FAVOR,XGBoost
D_ratio,0.0,8,FAVOR,XGBoost
I_ratio,0.0,8,FAVOR,XGBoost
N_ratio,0.0,8,FAVOR,XGBoost
