feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,0.6380128583012942,0.058156922459602356,0.9971 ± 0.0144,0.9879 ± 0.0283
D_ratio*,-0.4881074547796419,0.0,0.0 ± 0.0,0.0022 ± 0.0104
E_ratio,-0.061883437533377904,0.0,0.0029 ± 0.0144,0.004 ± 0.0164
I_ratio,-0.10385007972294193,0.0,0.0 ± 0.0,0.0007 ± 0.0072
N_ratio*,-0.6078937471696145,0.0,0.0 ± 0.0,0.0052 ± 0.0188
adj_ratio,-0.0893437135599799,0.010509897954761982,0.0615 ± 0.0491,0.0624 ± 0.0493
adv_ratio*,-0.46701135902794166,0.013677292503416538,0.0097 ± 0.021,0.0377 ± 0.0474
anger*,0.4032164734644119,0.0069719222374260426,0.2522 ± 0.2499,0.1658 ± 0.2118
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.19442919498117406,0.052846528589725494,5.516 ± 0.8982,4.4348 ± 0.8027
certainty_adjectives_count*,0.23116725376448607,0.0,0.0825 ± 0.2765,0.3306 ± 0.5599
certainty_adverbs_count*,0.5726302405651771,0.0,0.0309 ± 0.2261,0.1653 ± 0.4243
certainty_verbs_count*,-0.22486775047413868,0.0,0.0928 ± 0.2916,0.3967 ± 0.6935
disgust,0.03099184657210756,0.03393486887216568,0.0071 ± 0.0167,0.0086 ± 0.0275
doubt_adjectives_count*,-0.5959205404453907,0.0,0.0309 ± 0.174,0.1074 ± 0.3234
doubt_adverbs_count*,-0.3812502176488776,0.0,0.0722 ± 0.2975,0.3554 ± 0.6023
doubt_verbs_count,-0.3468587660069052,0.0,0.0 ± 0.0,0.0289 ± 0.1679
fear*,0.013995086102193275,0.03115507960319519,0.3008 ± 0.3492,0.45 ± 0.3765
function_word_ratio*,-0.5186003502397778,0.024912657216191292,0.1618 ± 0.0925,0.3371 ± 0.1373
hapax_legomena*,-0.7974606026646907,0.0381009615957737,0.8618 ± 0.1208,0.8066 ± 0.1279
hedge_C_count*,-0.3961616849182948,0.02008536085486412,12.9381 ± 3.4905,20.8471 ± 9.5268
hedge_D_count*,-0.3977501041285338,0.0,0.0 ± 0.0,0.0496 ± 0.2175
hedge_E_count,-0.12026325528471313,0.0,0.0412 ± 0.1999,0.0744 ± 0.2783
hedge_I_count,-0.09385331814679469,0.0,0.0 ± 0.0,0.0165 ± 0.1569
hedge_N_count*,-0.4194133864442308,0.0,0.0 ± 0.0,0.1198 ± 0.4151
hedges_score*,0.8549956656529855,0.029758106917142868,0.0481 ± 0.2076,0.1753 ± 0.3689
joy*,-1.9850354719396615,0.03661121800541878,0.0151 ± 0.017,0.0664 ± 0.1736
noun_ratio*,0.16505513977557404,0.06497291475534439,0.5222 ± 0.1098,0.3593 ± 0.1279
pronoun_ratio*,-0.09308124828758536,0.02070564590394497,0.0035 ± 0.0195,0.0445 ± 0.0515
punctuation_density*,0.2592684295336921,0.027976689860224724,0.5379 ± 0.1712,0.3109 ± 0.1645
punctuation_usage*,0.09799178897593104,0.012924237176775932,0.1089 ± 0.0695,0.0807 ± 0.0609
readability_score*,0.0307006016874036,0.010988051071763039,11.6577 ± 3.8547,8.5089 ± 3.8744
sadness*,0.21506867080470296,0.022823266685009003,0.1794 ± 0.2436,0.1004 ± 0.1739
sentence_count*,-0.543897236514889,0.008405069820582867,1.3196 ± 0.5691,2.1942 ± 1.3231
sentence_length_variation*,0.36856322802991837,0.006088806316256523,1.1414 ± 2.2213,3.0208 ± 3.364
sentiment_polarity,0.2889032128401515,0.09598749876022339,0.0595 ± 0.1612,0.0628 ± 0.2466
sentiment_subjectivity*,-0.5686580184008078,0.022144988179206848,0.1337 ± 0.216,0.3112 ± 0.2814
std_word_length*,0.4668770324114291,0.18357397615909576,4.246 ± 0.5864,3.2688 ± 0.9298
stopword_ratio*,-0.4453939406596856,0.05404651537537575,0.1278 ± 0.0788,0.2727 ± 0.1208
subordinate_clause_ratio*,0.19170325589485146,0.012667946517467499,0.0301 ± 0.036,0.048 ± 0.047
surprise,-0.27555343322591813,0.021118169650435448,0.0684 ± 0.1088,0.0783 ± 0.1506
type_token_ratio*,1.0490453141461324,0.023788664489984512,0.925 ± 0.0685,0.8863 ± 0.0813
verb_ratio*,-0.46348878792377585,0.028562171384692192,0.0883 ± 0.0593,0.1356 ± 0.0615
word_count*,0.014621776796164351,0.026504604145884514,18.1443 ± 4.8153,27.2025 ± 11.7951
