Feature,LR Coef,Significant,Effect Size,Impact,Max Misclass Rate
std_word_length,-0.451,yes,Cliff's delta (medium),↓ Correct,"71.4% ((3.205, 4.216])"
noun_ratio,-0.420,yes,Cliff's delta (medium),↓ Correct,"60.7% ((0.099, 0.27])"
adj_ratio,-0.354,yes,Cliff's delta (small),↓ Correct,"78.6% ((0.032, 0.0611])"
pronoun_ratio,-0.335,yes,Cliff's delta (negligible),↓ Correct,"59.0% ((0.0979, 0.229])"
verb_ratio,-0.283,yes,Cliff's delta (medium),↓ Correct,"75.0% ((0.186, 0.364])"
punctuation_density,-0.225,yes,Cliff's delta (small),↓ Correct,"82.1% ((0.174, 0.271])"
function_word_ratio,-0.196,yes,Cliff's delta (medium),↓ Correct,"64.3% ((0.186, 0.339])"
hedges_score,-0.184,yes,Cliff's delta (negligible),↓ Correct,"50.0% ((-0.001, 0.975])"
sentence_length_variation,-0.164,yes,Cliff's delta (medium),↓ Correct,"78.6% ((4.027, 11.5])"
certainty_adverbs_count,-0.147,yes,Cliff's delta (negligible),↓ Correct,"50.0% ((-0.001, 3.0])"
adv_ratio,-0.118,yes,Cliff's delta (small),↓ Correct,"62.1% ((0.03, 0.0645])"
