feature,shap_importance,iteration,stance,model
certainty_verbs_count,0.912260874030514,6,FAVOR,Logistic Regression
noun_ratio,0.7928223765180297,6,FAVOR,Logistic Regression
stopword_ratio,0.6971423618014096,6,FAVOR,Logistic Regression
type_token_ratio,0.6703706085365756,6,FAVOR,Logistic Regression
function_word_ratio,0.6481918702068425,6,FAVOR,Logistic Regression
hapax_legomena,0.6414370239826814,6,FAVOR,Logistic Regression
sentence_count,0.5960658973966679,6,FAVOR,Logistic Regression
doubt_adverbs_count,0.5407268291498952,6,FAVOR,Logistic Regression
pronoun_ratio,0.5353353717788327,6,FAVOR,Logistic Regression
adj_ratio,0.43227432251984377,6,FAVOR,Logistic Regression
certainty_adverbs_count,0.36407055767362007,6,FAVOR,Logistic Regression
std_word_length,0.364049907314227,6,FAVOR,Logistic Regression
word_count,0.33420263011754414,6,FAVOR,Logistic Regression
surprise,0.2672254137365622,6,FAVOR,Logistic Regression
doubt_adjectives_count,0.24611056163661618,6,FAVOR,Logistic Regression
joy,0.2349568287943863,6,FAVOR,Logistic Regression
verb_ratio,0.2053633509889156,6,FAVOR,Logistic Regression
anger,0.20365265391612353,6,FAVOR,Logistic Regression
hedge_C_count,0.1952865714458114,6,FAVOR,Logistic Regression
subordinate_clause_ratio,0.16980830642670514,6,FAVOR,Logistic Regression
sentiment_polarity,0.1576542519400434,6,FAVOR,Logistic Regression
D_ratio,0.1483199732731794,6,FAVOR,Logistic Regression
hedge_D_count,0.13726658866672414,6,FAVOR,Logistic Regression
C_ratio,0.13297075204184663,6,FAVOR,Logistic Regression
sentiment_subjectivity,0.1324253207185819,6,FAVOR,Logistic Regression
certainty_adjectives_count,0.13233552531934153,6,FAVOR,Logistic Regression
N_ratio,0.1165096357731258,6,FAVOR,Logistic Regression
fear,0.11489970154012986,6,FAVOR,Logistic Regression
sentence_length_variation,0.10328819607454706,6,FAVOR,Logistic Regression
readability_score,0.10305962469377464,6,FAVOR,Logistic Regression
E_ratio,0.09947771305002509,6,FAVOR,Logistic Regression
hedges_score,0.0809686799851463,6,FAVOR,Logistic Regression
avg_word_length,0.0755869204211541,6,FAVOR,Logistic Regression
hedge_E_count,0.07466002729921613,6,FAVOR,Logistic Regression
sadness,0.05348710798816182,6,FAVOR,Logistic Regression
hedge_N_count,0.047719044032788226,6,FAVOR,Logistic Regression
adv_ratio,0.040130124077304624,6,FAVOR,Logistic Regression
disgust,0.03774913340141133,6,FAVOR,Logistic Regression
punctuation_usage,0.014028490990014443,6,FAVOR,Logistic Regression
doubt_verbs_count,0.012082681147394804,6,FAVOR,Logistic Regression
punctuation_density,0.009998106849352938,6,FAVOR,Logistic Regression
avg_dependency_depth,0.0,6,FAVOR,Logistic Regression
hedge_I_count,0.0,6,FAVOR,Logistic Regression
I_ratio,0.0,6,FAVOR,Logistic Regression
