feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.22585658898133196,0.07643070816993713,0.9875 ± 0.0304,0.9915 ± 0.0221
D_ratio,0.28140274205504,0.0,0.0026 ± 0.0149,0.0019 ± 0.0095
E_ratio*,0.13782817047118834,0.04809774458408356,0.0096 ± 0.0273,0.0033 ± 0.0132
I_ratio,0.09569220074124968,0.0,0.0004 ± 0.0042,0.0 ± 0.0
N_ratio*,-0.06788329842585626,0.0,0.0 ± 0.0,0.0033 ± 0.0147
adj_ratio*,-0.5462788599318567,0.019528405740857124,0.0426 ± 0.044,0.0607 ± 0.0478
adv_ratio*,-0.4012699938857018,0.018995389342308044,0.0109 ± 0.0245,0.0292 ± 0.0365
anger*,-1.0447753550651153,0.02756309323012829,0.0393 ± 0.0625,0.1271 ± 0.2332
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,0.019877191580140216,0.023011282086372375,5.095 ± 0.8024,4.6443 ± 0.8124
certainty_adjectives_count*,0.3088291090623781,0.0,0.1374 ± 0.4254,0.2746 ± 0.5023
certainty_adverbs_count*,-1.0317370250032105,0.059090204536914825,0.0 ± 0.0,0.1347 ± 0.3715
certainty_verbs_count*,-1.3638159792118174,0.04704851284623146,0.0 ± 0.0,0.3212 ± 0.6538
disgust,-0.4153564675061925,0.023302963003516197,0.0017 ± 0.0018,0.0182 ± 0.098
doubt_adjectives_count,0.05838350440778771,0.0,0.084 ± 0.2784,0.1606 ± 0.4084
doubt_adverbs_count*,-1.1156447888576062,0.014945616014301777,0.0763 ± 0.2666,0.3679 ± 0.6804
doubt_verbs_count,0.3777456732829091,0.0,0.0153 ± 0.1231,0.0155 ± 0.124
fear,0.338391425574311,0.014018002897500992,0.2597 ± 0.3392,0.3401 ± 0.3807
function_word_ratio*,-0.8307939198943816,0.040479738265275955,0.1877 ± 0.0979,0.3074 ± 0.1308
hapax_legomena*,-0.6848664084833376,0.034030456095933914,0.8586 ± 0.1311,0.8263 ± 0.1275
hedge_C_count*,0.011222833056004461,0.004339471459388733,13.9313 ± 4.5711,20.1969 ± 9.1903
hedge_D_count,-0.1831212957145622,0.0,0.0305 ± 0.1727,0.0415 ± 0.1998
hedge_E_count,0.31230824901163284,0.0,0.1298 ± 0.3594,0.0725 ± 0.2794
hedge_I_count,0.09569220074124973,0.0,0.0076 ± 0.0874,0.0 ± 0.0
hedge_N_count*,-0.05079099648249481,0.0,0.0 ± 0.0,0.0881 ± 0.4051
hedges_score,0.12380311972013915,0.07818189263343811,0.1557 ± 0.3484,0.1698 ± 0.3583
joy*,0.05801286122604123,0.05266427621245384,0.2036 ± 0.1895,0.1112 ± 0.1993
noun_ratio*,-1.2278418807618932,0.011013202369213104,0.4866 ± 0.1181,0.4052 ± 0.1433
pronoun_ratio*,-0.6686774025374248,0.008667423389852047,0.0051 ± 0.016,0.0297 ± 0.0373
punctuation_density*,0.12172959554256335,0.04523675888776779,0.4817 ± 0.148,0.3419 ± 0.1662
punctuation_usage,-0.28805078037497367,0.012552804313600063,0.0851 ± 0.0487,0.0851 ± 0.0591
readability_score*,-0.03495846325247561,0.00752987852320075,10.7107 ± 4.1129,9.5627 ± 3.99
sadness*,-0.19745790121754542,0.015511667355895042,0.0493 ± 0.1027,0.0821 ± 0.1702
sentence_count*,-0.6047737809078647,0.05727187544107437,1.1908 ± 0.5131,1.8653 ± 1.0957
sentence_length_variation*,0.16994470822249547,0.025868186727166176,0.7058 ± 1.9278,2.7655 ± 3.8857
sentiment_polarity,0.16614026132221077,0.05817510560154915,0.0939 ± 0.2052,0.065 ± 0.2426
sentiment_subjectivity*,0.09944402866403848,0.010754507966339588,0.2023 ± 0.3158,0.3226 ± 0.2965
std_word_length*,-0.0002815919783788908,0.009179382584989071,4.0747 ± 0.6229,3.5676 ± 0.8992
stopword_ratio*,-0.8062707502625586,0.07175686210393906,0.145 ± 0.0888,0.2479 ± 0.1104
subordinate_clause_ratio*,-0.45902278229505517,0.024477066472172737,0.0231 ± 0.0376,0.0434 ± 0.048
surprise*,0.190235216229933,0.008450139313936234,0.1992 ± 0.172,0.1437 ± 0.1934
type_token_ratio*,0.9239131914916185,0.013317054137587547,0.9242 ± 0.0725,0.9025 ± 0.0757
verb_ratio*,0.3282712748056695,0.014569804072380066,0.0908 ± 0.0632,0.116 ± 0.0737
word_count*,-0.8904637586125201,0.023940617218613625,19.2595 ± 5.7587,26.2383 ± 10.8774
