feature,quartile,shap_rank,linear_rank,shap_importance,linear_importance,mean_directional,positive_ratio,negative_ratio,direction_strength,mean_feat_when_shap_positive,mean_feat_when_shap_negative,feature_shap_correlation,count_shap_positive,count_shap_negative
avg_word_length,Q1,1.0,1.0,0.551609,0.9503442391352732,-0.0124812922477705,0.5334293948126801,0.4665706051873199,0.0136646796205568,-0.7771593920514314,0.8404971334387799,-0.8773735932181504,1851,1619
type_token_ratio,Q1,2.0,4.0,0.409812,0.4839417649507354,0.0138777344865533,0.4299711815561959,0.570028818443804,0.0252707037702543,-0.9567832308192384,0.6276660364745366,-0.948654402839256,1492,1978
function_word_ratio,Q1,3.0,2.0,0.322675,0.5705732013792841,-0.036197209618655,0.4870317002881844,0.5129682997118156,0.0663228290171802,0.1928915970556103,-0.1709141215046401,0.5032548870530497,1690,1780
hapax_legomena,Q1,4.0,6.0,0.315348,0.4566345170336076,-0.0082260657769051,0.5377521613832853,0.4622478386167147,0.0198024199055582,0.67021732306781,-0.8937261306813536,0.9220218208877796,1866,1604
noun_ratio,Q1,5.0,3.0,0.280706,0.527194186963164,0.0018018436080667,0.4806916426512968,0.5193083573487032,0.0038623756785821,0.7121172679947698,-0.6732854260027887,0.7417762603644986,1668,1802
std_word_length,Q1,6.0,5.0,0.276956,0.4700462523414173,0.0176261607091086,0.5495677233429395,0.4504322766570605,0.0474414494403883,0.6444965124802499,-0.8539166834013819,0.9672011471831012,1907,1563
verb_ratio,Q2,7.0,18.0,0.223301,0.2276678761244594,-0.0268650035153736,0.5089337175792508,0.4910662824207493,0.0859992618987019,-0.7915637567325566,0.8247870412034073,-0.9010182502037024,1766,1704
word_count,Q2,8.0,16.0,0.211421,0.2430148990589623,-0.0219570094715861,0.4959654178674351,0.5040345821325648,0.0489112845584685,-0.0651853568377143,0.3142474210280511,-0.4593827842657086,1721,1749
adj_ratio,Q2,9.0,13.0,0.205178,0.290243054647784,0.000856502704457,0.4377521613832853,0.5622478386167147,0.0028983135224209,0.8465372183096125,-0.6533975434123283,0.9072860852002512,1519,1951
stopword_ratio,Q2,10.0,21.0,0.20315,0.1847123986544452,0.0230941554705797,0.51671469740634,0.4832853025936599,0.0824591194856983,0.5617041596309025,-0.6006385610084262,0.7566457434110885,1793,1677
fear,Q1,11.0,10.0,0.173071,0.3356754435046447,-0.017852055384846,0.6080691642651297,0.3919308357348703,0.0708317062390234,-0.5203547198525592,1.1478695752576948,-0.7999979047098272,2110,1360
certainty_adjectives_count,Q2,12.0,19.0,0.168424,0.204399610382932,0.011448025418967,0.194236311239193,0.805763688760807,0.0454604285039682,2.137218919576045,-0.4366228444360098,0.9313100614644816,674,2796
hedge_C_count,Q2,13.0,14.0,0.157938,0.2622549174153754,-0.0055354473631168,0.5031700288184437,0.4968299711815562,0.0211555639985222,0.2400813735279278,-0.1031814379530834,-0.1405888631498432,1746,1724
N_ratio,Q2,14.0,7.0,0.149862,0.4397146786523262,0.0051859618799015,0.0438040345821325,0.9561959654178674,0.0120178331761396,4.413641893731857,-0.1928068052932788,0.9433433802360016,152,3318
joy,Q2,15.0,15.0,0.147842,0.2598944798663404,-0.0214222147283184,0.2389048991354466,0.7610951008645533,0.0942243504935033,1.318115008031857,-0.4772005351223531,0.889940762648708,829,2641
C_ratio,Q2,16.0,11.0,0.131989,0.3288440962259278,-0.0094386898929202,0.1438040345821325,0.8561959654178675,0.0402345074236178,-1.947872593204212,0.3880195577290914,-0.8386410917889495,499,2971
hedge_N_count,Q2,17.0,12.0,0.109395,0.324971300172454,-0.0052700045697379,0.9561959654178674,0.0438040345821325,0.0165886978479853,-0.1969635049266219,4.589096202081603,-0.9435999566410228,3318,152
sentiment_subjectivity,Q3,18.0,25.0,0.10405,0.1600133567995792,-0.0096326019682119,0.5219020172910663,0.4780979827089337,0.0637952809060114,-0.0921368724704659,0.087972730609703,0.2919511824950916,1811,1659
