target,text,stance,dataset,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,type,label
healthcare,What does the #Cigna buyout mean for #pharma? DRG's Principal Analyst @PaulaWadeDRG discusses this development in a… https://t.co/0O283ZvVwH,2,wtwt,25.0,2.0,4.92,3.9488732570190193,0.96,0.92,0.24,0.4,0.44,0.08,0.04,0.0,0.0,1.0,0.3478260869565217,0.08,9.2,1.0,0.0,-0.3125,0.6875,0.0428322106599807,0.0255208816379308,0.8945638537406921,0.0170123558491468,0.0004334022232796,0.0154548268765211,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,"Some names I liked from a quick scan - UNH, MDT, TMO, ANTM, CI, BSX, the last one being the best. May dip into it after some more work.",2,wtwt,37.0,2.0,2.891891891891892,1.4291139531245711,0.8108108108108109,0.7297297297297297,0.3243243243243243,0.2432432432432432,0.2702702702702703,0.054054054054054,0.1081081081081081,0.027027027027027,0.054054054054054,1.0,0.4054054054054054,0.054054054054054,2.9,6.5,0.0,0.4866666666666667,0.4333333333333334,0.0038278275169432,0.0977884456515312,0.0010792234679684,0.0058093038387596,0.0066558914259076,0.0443271398544311,1.0,0.0,0.0,0.0,0.0,1.0,0.9460327625274658,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Legalization of Abortion,"@Cody_Fulk92 @ntfem @brettzawesome Actually, child-murder is far worse these days. We live in more savage times. #SemST",0,semeval,24.0,3.0,4.291666666666667,3.493794101291921,0.875,0.7916666666666666,0.2083333333333333,0.375,0.3333333333333333,0.125,0.125,0.0833333333333333,0.0416666666666666,1.0,0.217391304347826,0.0833333333333333,6.466176470588238,3.6817870057290873,0.0,0.0672727272727272,0.54,0.9231554269790648,0.0013048319378867,0.0673122331500053,0.0033331986051052,0.0035164924338459,0.0008269943064078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
Donald Trump,Being a veteran does not give you a pass when you do things that betray our country! #TheView #Trump #GodBlessAmerica,1,pstance,24.0,2.0,4.083333333333333,3.026503299555813,0.8333333333333334,0.7083333333333334,0.4583333333333333,0.1666666666666666,0.2916666666666667,0.2083333333333333,0.0,0.0416666666666666,0.125,1.0,0.5,0.0416666666666666,6.600000000000005,7.0,0.0416666666666666,0.0,0.0,0.7837547659873962,0.004927166737616,0.1420948952436447,0.0651997104287147,0.0021423657890409,0.0008289969409815,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
healthcare,Cigna $CI Stock Soaring After Rejecting $47.5 Billion Takeover Bid; Jim Cramer Comments http://t.co/acyJHeZrZ9,1,wtwt,19.0,1.0,5.105263157894737,3.768215225193421,0.9473684210526316,0.8947368421052632,0.0526315789473684,0.4736842105263157,0.631578947368421,0.0526315789473684,0.0,0.0,0.0,1.0,0.0588235294117647,0.1052631578947368,6.0,0.0,0.0,0.0,0.0,0.3270293474197387,0.0053451582789421,0.4430981874465942,0.1345279663801193,0.0069300546310842,0.0647373646497726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,Two states question #Aetna's prior-authorization practices amid CVS merger. #StopUnderpayers https://t.co/bCNBuT0eUY,2,wtwt,17.0,2.0,6.235294117647059,5.546905992530016,0.9411764705882352,0.8823529411764706,0.0,0.5882352941176471,0.4705882352941176,0.0588235294117647,0.0,0.0,0.0,1.0,0.1176470588235294,0.1176470588235294,18.2,3.5,0.0,0.0,0.0,0.1309015452861786,0.0035213020164519,0.8411216735839844,0.0118769807741045,0.0006867283955216,0.0048328409902751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,"MT""@ToGovern: U.S. justice department seeks more information on Aetna-Humana deal http://t.co/YNLEo9S5BN #CorpGov""",0,wtwt,20.0,1.0,5.25,4.322904116447646,0.9,0.8,0.1,0.65,0.55,0.05,0.1,0.0,0.0,1.0,0.1176470588235294,0.15,15.1,0.0,0.0,0.5,0.5,0.1167358830571174,0.0084692928940057,0.7101312279701233,0.0954825952649116,0.0007312131347134,0.0295370873063802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,"Activists Question State Reviews Of Proposed Aetna-Humana, Anthem-Cigna Deals  #merger @CCAG @care4every1 @CSMS https://t.co/cMKu8YAsLj",0,wtwt,21.0,1.0,5.761904761904762,4.428315404785779,0.9047619047619048,0.8571428571428571,0.0476190476190476,0.5714285714285714,0.7142857142857143,0.0952380952380952,0.0,0.0,0.0,1.0,0.0476190476190476,0.0476190476190476,12.3,0.0,0.0,0.0,0.0,0.3857110440731048,0.1565897166728973,0.308641642332077,0.1400721669197082,0.0009855390526354,0.006139597389847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,Anthem Ups Bid For Cigna; Aetna Wants To Buy Humana -- Why Proposed Deals Raise Antitrust Concerns http://t.co/LKh0URmmcc,2,wtwt,21.0,1.0,4.9523809523809526,3.456893602453626,1.0,1.0,0.1428571428571428,0.3809523809523809,0.5714285714285714,0.1428571428571428,0.0,0.0,0.0,1.0,0.1578947368421052,0.0476190476190476,8.7,0.0,0.0952380952380952,0.2,0.1,0.0128543563187122,0.0022984102834016,0.9664707183837892,0.0063114245422184,0.0008900084649212,0.0041170162148773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,in case you missed it .. #CVS to Buy Health Insurance Giant #Aetna in $69 Billion Deal https://t.co/VAdsekTqJJ #heathcare #insurance #tech,2,wtwt,29.0,1.0,4.068965517241379,3.493156210242503,0.8275862068965517,0.7586206896551724,0.1724137931034483,0.4482758620689655,0.4827586206896552,0.0344827586206896,0.0344827586206896,0.0,0.0689655172413793,1.0,0.1851851851851851,0.1034482758620689,7.1,0.0,0.0,0.0,1.0,0.0181621368974447,0.0137550169602036,0.9366386532783508,0.0218235086649656,0.0001974402694031,0.0072046946734189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,Anthem-#Cigna trial to begin next week: 9 things to know. Read more: https://t.co/XkkMIKVAko $CI,2,wtwt,22.0,2.0,3.772727272727273,3.4368566264938054,0.8636363636363636,0.7727272727272727,0.1363636363636363,0.5,0.2727272727272727,0.1363636363636363,0.1363636363636363,0.0454545454545454,0.0,1.0,0.2222222222222222,0.0909090909090909,4.8,3.0,0.0,0.25,0.25,0.0342653468251228,0.0401671975851058,0.4938852787017822,0.0274106338620185,0.0020020571537315,0.0735821574926376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
