feature,mean_mi_score,std_mi_score,median_mi_score,min_mi_score,max_mi_score,num_iterations,cv_mi_score
std_word_length,0.07588199963485501,0.03085589053892784,0.080394985131746,0.026488022660718,0.1315398074146285,13,0.40662990811268435
noun_ratio,0.04871528063447597,0.03021291860429603,0.0478582118345238,0.0023729996899746,0.1094329908954088,13,0.6201938736839432
avg_word_length,0.0482845815202051,0.030419259272621804,0.043997480235103,0.0073346527131248,0.0933881200689887,13,0.6299994390526632
sadness,0.046421650071141546,0.023075299855245715,0.0465321175368211,0.0107598286783916,0.090366480881985,13,0.4970805608995509
stopword_ratio,0.04509908028584878,0.033210905002387395,0.0370625084858891,0.0,0.1123664679107485,13,0.7363987201488083
sentiment_subjectivity,0.03694729563179908,0.023013792590893346,0.0381966879875645,0.0,0.0702820833826949,13,0.6228816533756338
function_word_ratio,0.033190308863719965,0.027769745268637777,0.0247119320158257,0.0,0.100004219885232,13,0.8366823394943649
readability_score,0.03266950446277432,0.023695023879775644,0.0360065115180499,0.0,0.0653635643825747,13,0.7252948665559111
type_token_ratio,0.032355049924880544,0.016330665823954885,0.0306707688630925,0.0,0.0612501894001684,13,0.5047331363070112
verb_ratio,0.03186855553195003,0.022939638677316854,0.0291420118074756,0.0,0.0711889541102837,13,0.7198204717599631
surprise,0.0315595421870702,0.02000587866526109,0.0303580654640085,0.0,0.0701515527243452,13,0.6339090265212214
subordinate_clause_ratio,0.029742448407772917,0.01754574923121938,0.0266899722841713,0.0,0.0677139741655952,13,0.5899228264823672
joy,0.02942703661128604,0.016110859030817905,0.030386361982627,0.0046979518095144,0.0680480896598345,13,0.5474849283545924
hedge_C_count,0.02904203610952624,0.023213087275869924,0.0238484419692364,0.0,0.0641010495557699,13,0.7992926938154887
pronoun_ratio,0.028447126578056144,0.01986960983435243,0.0279564448665774,0.0,0.0624512513849455,13,0.6984751088948178
anger,0.02825190268572137,0.018522586678874797,0.0329407600070823,0.0,0.0579615848380068,13,0.6556226277898157
fear,0.027200446976708446,0.017708462146494016,0.0335233054449677,0.0,0.0545016388327885,13,0.6510357039962487
doubt_verbs_count,0.0246959664458018,0.023595444471055223,0.0259960416160511,0.0,0.0722201171273164,13,0.9554371772750095
sentiment_polarity,0.023381920312738433,0.02319844050178367,0.0139613957642725,0.0025391859885586,0.0814954731593213,13,0.9921529194993106
disgust,0.021320400798470564,0.014870169773791974,0.0235108236428811,0.0,0.0512762825043404,13,0.6974620183903248
word_count,0.020864888394430188,0.015709345662007247,0.017925481494887,0.0,0.0524539154347185,13,0.7529082046851879
adv_ratio,0.01973557625853003,0.018188067468014938,0.0189253394356623,0.0,0.0649221517304814,13,0.9215878588877671
sentence_count,0.019404555126179168,0.013637308017518779,0.0186849197892668,0.0,0.048503561440099,13,0.7027890064390266
adj_ratio,0.0190254325496241,0.013514975091672264,0.0202530587036464,0.0,0.0513435311451713,13,0.7103636175640742
hapax_legomena,0.018313679881288233,0.015433536508679726,0.0168402132192804,0.0,0.0518409717831129,13,0.8427326789985417
punctuation_density,0.015339408919120714,0.017631517721661667,0.0068007633109623,0.0,0.0596486032669589,13,1.1494261489882975
sentence_length_variation,0.015321072036530606,0.019060494939198477,0.0046190025704473,0.0,0.0584452713523044,13,1.2440705776822811
punctuation_usage,0.012880490624546454,0.016595029738178096,0.000122236816626,0.0,0.0515361572221,13,1.2883849087668147
I_ratio,0.012373665592721354,0.017754296116080544,0.0010066714820526,0.0,0.0634559523030522,13,1.4348453158879835
doubt_adverbs_count,0.012033598081173139,0.01726349250627294,0.004598211616815,0.0,0.0504708008854299,13,1.434607703350347
C_ratio,0.011214125542043183,0.019341694928850867,0.0,0.0,0.0567373446197505,13,1.7247617619703286
N_ratio,0.010961721418944307,0.016720341075253976,0.0,0.0,0.0540680089791585,13,1.5253389897646445
certainty_adjectives_count,0.010758698232018584,0.012202004177047431,0.0084845930095609,0.0,0.036781446557083,13,1.1341524702991925
certainty_verbs_count,0.010717101438060468,0.018689811707249093,0.0,0.0,0.0543412271926415,13,1.743924121206367
hedge_D_count,0.009853898772341625,0.01727522268008957,0.0,0.0,0.0594065945954545,13,1.7531357972316968
doubt_adjectives_count,0.008415041518718976,0.01232902481819023,0.0040312920066891,0.0,0.0450429967607819,13,1.4651175268434184
certainty_adverbs_count,0.007870687273294255,0.01023214889042996,0.0045844805700101,0.0,0.0318065964193745,13,1.3000324539825507
D_ratio,0.007356939924876776,0.010814523515503667,0.0,0.0,0.0268156680235456,13,1.4699757814978764
avg_dependency_depth,0.006803660958630707,0.010601641664938493,0.0,0.0,0.0302631530629147,13,1.5582260388048732
hedge_N_count,0.006656529353926531,0.0075926557480410165,0.0040021141302055,0.0,0.0220204573976985,13,1.1406328049259313
hedges_score,0.006126586588070707,0.0080995154850438,0.0,0.0,0.0232961903883073,13,1.3220274240169316
hedge_I_count,0.005048681857418315,0.007325218385209209,0.0,0.0,0.0207156310594494,13,1.4509170100401254
hedge_E_count,0.0034528259666927385,0.008099590403310852,0.0,0.0,0.0300689278261516,13,2.345785881316509
E_ratio,0.0012723379269769539,0.003050218612702924,0.0,0.0,0.011250117504242,13,2.3973337177413034
