index,score_correct,score_misclassified,actual_outcome,actual_outcome_binary
0,0.7259691981728856,0.27403080182711426,Correct,0
1,0.7131291725218725,0.2868708274781275,Correct,0
2,0.8502459665936339,0.14975403340636612,Correct,0
3,0.7131291725218725,0.2868708274781275,Correct,0
4,0.7662356517236661,0.2337643482763338,Correct,0
5,0.7724851850766478,0.22751481492335218,Correct,0
6,0.7605661550839766,0.2394338449160233,Correct,0
7,0.8504078294868138,0.1495921705131863,Correct,0
8,0.7508409224621924,0.24915907753780764,Correct,0
9,0.7931446555974984,0.2068553444025015,Correct,0
10,0.790068447118671,0.20993155288132903,Correct,0
11,0.8086434035060528,0.1913565964939473,Correct,0
12,0.7877778971435534,0.21222210285644655,Correct,0
13,0.7598437321887279,0.24015626781127195,Correct,0
14,0.7552831655935955,0.2447168344064044,Correct,0
15,0.7668725026317035,0.23312749736829647,Correct,0
16,0.7795788387510637,0.22042116124893624,Correct,0
17,0.8324475847780695,0.16755241522193048,Correct,0
18,0.8610025216397736,0.13899747836022647,Correct,0
19,0.8087459192931361,0.19125408070686395,Correct,0
20,0.7096266784858716,0.2903733215141283,Correct,0
21,0.8056410966913206,0.19435890330867944,Correct,0
22,0.8244446621892002,0.1755553378107997,Correct,0
23,0.7364518230619338,0.2635481769380661,Correct,0
24,0.6975132499407529,0.302486750059247,Correct,0
25,0.7062390648595549,0.29376093514044505,Correct,0
26,0.7322807884073896,0.2677192115926104,Correct,0
27,0.7877778971435534,0.21222210285644655,Correct,0
28,0.7370146522447016,0.26298534775529825,Correct,0
29,0.8055385809042372,0.19446141909576278,Correct,0
30,0.7411926261751628,0.25880737382483715,Correct,0
31,0.7735551731986471,0.2264448268013528,Correct,0
32,0.7931366879993371,0.2068633120006628,Correct,0
33,0.7069956573585501,0.2930043426414497,Correct,0
34,0.8628550352034793,0.13714496479652075,Correct,0
35,0.7685213879938375,0.23147861200616243,Correct,0
36,0.8417993151207254,0.15820068487927458,Correct,0
37,0.7180206700851282,0.2819793299148718,Correct,0
38,0.697430609107292,0.30256939089270796,Correct,0
39,0.8262925996140099,0.17370740038599006,Correct,0
40,0.7442322888497694,0.2557677111502305,Correct,0
41,0.7069956573585501,0.2930043426414497,Correct,0
