Iteration,Stance,Model,F1_Score
1,All_Stances,Logistic Regression,0.5662100456621004
2,All_Stances,Logistic Regression,0.5395348837209303
3,All_Stances,Logistic Regression,0.5283018867924528
4,All_Stances,Logistic Regression,0.5137614678899083
5,All_Stances,Logistic Regression,0.48623853211009177
6,All_Stances,Logistic Regression,0.4079601990049751
7,All_Stances,Logistic Regression,0.47342995169082125
8,All_Stances,Logistic Regression,0.4744186046511628
9,All_Stances,Logistic Regression,0.5402843601895735
10,All_Stances,Logistic Regression,0.4975124378109453
11,All_Stances,Logistic Regression,0.4549763033175355
12,All_Stances,Logistic Regression,0.37755102040816324
13,All_Stances,Logistic Regression,0.5794392523364486
1,All_Stances,XGBoost,0.6547085201793722
2,All_Stances,XGBoost,0.5610859728506787
3,All_Stances,XGBoost,0.6009389671361502
4,All_Stances,XGBoost,0.6046511627906976
5,All_Stances,XGBoost,0.5964912280701754
6,All_Stances,XGBoost,0.600896860986547
7,All_Stances,XGBoost,0.5327102803738317
8,All_Stances,XGBoost,0.51
9,All_Stances,XGBoost,0.5619047619047619
10,All_Stances,XGBoost,0.5
11,All_Stances,XGBoost,0.4717948717948718
12,All_Stances,XGBoost,0.5024154589371981
13,All_Stances,XGBoost,0.5436241610738255
1,FAVOR,Logistic Regression,0.5777777777777777
2,FAVOR,Logistic Regression,0.64
3,FAVOR,Logistic Regression,0.7636363636363637
4,FAVOR,Logistic Regression,0.7407407407407407
5,FAVOR,Logistic Regression,0.6666666666666666
6,FAVOR,Logistic Regression,0.7719298245614035
7,FAVOR,Logistic Regression,0.7457627118644068
8,FAVOR,Logistic Regression,0.5
9,FAVOR,Logistic Regression,0.7692307692307693
10,FAVOR,Logistic Regression,0.64
11,FAVOR,Logistic Regression,0.7307692307692307
12,FAVOR,Logistic Regression,0.75
13,FAVOR,Logistic Regression,0.7380952380952381
1,FAVOR,XGBoost,0.6956521739130435
2,FAVOR,XGBoost,0.6382978723404256
3,FAVOR,XGBoost,0.7307692307692307
4,FAVOR,XGBoost,0.5660377358490566
5,FAVOR,XGBoost,0.5769230769230769
6,FAVOR,XGBoost,0.7407407407407407
7,FAVOR,XGBoost,0.6666666666666666
8,FAVOR,XGBoost,0.5957446808510638
9,FAVOR,XGBoost,0.7307692307692307
10,FAVOR,XGBoost,0.64
11,FAVOR,XGBoost,0.5833333333333334
12,FAVOR,XGBoost,0.7540983606557377
13,FAVOR,XGBoost,0.6923076923076923
1,AGAINST,Logistic Regression,0.6511627906976745
2,AGAINST,Logistic Regression,0.7428571428571429
3,AGAINST,Logistic Regression,0.7368421052631579
4,AGAINST,Logistic Regression,0.7142857142857143
5,AGAINST,Logistic Regression,0.8
6,AGAINST,Logistic Regression,0.47619047619047616
7,AGAINST,Logistic Regression,0.5945945945945946
8,AGAINST,Logistic Regression,0.1935483870967742
9,AGAINST,Logistic Regression,0.15384615384615385
10,AGAINST,Logistic Regression,0.5882352941176471
11,AGAINST,Logistic Regression,0.7647058823529411
12,AGAINST,Logistic Regression,0.6153846153846154
13,AGAINST,Logistic Regression,0.5168539325842697
1,AGAINST,XGBoost,0.7272727272727273
2,AGAINST,XGBoost,0.6486486486486487
3,AGAINST,XGBoost,0.75
4,AGAINST,XGBoost,0.5945945945945946
5,AGAINST,XGBoost,0.7317073170731707
6,AGAINST,XGBoost,0.5555555555555556
7,AGAINST,XGBoost,0.5294117647058824
8,AGAINST,XGBoost,0.42424242424242425
9,AGAINST,XGBoost,0.45714285714285713
10,AGAINST,XGBoost,0.5454545454545454
11,AGAINST,XGBoost,0.7647058823529411
12,AGAINST,XGBoost,0.5555555555555556
13,AGAINST,XGBoost,0.5510204081632653
1,NONE,Logistic Regression,0.672
2,NONE,Logistic Regression,0.6829268292682927
3,NONE,Logistic Regression,0.7419354838709677
4,NONE,Logistic Regression,0.6825396825396826
5,NONE,Logistic Regression,0.7244094488188977
6,NONE,Logistic Regression,0.6991869918699187
7,NONE,Logistic Regression,0.7538461538461538
8,NONE,Logistic Regression,0.7910447761194029
9,NONE,Logistic Regression,0.6495726495726496
10,NONE,Logistic Regression,0.5736434108527132
11,NONE,Logistic Regression,0.6567164179104478
12,NONE,Logistic Regression,0.6153846153846154
13,NONE,Logistic Regression,0.5645161290322581
1,NONE,XGBoost,0.7480916030534351
2,NONE,XGBoost,0.7538461538461538
3,NONE,XGBoost,0.7244094488188977
4,NONE,XGBoost,0.7424242424242424
5,NONE,XGBoost,0.71875
6,NONE,XGBoost,0.7086614173228346
7,NONE,XGBoost,0.732824427480916
8,NONE,XGBoost,0.7480916030534351
9,NONE,XGBoost,0.6774193548387096
10,NONE,XGBoost,0.6766917293233082
11,NONE,XGBoost,0.7022900763358778
12,NONE,XGBoost,0.6814814814814815
13,NONE,XGBoost,0.7111111111111111
