feature,shap_importance,iteration,stance,model
type_token_ratio,0.5886122006606938,7,All_Stances,Logistic Regression
word_count,0.512855876614574,7,All_Stances,Logistic Regression
hapax_legomena,0.40365768366621635,7,All_Stances,Logistic Regression
stopword_ratio,0.3936553173495179,7,All_Stances,Logistic Regression
avg_word_length,0.3822204012189514,7,All_Stances,Logistic Regression
function_word_ratio,0.2596084192882622,7,All_Stances,Logistic Regression
verb_ratio,0.25894962952452627,7,All_Stances,Logistic Regression
punctuation_density,0.21391427779882977,7,All_Stances,Logistic Regression
fear,0.21266512903478405,7,All_Stances,Logistic Regression
readability_score,0.17707778837554441,7,All_Stances,Logistic Regression
hedge_E_count,0.12865328748526494,7,All_Stances,Logistic Regression
hedge_C_count,0.12826588285210586,7,All_Stances,Logistic Regression
std_word_length,0.11104003352291421,7,All_Stances,Logistic Regression
C_ratio,0.10369948299631676,7,All_Stances,Logistic Regression
joy,0.09986128621332403,7,All_Stances,Logistic Regression
certainty_adjectives_count,0.08160325383120413,7,All_Stances,Logistic Regression
hedges_score,0.0746391989386247,7,All_Stances,Logistic Regression
sentiment_subjectivity,0.07179597668967325,7,All_Stances,Logistic Regression
sadness,0.07023948551999404,7,All_Stances,Logistic Regression
E_ratio,0.0697460524861749,7,All_Stances,Logistic Regression
certainty_verbs_count,0.06695670415152631,7,All_Stances,Logistic Regression
N_ratio,0.06632220705105366,7,All_Stances,Logistic Regression
certainty_adverbs_count,0.06622735569686043,7,All_Stances,Logistic Regression
doubt_adverbs_count,0.06546255278467755,7,All_Stances,Logistic Regression
sentence_length_variation,0.06476120802457203,7,All_Stances,Logistic Regression
hedge_D_count,0.0636816050062994,7,All_Stances,Logistic Regression
adv_ratio,0.059604332311815424,7,All_Stances,Logistic Regression
hedge_N_count,0.05827945693346614,7,All_Stances,Logistic Regression
punctuation_usage,0.048402712750066815,7,All_Stances,Logistic Regression
noun_ratio,0.04702662604741026,7,All_Stances,Logistic Regression
surprise,0.03960845050082396,7,All_Stances,Logistic Regression
sentiment_polarity,0.03887748837674249,7,All_Stances,Logistic Regression
anger,0.038600982321729815,7,All_Stances,Logistic Regression
sentence_count,0.03061800559204079,7,All_Stances,Logistic Regression
subordinate_clause_ratio,0.026652300320606517,7,All_Stances,Logistic Regression
doubt_adjectives_count,0.02359999538605062,7,All_Stances,Logistic Regression
disgust,0.02238881811675276,7,All_Stances,Logistic Regression
doubt_verbs_count,0.021629971826169932,7,All_Stances,Logistic Regression
adj_ratio,0.016980270165268232,7,All_Stances,Logistic Regression
D_ratio,0.015777438115748464,7,All_Stances,Logistic Regression
pronoun_ratio,0.0018461318049571335,7,All_Stances,Logistic Regression
I_ratio,3.0177049878422853e-18,7,All_Stances,Logistic Regression
hedge_I_count,2.5741393647977708e-18,7,All_Stances,Logistic Regression
avg_dependency_depth,0.0,7,All_Stances,Logistic Regression
