feature,mean_mi_score,std_mi_score,median_mi_score,min_mi_score,max_mi_score,num_iterations,cv_mi_score,median_lr_coef,median_xgb_coef,linear_occurrences,_merge,mi_rank
noun_ratio,0.0849535695963323,0.0322193429960781,0.0821743882720242,0.0258576379126205,0.1498941498139141,13,0.3792582601198798,,0.0248754248023033,13,both,1
punctuation_density,0.0663548884088292,0.0211220073805593,0.0578507496932647,0.0342101791114737,0.1098790179137265,13,0.3183187838463583,,0.0300661232322454,13,both,2
stopword_ratio,0.0627610327571552,0.0242980220250757,0.0692701807441662,0.0062151315568403,0.0928757109453868,13,0.3871514052213482,,0.0281880814582109,13,both,3
word_count,0.0586091031080411,0.0261435602239826,0.0620705948395361,0.0069955270815971,0.1110074754024854,13,0.4460665466214209,,0.0238691046833992,13,both,4
hedge_C_count,0.0567263313944815,0.0259436478984357,0.0572217297824573,0.0157629311953138,0.0930858293446745,13,0.4573475361560149,,0.0345498472452163,13,both,5
joy,0.0491173994877752,0.0488814255049251,0.0450556165921232,0.0,0.1290327040579613,13,0.9951957150559464,,0.0629961565136909,13,both,6
sentence_length_variation,0.048710481864722,0.029408674732725,0.0443974904455388,0.0003388367232917,0.0908659452997955,13,0.603744278580498,,0.0231696497648954,13,both,7
fear,0.0479407974896393,0.0178964390703053,0.0436409721350012,0.0255750649163366,0.0923493688187826,13,0.3733029070735211,,0.0285370536148548,13,both,8
pronoun_ratio,0.044581913040584,0.0220792511269494,0.0454925526366063,0.0,0.0820679092630507,13,0.4952513165339076,,0.0276271104812622,13,both,9
surprise,0.0438160302025563,0.0213124406310142,0.0433705562073523,0.0041465063859036,0.0879716747684822,13,0.4864073840667298,,0.0246462449431419,13,both,10
disgust,0.0419604939369526,0.0238784580786122,0.0466910113203251,0.0,0.0750130504226338,13,0.5690699950884901,,0.0327030234038829,13,both,11
anger,0.0380070287584108,0.0343953611015773,0.0354809575506598,0.0,0.0907167475792751,13,0.9049736910561768,,0.0267378017306327,13,both,12
type_token_ratio,0.0359476491632153,0.0228665147814796,0.0406140767394642,0.0,0.0752754572111131,13,0.6361059850578112,,0.0268670599907636,13,both,13
verb_ratio,0.0354892808562147,0.0208378343591775,0.032710858742545,0.0059061130921527,0.0633502560041612,13,0.587158540732407,,0.020613482221961,13,both,14
function_word_ratio,0.0347576969051965,0.0371446150240924,0.0167792123723891,0.0,0.1091098204903069,13,1.068673080538289,,0.0264898743480443,13,both,15
sentence_count,0.0319676235849303,0.0237751660612903,0.0278189343458761,0.0,0.0785990171547654,13,0.7437264142617735,,0.027020842768251847,13,both,16
subordinate_clause_ratio,0.0307821492691883,0.0216250905161295,0.031540898571498,0.0,0.0636037130386859,13,0.7025204876702791,,0.0240541938692331,13,both,17
hapax_legomena,0.0304817079581628,0.0168990909161892,0.031991119201201,0.0066777164266582,0.0513937763145007,13,0.5544010506033262,,0.0219357870519161,13,both,18
sentiment_polarity,0.0282632225755838,0.0187210821713849,0.0268115191644489,0.0,0.0630923735281845,13,0.6623831419548677,,0.0287369769066572,13,both,19
std_word_length,0.0246183558679038,0.0200343760288241,0.0201238742673974,0.0,0.0639995067767504,13,0.8137982949114799,,0.0217572711408138,13,both,20
punctuation_usage,0.0233781750332582,0.0216063268284185,0.0247641297157137,0.0,0.0647864958067327,13,0.9242093019528252,,0.0276299808174371,13,both,21
