feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,-0.38239168213984326,0.024228200316429138,0.9835 ± 0.0333,0.9913 ± 0.0234
D_ratio,0.017660462309646695,0.0,0.0025 ± 0.0119,0.0022 ± 0.0115
E_ratio,-0.08065119629135584,0.03821257874369621,0.0058 ± 0.0177,0.0049 ± 0.0182
I_ratio,0.44918456656597683,0.0,0.0004 ± 0.0046,0.0002 ± 0.0033
N_ratio*,0.527155636817514,0.0,0.0077 ± 0.0253,0.0014 ± 0.0094
adj_ratio,0.3275219619164692,0.0216766856610775,0.0614 ± 0.0466,0.054 ± 0.0503
adv_ratio*,0.1872365404902047,0.031176622956991196,0.0339 ± 0.0413,0.0202 ± 0.0332
anger*,-0.156725511233205,0.01622522994875908,0.0992 ± 0.201,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-1.4194292527780952,0.04131326824426651,4.4704 ± 0.6761,4.9631 ± 0.903
certainty_adjectives_count*,0.23488237042249765,0.028985975310206413,0.3003 ± 0.5283,0.13 ± 0.3548
certainty_adverbs_count*,0.0029331845764769358,0.032470159232616425,0.2198 ± 0.5028,0.0898 ± 0.297
certainty_verbs_count,0.03024717772469172,0.0,0.2353 ± 0.4666,0.195 ± 0.4619
disgust,-0.03968975434057981,0.014033142477273941,0.0078 ± 0.0404,0.0076 ± 0.0531
doubt_adjectives_count,-0.2697892248527597,0.09855092316865921,0.0898 ± 0.297,0.1084 ± 0.3211
doubt_adverbs_count*,0.17880509293835303,0.0223675649613142,0.3591 ± 0.5959,0.2136 ± 0.493
doubt_verbs_count,0.01649196175748773,0.0,0.0279 ± 0.1648,0.0124 ± 0.1108
fear*,-0.7358186238662259,0.0760723128914833,0.1572 ± 0.2745,0.3527 ± 0.3803
function_word_ratio*,0.8916856818333427,0.04662109538912773,0.3312 ± 0.1323,0.2432 ± 0.1332
hapax_legomena,0.34392950320242144,0.012103496119379997,0.861 ± 0.1112,0.8478 ± 0.1352
hedge_C_count,-0.4735885946095419,0.025460567325353622,17.5975 ± 4.4407,16.7307 ± 7.3382
hedge_D_count,-0.12459612329178292,0.0,0.0495 ± 0.2312,0.0433 ± 0.2039
hedge_E_count,-0.037900095446363136,0.0,0.1053 ± 0.3074,0.0805 ± 0.2725
hedge_I_count,-0.48703599172827927,0.0,0.0093 ± 0.0961,0.0093 ± 0.1669
hedge_N_count*,-0.4498267714730722,0.0,0.1424 ± 0.4644,0.0372 ± 0.2464
hedges_score*,-0.15731895115391537,0.03433641791343689,0.2111 ± 0.3955,0.1444 ± 0.3387
joy*,0.20792515749198662,0.018033908680081367,0.1796 ± 0.2523,0.0775 ± 0.1376
noun_ratio*,0.8425130646523524,0.034080252051353455,0.4223 ± 0.1348,0.4568 ± 0.1498
pronoun_ratio*,0.19218855789944592,0.035159751772880554,0.0357 ± 0.0404,0.0201 ± 0.0371
punctuation_density*,-0.08105818941046042,0.018207387998700142,0.3264 ± 0.1501,0.4071 ± 0.1681
punctuation_usage*,0.08838525459095117,0.019610373303294182,0.073 ± 0.0503,0.084 ± 0.0569
readability_score*,0.05210367418984171,0.025875840336084366,8.3802 ± 3.5367,9.938 ± 3.9033
sadness,0.027829651867601092,0.02080634981393814,0.109 ± 0.2026,0.0984 ± 0.1787
sentence_count,-0.17330310974195984,0.018531907349824905,1.483 ± 0.728,1.582 ± 1.1237
sentence_length_variation,0.11475737910418536,0.019030021503567696,1.5694 ± 2.5877,1.6253 ± 2.9837
sentiment_polarity*,0.16088354976434552,0.04491725564002991,0.118 ± 0.298,0.0299 ± 0.1967
sentiment_subjectivity*,0.3398785115151425,0.02282361127436161,0.3581 ± 0.343,0.2353 ± 0.3094
std_word_length*,0.6441960537392577,0.019463589414954185,3.3863 ± 0.821,3.777 ± 0.8245
stopword_ratio*,0.04774253058159972,0.023005859926342964,0.2638 ± 0.1159,0.1937 ± 0.119
subordinate_clause_ratio*,-0.10181005909221635,0.015776723623275757,0.0489 ± 0.0547,0.0384 ± 0.047
surprise*,-0.264701926718045,0.03131881728768349,0.1522 ± 0.1612,0.1193 ± 0.1575
type_token_ratio,-0.26070517901095813,0.017398850992321968,0.9233 ± 0.0658,0.9132 ± 0.0846
verb_ratio,0.12180144385263593,0.020506393164396286,0.1182 ± 0.073,0.1131 ± 0.0735
word_count,0.006456339259603856,0.031618837267160416,22.8297 ± 5.4856,22.6161 ± 11.4662
