Feature,LR Coef,Significant,Effect Size,Impact,Max Misclass Rate
hedge_C_count,-0.754,yes,Cliff's delta (small),↓ Misclass,"49.0% (NONE: (20.0, 49.0])"
word_count,+0.704,yes,Cliff's delta (small),↑ Misclass,"42.9% (NONE: (29.0, 67.0])"
stopword_ratio,+0.380,yes,Cliff's delta (medium),↑ Misclass,"39.7% (NONE: (0.338, 0.571])"
fear,+0.340,yes,Cliff's delta (small),↑ Misclass,"44.8% (NONE: (0.824, 0.995])"
verb_ratio,+0.265,yes,Cliff's delta (medium),↑ Misclass,"44.4% (NONE: (0.167, 0.364])"
adj_ratio,+0.234,yes,Cliff's delta (small),↑ Misclass,"27.7% (NONE: (-0.001, 0.0588])"
avg_word_length,-0.229,yes,Cliff's delta (medium),↓ Misclass,"42.1% (NONE: (3.901, 4.415])"
certainty_adjectives_count,-0.217,yes,Cliff's delta (negligible),↓ Misclass,"24.3% (NONE: (-0.001, 2.0])"
type_token_ratio,+0.210,yes,Cliff's delta (negligible),↑ Misclass,"36.2% (NONE: (0.75, 0.852])"
noun_ratio,+0.210,yes,Cliff's delta (medium),↑ Misclass,"36.2% (NONE: (0.281, 0.364])"
