feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.0824476671915938,0.0,0.9906 ± 0.0278,0.9915 ± 0.0221
D_ratio,-0.17462362965617273,0.0,0.0005 ± 0.0058,0.0019 ± 0.0095
E_ratio*,0.2861873406810888,0.0,0.0089 ± 0.0274,0.0033 ± 0.0132
I_ratio,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
N_ratio*,-0.2540509828121334,0.0,0.0 ± 0.0,0.0033 ± 0.0147
adj_ratio,0.4737667399982299,0.020729737356305122,0.0705 ± 0.0464,0.0607 ± 0.0478
adv_ratio*,0.3293127441906958,0.020378438755869865,0.0192 ± 0.0352,0.0292 ± 0.0365
anger*,-0.9042662005418434,0.036052148789167404,0.0357 ± 0.0814,0.1271 ± 0.2332
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.9311333279199632,0.02401960827410221,4.8539 ± 0.6238,4.6443 ± 0.8124
certainty_adjectives_count*,0.09249140601895996,0.0,0.1374 ± 0.3672,0.2746 ± 0.5023
certainty_adverbs_count*,-0.6194223975305764,0.0,0.0305 ± 0.1727,0.1347 ± 0.3715
certainty_verbs_count*,-0.9436927842520647,0.07290007174015045,0.0305 ± 0.1727,0.3212 ± 0.6538
disgust,-0.36597509387423116,0.05739272013306618,0.0017 ± 0.0013,0.0182 ± 0.098
doubt_adjectives_count,0.12376069876650901,0.0,0.1069 ± 0.3101,0.1606 ± 0.4084
doubt_adverbs_count,-0.023636841826793674,0.0011069116881117225,0.2672 ± 0.5088,0.3679 ± 0.6804
doubt_verbs_count,-0.020483464549292073,0.0,0.0076 ± 0.0874,0.0155 ± 0.124
fear*,-0.7616133539425106,0.020252779126167297,0.098 ± 0.1896,0.3401 ± 0.3807
function_word_ratio*,-0.40550937018376304,0.01078758854418993,0.257 ± 0.1129,0.3074 ± 0.1308
hapax_legomena*,-0.38762596090308077,0.013516605831682682,0.8582 ± 0.1283,0.8263 ± 0.1275
hedge_C_count*,0.7116281185799864,0.016773786395788193,15.7023 ± 4.4214,20.1969 ± 9.1903
hedge_D_count,-0.1820831797835472,0.0,0.0076 ± 0.0874,0.0415 ± 0.1998
hedge_E_count,-0.2583957574364984,0.0,0.1298 ± 0.3999,0.0725 ± 0.2794
hedge_I_count,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
hedge_N_count*,-0.22003016816271506,0.0,0.0 ± 0.0,0.0881 ± 0.4051
hedges_score,0.5023928840059381,0.023903802037239075,0.2002 ± 0.3869,0.1698 ± 0.3583
joy*,0.1615521606981352,0.11375679075717926,0.2393 ± 0.1917,0.1112 ± 0.1993
noun_ratio*,0.6801535660035509,0.011610741727054119,0.4872 ± 0.1041,0.4052 ± 0.1433
pronoun_ratio*,-0.7255123473461289,0.12771788239479065,0.0055 ± 0.0168,0.0297 ± 0.0373
punctuation_density*,0.8097707832471471,0.043810803443193436,0.4509 ± 0.1621,0.3419 ± 0.1662
punctuation_usage,-0.24882985105891015,0.015861857682466507,0.0863 ± 0.0447,0.0851 ± 0.0591
readability_score,-0.3474940012080035,0.01347147673368454,10.0565 ± 3.2096,9.5627 ± 3.99
sadness,-0.04831192428685856,0.05308498442173004,0.0684 ± 0.1414,0.0821 ± 0.1702
sentence_count*,-0.7932953405029942,0.0407455675303936,1.2519 ± 0.573,1.8653 ± 1.0957
sentence_length_variation*,0.38677831319848294,0.02189628966152668,0.8049 ± 1.9549,2.7655 ± 3.8857
sentiment_polarity,0.21224643264448279,0.05861775577068329,0.0797 ± 0.1618,0.065 ± 0.2426
sentiment_subjectivity*,-0.5218158369360579,0.022531632333993912,0.2041 ± 0.2915,0.3226 ± 0.2965
std_word_length*,0.532521584120447,0.012991566210985184,3.9214 ± 0.6184,3.5676 ± 0.8992
stopword_ratio*,0.3797321561877475,0.027541641145944595,0.1966 ± 0.0986,0.2479 ± 0.1104
subordinate_clause_ratio*,0.053003243976118455,0.015619716607034206,0.0307 ± 0.0404,0.0434 ± 0.048
surprise*,-0.12752071251827915,0.04865611344575882,0.2132 ± 0.141,0.1437 ± 0.1934
type_token_ratio*,0.23117945356625538,0.022128483280539513,0.9228 ± 0.0724,0.9025 ± 0.0757
verb_ratio*,0.6953257057158804,0.01359467301517725,0.0909 ± 0.0582,0.116 ± 0.0737
word_count*,-0.7995913155707116,0.01854780688881874,20.8244 ± 5.3371,26.2383 ± 10.8774
