feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score,mean_directional,std_directional,positive_ratio,negative_ratio,consistent_direction,direction_strength
avg_word_length,0.551609,0.30424,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5516,0.551609,-0.01248129224777052,0.9133980786748284,0.5334293948126801,0.4665706051873199,Negative,0.013664679620556865
type_token_ratio,0.409812,0.123401,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3011,0.409812,0.0138777344865533,0.5491629501106925,0.42997118155619596,0.570028818443804,Positive,0.02527070377025432
function_word_ratio,0.322675,0.30855,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9562,0.322675,-0.03619720961865508,0.5457729938819448,0.48703170028818443,0.5129682997118156,Negative,0.06632282901718024
hapax_legomena,0.315348,0.118471,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3757,0.315348,-0.00822606577690512,0.41540708752327626,0.5377521613832853,0.4622478386167147,Negative,0.01980241990555829
noun_ratio,0.280706,0.252039,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8979,0.280706,0.0018018436080667664,0.4665117325159939,0.4806916426512968,0.5193083573487032,Positive,0.0038623756785821782
std_word_length,0.276956,0.086011,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3106,0.276956,0.017626160709108683,0.37153502775757347,0.5495677233429395,0.45043227665706054,Positive,0.04744144944038831
verb_ratio,0.223301,0.111842,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5009,0.223301,-0.026865003515373645,0.3123864328861936,0.5089337175792508,0.4910662824207493,Negative,0.0859992618987019
word_count,0.211421,0.175476,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.83,0.211421,-0.021957009471586162,0.4489149933534437,0.49596541786743514,0.5040345821325648,Negative,0.04891128455846858
adj_ratio,0.205178,0.095111,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4636,0.205178,0.0008565027044570733,0.2955176066523392,0.4377521613832853,0.5622478386167147,Positive,0.0028983135224209095
stopword_ratio,0.20315,0.118465,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5831,0.20315,0.023094155470579775,0.28006792687125415,0.51671469740634,0.4832853025936599,Positive,0.08245911948569837
