feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score,mean_directional,std_directional,positive_ratio,negative_ratio,consistent_direction,direction_strength
punctuation_density,0.73782,0.498674,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6759,0.73782,-0.19942592345145987,0.9800833082533345,0.4744525547445255,0.5255474452554745,Negative,0.2034785407906634
disgust,0.568787,0.287163,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5049,0.568787,-0.05413615891051095,0.6886713595386266,0.4642335766423358,0.5357664233576642,Negative,0.07860956808292947
joy,0.516387,0.240933,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4666,0.516387,-0.026990759293357664,0.6751843433978647,0.5751824817518248,0.4248175182481752,Negative,0.03997539213923825
noun_ratio,0.475948,0.292642,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6149,0.475948,-0.08166512794224819,0.6227239163855315,0.4489051094890511,0.551094890510949,Negative,0.13114178608208624
function_word_ratio,0.458464,0.309599,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6753,0.458464,-0.08856727620372265,0.6348575511954826,0.4562043795620438,0.5437956204379562,Negative,0.13950731883376183
std_word_length,0.439033,0.246531,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5615,0.439033,-0.08155845696729927,0.5511828276579387,0.4635036496350365,0.5364963503649635,Negative,0.14796987749809806
surprise,0.430961,0.336389,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7806,0.430961,-0.07803874400526277,0.6924242332029602,0.5686131386861314,0.4313868613138686,Negative,0.1127036564235207
anger,0.346162,0.185805,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5368,0.346162,-0.06809328883108029,0.4774419445499363,0.4197080291970803,0.5802919708029197,Negative,0.142621083426296
verb_ratio,0.34593,0.183568,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5307,0.34593,-0.04899998355489051,0.45559764710372663,0.4065693430656934,0.5934306569343065,Negative,0.1075509998589273
readability_score,0.317565,0.206942,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6517,0.317565,-0.033606630506226275,0.44845796819533906,0.45036496350364963,0.5496350364963504,Negative,0.07493819296395239
