feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score
punctuation_density,0.73782,0.498674,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6759,0.73782
disgust,0.568787,0.287163,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5049,0.568787
joy,0.516387,0.240933,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4666,0.516387
noun_ratio,0.475948,0.292642,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6149,0.475948
function_word_ratio,0.458464,0.309599,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6753,0.458464
std_word_length,0.439033,0.246531,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5615,0.439033
surprise,0.430961,0.336389,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7806,0.430961
anger,0.346162,0.185805,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5368,0.346162
verb_ratio,0.34593,0.183568,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5307,0.34593
readability_score,0.317565,0.206942,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6517,0.317565
avg_word_length,0.293276,0.180698,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6161,0.293276
hedge_C_count,0.29131,0.355707,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.2211,0.29131
word_count,0.247993,0.219771,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8862,0.247993
sentiment_subjectivity,0.247252,0.163154,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6599,0.247252
stopword_ratio,0.241617,0.15476,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6405,0.241617
fear,0.238023,0.189434,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7959,0.238023
sadness,0.235727,0.110862,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4703,0.235727
sentence_length_variation,0.223335,0.203579,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9115,0.223335
adv_ratio,0.214627,0.123272,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5744,0.214627
subordinate_clause_ratio,0.202039,0.088484,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.438,0.202039
sentiment_polarity,0.201672,0.176362,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8745,0.201672
type_token_ratio,0.198805,0.114553,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5762,0.198805
punctuation_usage,0.19121,0.115981,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6066,0.19121
adj_ratio,0.18522,0.104173,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5624,0.18522
certainty_verbs_count,0.138575,0.447015,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3.2258,0.138575
pronoun_ratio,0.118651,0.102908,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8673,0.118651
hapax_legomena,0.114287,0.064334,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5629,0.114287
sentence_count,0.082904,0.084651,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0211,0.082904
doubt_adjectives_count,0.034316,0.07027,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",2.0477,0.034316
C_ratio,0.028664,0.027603,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.963,0.028664
