index,score_correct,score_misclassified,actual_outcome,actual_outcome_binary
0,0.7259691981728857,0.2740308018271143,Correct,0
1,0.7131291725218726,0.2868708274781275,Correct,0
2,0.8470743504670334,0.1529256495329666,Correct,0
3,0.7131291725218726,0.2868708274781275,Correct,0
4,0.7662356517236663,0.2337643482763338,Correct,0
5,0.7724851850766479,0.22751481492335218,Correct,0
6,0.7605661550839767,0.2394338449160233,Correct,0
7,0.8504078294868138,0.1495921705131863,Correct,0
8,0.7508409224621924,0.2491590775378077,Correct,0
9,0.7931446555974985,0.20685534440250156,Correct,0
10,0.790068447118671,0.20993155288132903,Correct,0
11,0.8086434035060526,0.19135659649394732,Correct,0
12,0.7877778971435535,0.21222210285644655,Correct,0
13,0.759843732188728,0.240156267811272,Correct,0
14,0.7552831655935955,0.24471683440640443,Correct,0
15,0.7668725026317036,0.23312749736829647,Correct,0
16,0.7795788387510638,0.22042116124893624,Correct,0
17,0.8324475847780693,0.1675524152219305,Correct,0
18,0.8578309055131731,0.14216909448682696,Correct,0
19,0.8087459192931361,0.19125408070686395,Correct,0
20,0.7096266784858717,0.29037332151412837,Correct,0
21,0.8056410966913206,0.19435890330867947,Correct,0
22,0.8244446621892003,0.17555533781079977,Correct,0
23,0.7364518230619339,0.2635481769380661,Correct,0
24,0.6975132499407529,0.3024867500592471,Correct,0
25,0.7062390648595549,0.29376093514044505,Correct,0
26,0.7322807884073896,0.2677192115926104,Correct,0
27,0.7877778971435535,0.21222210285644655,Correct,0
28,0.7370146522447018,0.26298534775529825,Correct,0
29,0.8055385809042372,0.1944614190957628,Correct,0
30,0.7411926261751628,0.25880737382483715,Correct,0
31,0.7735551731986472,0.2264448268013528,Correct,0
32,0.7931366879993372,0.2068633120006628,Correct,0
33,0.7069956573585502,0.29300434264144976,Correct,0
34,0.8596834190768787,0.1403165809231213,Correct,0
35,0.7685213879938375,0.23147861200616243,Correct,0
36,0.8417993151207254,0.15820068487927458,Correct,0
37,0.7180206700851282,0.2819793299148718,Correct,0
38,0.697430609107292,0.30256939089270796,Correct,0
39,0.8262925996140098,0.17370740038599009,Correct,0
40,0.7442322888497694,0.2557677111502305,Correct,0
41,0.7069956573585502,0.29300434264144976,Correct,0
42,0.7336387382440313,0.26636126175596886,Correct,0
43,0.7037421993417958,0.2962578006582041,Correct,0
44,0.7181067684696613,0.2818932315303387,Correct,0
45,0.8496578285900962,0.1503421714099039,Correct,0
46,0.8526921925725239,0.14730780742747598,Correct,0
47,0.7316977751641163,0.2683022248358837,Correct,0
48,0.7432472672058534,0.2567527327941467,Correct,0
49,0.8010247581527372,0.19897524184726284,Correct,0
50,0.7511273697610921,0.248872630238908,Misclassified,1
51,0.7329800202472286,0.26701997975277136,Correct,0
52,0.790348384624415,0.20965161537558505,Correct,0
53,0.6700344966484355,0.3299655033515645,Correct,0
54,0.7329950790313616,0.26700492096863837,Correct,0
55,0.8372872701985171,0.16271272980148282,Correct,0
56,0.7546620291436622,0.24533797085633774,Correct,0
57,0.8109998875471043,0.1890001124528957,Correct,0
58,0.7775950800962242,0.22240491990377573,Correct,0
59,0.7747391533306162,0.2252608466693839,Correct,0
60,0.8110151172327222,0.1889848827672778,Correct,0
61,0.8699504749375672,0.130049525062433,Correct,0
62,0.7795211464527612,0.22047885354723884,Correct,0
63,0.7145181760491274,0.2854818239508727,Correct,0
64,0.7666710846348518,0.23332891536514822,Correct,0
65,0.7400059011057045,0.2599940988942955,Correct,0
66,0.7850739616211784,0.21492603837882163,Correct,0
67,0.842520669044352,0.15747933095564803,Misclassified,1
68,0.7082673177371042,0.29173268226289595,Correct,0
69,0.7491167845311579,0.2508832154688422,Correct,0
70,0.739226174010188,0.260773825989812,Correct,0
71,0.8372908022275324,0.16270919777246765,Correct,0
72,0.7938285886912378,0.2061714113087621,Correct,0
73,0.7582067143333155,0.24179328566668445,Correct,0
74,0.8600560907602659,0.1399439092397341,Misclassified,1
75,0.8049939172794339,0.19500608272056602,Correct,0
76,0.7915510103902716,0.20844898960972844,Correct,0
77,0.756395456326659,0.24360454367334095,Correct,0
78,0.79644569439247,0.20355430560753004,Correct,0
