feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
std_word_length*,2.8311076886760234e-12,*,3.8649,3.2688,3.8649 ± 0.8989,3.2688 ± 0.9298,0.09777478873729706
C_ratio,0.1584413940715166,,0.9914,0.9879,0.9914 ± 0.0264,0.9879 ± 0.0283,0.08289601653814316
E_ratio,0.7507070775039284,,0.0045,0.004,0.0045 ± 0.0181,0.004 ± 0.0164,0.058454468846321106
sentiment_polarity*,0.0196397680897407,*,0.0132,0.0628,0.0132 ± 0.2191,0.0628 ± 0.2466,0.054506562650203705
word_count*,7.874314132616249e-07,*,22.2231,27.2025,22.2231 ± 10.0236,27.2025 ± 11.7951,0.046639565378427505
anger*,5.728537577061645e-09,*,0.3013,0.1658,0.3013 ± 0.2854,0.1658 ± 0.2118,0.043043725192546844
punctuation_density*,1.6991351639904783e-12,*,0.4325,0.3109,0.4325 ± 0.2028,0.3109 ± 0.1645,0.03997689113020897
hedges_score,0.23359407059439602,,0.1371,0.1753,0.1371 ± 0.3346,0.1753 ± 0.3689,0.03974788263440132
certainty_verbs_count*,0.009257861843598003,*,0.2479,0.3967,0.2479 ± 0.5508,0.3967 ± 0.6935,0.03712652623653412
joy*,0.001841380860647847,*,0.0281,0.0664,0.0281 ± 0.0783,0.0664 ± 0.1736,0.033781275153160095
readability_score*,2.0930683842688116e-10,*,10.9461,8.5089,10.9461 ± 4.3684,8.5089 ± 3.8744,0.03296507149934769
type_token_ratio*,0.0025024938531725727,*,0.9087,0.8863,0.9087 ± 0.0805,0.8863 ± 0.0813,0.03073556162416935
noun_ratio*,4.7619831885231375e-15,*,0.4608,0.3593,0.4608 ± 0.1474,0.3593 ± 0.1279,0.029149573296308517
verb_ratio*,1.4547952595682396e-06,*,0.108,0.1356,0.108 ± 0.063,0.1356 ± 0.0615,0.024588692933321
surprise*,0.00038300034131887457,*,0.04,0.0783,0.04 ± 0.0707,0.0783 ± 0.1506,0.023579170927405357
pronoun_ratio*,4.150191794743067e-09,*,0.02,0.0445,0.02 ± 0.0378,0.0445 ± 0.0515,0.022151613608002663
disgust,0.5579655333732014,,0.0112,0.0086,0.0112 ± 0.0619,0.0086 ± 0.0275,0.022061418741941452
adj_ratio,0.21321090777308593,,0.0567,0.0624,0.0567 ± 0.0501,0.0624 ± 0.0493,0.021377084776759148
hedge_C_count*,1.8674149669431246e-06,*,16.8471,20.8471,16.8471 ± 8.6862,20.8471 ± 9.5268,0.02130882814526558
function_word_ratio*,4.9110166885793225e-17,*,0.2266,0.3371,0.2266 ± 0.1418,0.3371 ± 0.1373,0.020734351128339767
avg_word_length*,2.0454582573523617e-16,*,5.1603,4.4348,5.1603 ± 1.0535,4.4348 ± 0.8027,0.02001013420522213
subordinate_clause_ratio,0.28951931151112326,,0.0435,0.048,0.0435 ± 0.0475,0.048 ± 0.047,0.019799143075942993
stopword_ratio*,1.6568542380623907e-13,*,0.1882,0.2727,0.1882 ± 0.1241,0.2727 ± 0.1208,0.019220558926463127
adv_ratio*,8.811046436418801e-07,*,0.0195,0.0377,0.0195 ± 0.0316,0.0377 ± 0.0474,0.019173718988895416
doubt_adjectives_count,0.8891345837465604,,0.1116,0.1074,0.1116 ± 0.3284,0.1074 ± 0.3234,0.017425725236535072
sentiment_subjectivity*,0.00010008414551866874,*,0.2084,0.3112,0.2084 ± 0.2949,0.3112 ± 0.2814,0.01693233661353588
fear*,0.04157221955784631,*,0.382,0.45,0.382 ± 0.356,0.45 ± 0.3765,0.016400357708334923
hapax_legomena*,0.008111013988930202,*,0.8386,0.8066,0.8386 ± 0.1373,0.8066 ± 0.1279,0.015472758561372757
sadness,0.20327238371921091,,0.1212,0.1004,0.1212 ± 0.1859,0.1004 ± 0.1739,0.014956017024815083
sentence_length_variation*,0.0003043732186633069,*,1.9151,3.0208,1.9151 ± 3.3221,3.0208 ± 3.364,0.014909806661307812
punctuation_usage,0.16845533884187802,,0.0882,0.0807,0.0882 ± 0.0597,0.0807 ± 0.0609,0.01308219414204359
doubt_adverbs_count*,3.44721911325918e-05,*,0.1529,0.3554,0.1529 ± 0.4525,0.3554 ± 0.6023,0.01284571923315525
certainty_adjectives_count*,0.0002402490327217183,*,0.1612,0.3306,0.1612 ± 0.4403,0.3306 ± 0.5599,0.011544069275259972
hedge_N_count*,0.02522649502449086,*,0.0455,0.1198,0.0455 ± 0.3056,0.1198 ± 0.4151,0.005628322716802359
sentence_count*,1.3070330548622033e-07,*,1.624,2.1942,1.624 ± 0.9954,2.1942 ± 1.3231,
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
certainty_adverbs_count,0.06585538921493193,,0.0992,0.1653,0.0992 ± 0.3622,0.1653 ± 0.4243,
doubt_verbs_count,0.09286136286971247,,0.0083,0.0289,0.0083 ± 0.0907,0.0289 ± 0.1679,
hedge_D_count,0.6774188664461924,,0.0413,0.0496,0.0413 ± 0.2193,0.0496 ± 0.2175,
hedge_I_count,0.47847034072938044,,0.0083,0.0165,0.0083 ± 0.0907,0.0165 ± 0.1569,
hedge_E_count,1.0,,0.0744,0.0744,0.0744 ± 0.2783,0.0744 ± 0.2783,
D_ratio,0.7227063841492953,,0.0019,0.0022,0.0019 ± 0.0108,0.0022 ± 0.0104,
I_ratio,0.546035070453976,,0.0003,0.0007,0.0003 ± 0.0038,0.0007 ± 0.0072,
N_ratio*,0.020249954179861546,*,0.0018,0.0052,0.0018 ± 0.0123,0.0052 ± 0.0188,
