feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
joy*,1.891113849989136e-08,*,0.2336,0.1112,0.2336 ± 0.219,0.1112 ± 0.1993,0.10903621464967728
certainty_adjectives_count*,0.021585139623455263,*,0.1606,0.2746,0.1606 ± 0.4678,0.2746 ± 0.5023,0.09746673703193665
hapax_legomena,0.5496624519423806,,0.8343,0.8263,0.8343 ± 0.1356,0.8263 ± 0.1275,0.0548253059387207
adv_ratio*,2.1477291405819012e-08,*,0.0112,0.0292,0.0112 ± 0.0242,0.0292 ± 0.0365,0.0539337657392025
punctuation_density*,1.302287689241206e-12,*,0.4651,0.3419,0.4651 ± 0.1634,0.3419 ± 0.1662,0.05351118743419647
hedge_C_count*,4.1293144067850003e-07,*,15.7461,20.1969,15.7461 ± 7.7185,20.1969 ± 9.1903,0.04210222512483597
type_token_ratio,0.476552783477008,,0.9081,0.9025,0.9081 ± 0.0797,0.9025 ± 0.0757,0.03710939735174179
sentiment_subjectivity*,4.068931587985937e-05,*,0.1939,0.3226,0.1939 ± 0.3123,0.3226 ± 0.2965,0.03349689021706581
disgust*,0.023854211502822912,*,0.0022,0.0182,0.0022 ± 0.0035,0.0182 ± 0.098,0.03270302340388298
sentence_count*,7.081467121214112e-08,*,1.342,1.8653,1.342 ± 0.741,1.8653 ± 1.0957,0.032651010900735855
punctuation_usage,0.15411759922197274,,0.0942,0.0851,0.0942 ± 0.0658,0.0851 ± 0.0591,0.03252179175615311
function_word_ratio*,9.109725590390837e-15,*,0.2067,0.3074,0.2067 ± 0.1138,0.3074 ± 0.1308,0.031160857528448105
doubt_adverbs_count*,8.642638918641795e-08,*,0.0777,0.3679,0.0777 ± 0.2872,0.3679 ± 0.6804,0.02821485698223114
sentence_length_variation*,5.0084188918469925e-06,*,1.1824,2.7655,1.1824 ± 2.732,2.7655 ± 3.8857,0.0278789009898901
avg_word_length*,0.0006892096139156387,*,4.9189,4.6443,4.9189 ± 0.7637,4.6443 ± 0.8124,0.027379095554351807
pronoun_ratio*,3.356182102604251e-06,*,0.0125,0.0297,0.0125 ± 0.0345,0.0297 ± 0.0373,0.0265634935349226
surprise*,0.018107079189464848,*,0.1873,0.1437,0.1873 ± 0.1667,0.1437 ± 0.1934,0.026155909523367882
stopword_ratio*,3.635793794052352e-14,*,0.1606,0.2479,0.1606 ± 0.1075,0.2479 ± 0.1104,0.025359824299812317
subordinate_clause_ratio*,0.0030323998486521,*,0.0299,0.0434,0.0299 ± 0.041,0.0434 ± 0.048,0.024959465488791466
readability_score*,0.02222031271090318,*,10.5303,9.5627,10.5303 ± 4.2851,9.5627 ± 3.99,0.02307921275496483
verb_ratio*,0.0017066970810924547,*,0.0939,0.116,0.0939 ± 0.0635,0.116 ± 0.0737,0.022181281819939613
std_word_length*,1.4147101455672722e-05,*,3.9247,3.5676,3.9247 ± 0.6806,3.5676 ± 0.8992,0.021757271140813828
anger*,0.0001276203789805654,*,0.055,0.1271,0.055 ± 0.1121,0.1271 ± 0.2332,0.021643929183483124
adj_ratio*,0.000698020047579344,*,0.0449,0.0607,0.0449 ± 0.0431,0.0607 ± 0.0478,0.021352581679821014
word_count*,1.5702870512612887e-06,*,21.2902,26.2383,21.2902 ± 8.9582,26.2383 ± 10.8774,0.020788680762052536
fear*,0.0010556993457222093,*,0.2229,0.3401,0.2229 ± 0.3142,0.3401 ± 0.3807,0.018923839554190636
noun_ratio*,1.3801979598069643e-06,*,0.4747,0.4052,0.4747 ± 0.1353,0.4052 ± 0.1433,0.01846720278263092
sentiment_polarity,0.8884615740104121,,0.0681,0.065,0.0681 ± 0.1915,0.065 ± 0.2426,0.0179789736866951
sadness,0.2007557279930135,,0.0621,0.0821,0.0621 ± 0.1348,0.0821 ± 0.1702,0.01679711416363716
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
certainty_adverbs_count,0.07673343615217147,,0.0725,0.1347,0.0725 ± 0.3144,0.1347 ± 0.3715,
certainty_verbs_count*,0.00014019798824313912,*,0.114,0.3212,0.114 ± 0.3644,0.3212 ± 0.6538,
doubt_verbs_count,1.0,,0.0155,0.0155,0.0155 ± 0.124,0.0155 ± 0.124,
doubt_adjectives_count*,0.011888493473350732,*,0.0725,0.1606,0.0725 ± 0.2601,0.1606 ± 0.4084,
hedges_score,0.05064861610689556,,0.1045,0.1698,0.1045 ± 0.2937,0.1698 ± 0.3583,
hedge_D_count,1.0,,0.0415,0.0415,0.0415 ± 0.1998,0.0415 ± 0.1998,
hedge_E_count,0.5527216341039208,,0.057,0.0725,0.057 ± 0.2324,0.0725 ± 0.2794,
hedge_I_count,0.317940229537819,,0.0052,0.0,0.0052 ± 0.072,0.0 ± 0.0,
hedge_N_count*,0.0212681547592219,*,0.0155,0.0881,0.0155 ± 0.1606,0.0881 ± 0.4051,
C_ratio,0.21546639311944552,,0.9941,0.9915,0.9941 ± 0.0189,0.9915 ± 0.0221,
D_ratio,0.8295986679751277,,0.0021,0.0019,0.0021 ± 0.011,0.0019 ± 0.0095,
E_ratio,0.8693302639957343,,0.0031,0.0033,0.0031 ± 0.0137,0.0033 ± 0.0132,
I_ratio,0.31794022953781903,,0.0003,0.0,0.0003 ± 0.0036,0.0 ± 0.0,
N_ratio*,0.009916635888354232,*,0.0004,0.0033,0.0004 ± 0.0041,0.0033 ± 0.0147,
