feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
D_ratio,0.46306331964701575,,0.0018,0.0022,0.0018 ± 0.01,0.0022 ± 0.0107,0.08401557803153992
C_ratio,0.751243148919956,,0.9907,0.9902,0.9907 ± 0.0262,0.9902 ± 0.0248,0.044783663004636765
sentiment_polarity,0.5124664566914503,,0.057,0.0493,0.057 ± 0.2292,0.0493 ± 0.2259,0.03854026645421982
sentiment_subjectivity,0.07606174294839223,,0.2532,0.2818,0.2532 ± 0.3255,0.2818 ± 0.2997,0.036679890006780624
hedge_N_count,0.7117978375920846,,0.0699,0.0765,0.0699 ± 0.3435,0.0765 ± 0.3516,0.036399248987436295
fear*,1.8595229428449508e-13,*,0.2457,0.3806,0.2457 ± 0.3228,0.3806 ± 0.3817,0.03552157059311867
sentence_count*,1.473274351826498e-10,*,1.504,1.8496,1.504 ± 0.8411,1.8496 ± 1.2114,0.0343746617436409
N_ratio,0.9143975649066116,,0.0032,0.0031,0.0032 ± 0.0155,0.0031 ± 0.0144,0.033624958246946335
punctuation_density*,1.1453974961162628e-08,*,0.413,0.3598,0.413 ± 0.1888,0.3598 ± 0.1716,0.029970724135637283
anger,0.6069943609983078,,0.1471,0.1411,0.1471 ± 0.2371,0.1411 ± 0.2163,0.027938252314925194
readability_score*,0.012148470759432406,*,9.9044,9.3862,9.9044 ± 4.0748,9.3862 ± 3.96,0.026388874277472496
doubt_adverbs_count*,0.00037508083180608437,*,0.2018,0.2982,0.2018 ± 0.4599,0.2982 ± 0.5845,0.026215309277176857
certainty_adverbs_count,0.5058859807502796,,0.1385,0.1253,0.1385 ± 0.4087,0.1253 ± 0.3618,0.025547480210661888
certainty_adjectives_count,0.4568525434192212,,0.2124,0.2309,0.2124 ± 0.4914,0.2309 ± 0.4747,0.02508750930428505
word_count*,1.7874669370958502e-07,*,22.3087,25.0026,22.3087 ± 8.087,25.0026 ± 11.6014,0.024849114939570427
adv_ratio*,0.01078064801636895,*,0.023,0.0281,0.023 ± 0.0376,0.0281 ± 0.0397,0.024847038090229034
noun_ratio*,3.8129543157912466e-08,*,0.453,0.4125,0.453 ± 0.1378,0.4125 ± 0.1474,0.024135949090123177
sadness,0.943913031684956,,0.0955,0.0949,0.0955 ± 0.1728,0.0949 ± 0.175,0.023765822872519493
stopword_ratio*,2.4296853200882475e-05,*,0.2058,0.2327,0.2058 ± 0.125,0.2327 ± 0.1224,0.023615185171365738
joy*,4.0391451226839945e-08,*,0.1359,0.0826,0.1359 ± 0.2071,0.0826 ± 0.1674,0.023321576416492462
function_word_ratio*,3.671780370285527e-05,*,0.2595,0.2895,0.2595 ± 0.1418,0.2895 ± 0.14,0.022390684112906456
verb_ratio*,1.5091751623895168e-06,*,0.104,0.1211,0.104 ± 0.0668,0.1211 ± 0.0706,0.022220170125365257
avg_word_length*,0.00494039685512975,*,4.8406,4.7133,4.8406 ± 0.8826,4.7133 ± 0.8786,0.02198673225939274
subordinate_clause_ratio,0.38005740005115285,,0.0406,0.0428,0.0406 ± 0.0506,0.0428 ± 0.0474,0.021218175068497658
E_ratio,0.950976461050462,,0.0042,0.0042,0.0042 ± 0.0172,0.0042 ± 0.0165,0.02115677483379841
disgust,0.9409507534133513,,0.0109,0.0106,0.0109 ± 0.0677,0.0106 ± 0.0624,0.020699670538306236
std_word_length*,0.00023212995850126938,*,3.7265,3.5614,3.7265 ± 0.8373,3.5614 ± 0.9037,0.020660100504755974
hedges_score,0.31032252673633715,,0.1427,0.1607,0.1427 ± 0.3384,0.1607 ± 0.3534,0.02019362896680832
certainty_verbs_count*,0.013368792871422747,*,0.2216,0.2916,0.2216 ± 0.494,0.2916 ± 0.6001,0.019748320803046227
doubt_adjectives_count,0.18271039106165873,,0.0989,0.1214,0.0989 ± 0.3075,0.1214 ± 0.3464,0.01972494274377823
punctuation_usage,0.05165019412696975,,0.0896,0.0832,0.0896 ± 0.0684,0.0832 ± 0.0587,0.01940646767616272
adj_ratio,0.27026263293820263,,0.0556,0.0584,0.0556 ± 0.0479,0.0584 ± 0.0494,0.019194453954696655
surprise*,0.0016259918306756774,*,0.1404,0.1124,0.1404 ± 0.1775,0.1124 ± 0.1671,0.01918557472527027
hedge_C_count*,9.828393159782292e-07,*,16.9182,18.9274,16.9182 ± 7.056,18.9274 ± 8.7676,0.017819497734308243
type_token_ratio*,0.016099547926311252,*,0.9116,0.9019,0.9116 ± 0.0756,0.9019 ± 0.0821,0.01769755594432354
pronoun_ratio*,6.295376971675121e-05,*,0.0219,0.0304,0.0219 ± 0.0387,0.0304 ± 0.0435,0.017606552690267563
sentence_length_variation*,1.7983892843140894e-06,*,1.5845,2.3611,1.5845 ± 2.8751,2.3611 ± 3.4104,0.015036499127745628
hapax_legomena,0.05608419891672502,,0.8418,0.8291,0.8418 ± 0.1266,0.8291 ± 0.132,0.014431552961468697
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
doubt_verbs_count,0.5454802146669033,,0.0145,0.0185,0.0145 ± 0.1197,0.0185 ± 0.1347,
hedge_D_count,0.3686560096912034,,0.0356,0.0449,0.0356 ± 0.1925,0.0449 ± 0.2071,
hedge_I_count,0.4907084024996706,,0.0053,0.0092,0.0053 ± 0.0725,0.0092 ± 0.1405,
hedge_E_count,0.5710794965136484,,0.0686,0.0765,0.0686 ± 0.2682,0.0765 ± 0.2758,
I_ratio,0.7913476232934573,,0.0002,0.0003,0.0002 ± 0.0033,0.0003 ± 0.0046,
