feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std,median_cohens_d,effect_size_category
fear,-0.303166110667099,0.0294409021735191,0.2741 ± 0.3365,0.3806 ± 0.3817,-0.34,small
hedge_C_count,0.2507378541025961,0.0384560823440551,18.0209 ± 6.7421,18.9274 ± 8.7676,-0.309,small
word_count,-0.4636540567832622,0.0281807277351617,23.7320 ± 8.0809,25.0026 ± 11.6014,-0.297,small
sentence_count,-0.2577044821432402,0.0267320983111858,1.6435 ± 0.9257,1.8496 ± 1.2114,-0.336,small
joy,0.1988650539026307,0.0301511976867914,0.1376 ± 0.2103,0.0826 ± 0.1674,0.265,small
verb_ratio,-0.1721095400512801,0.0242894068360328,0.1068 ± 0.0686,0.1211 ± 0.0706,-0.23,small
sentence_length_variation,-0.0365446807005171,0.0242263805121183,1.8998 ± 2.8575,2.3611 ± 3.4104,-0.203,small
noun_ratio,0.1559542145954205,0.0259112175554037,0.4320 ± 0.1378,0.4125 ± 0.1474,0.199,negligible
punctuation_density,0.1394564722526407,0.0239839050918817,0.3741 ± 0.1759,0.3598 ± 0.1716,0.201,small
surprise,-0.0180640039229191,0.0273415595293045,0.1426 ± 0.1785,0.1124 ± 0.1671,0.21,small
type_token_ratio,-0.3299541292599943,0.0256133116781711,0.9046 ± 0.0789,0.9019 ± 0.0821,0.066,negligible
