feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std,median_cohens_d,effect_size_category
punctuation_density,-0.5373954477030533,0.0336211584508419,0.3638 ± 0.1357,0.3109 ± 0.1645,0.151,negligible
stopword_ratio,0.0397304236984468,0.0253957770764827,0.2344 ± 0.0964,0.2727 ± 0.1208,-0.229,small
noun_ratio,-0.2324686001971044,0.0255284756422042,0.4063 ± 0.1118,0.3593 ± 0.1279,0.237,small
function_word_ratio,-0.5186003502397778,0.0221394654363393,0.2826 ± 0.1098,0.3371 ± 0.1373,-0.282,small
hedge_C_count,-0.0086524161917104,0.0231435913592576,19.6045 ± 7.0966,20.8471 ± 9.5268,-0.467,small
avg_word_length,0.1194218969700643,0.0280524939298629,4.7825 ± 0.7630,4.4348 ± 0.8027,0.312,small
std_word_length,0.1467210981979179,0.037151139229536,3.5335 ± 0.8154,3.2688 ± 0.9298,0.159,negligible
word_count,0.0652100094937917,0.0265046041458845,25.4763 ± 8.8809,27.2025 ± 11.7951,-0.447,small
pronoun_ratio,-0.0930812482875853,0.01946763135492795,0.0356 ± 0.0375,0.0445 ± 0.0515,-0.056,negligible
sentence_count,-0.459678409615198,0.0181701481342315,1.9112 ± 0.9144,2.1942 ± 1.3231,-0.223,small
sentence_length_variation,0.0436862462462672,0.0189469363540411,2.6923 ± 2.9962,3.0208 ± 3.3640,-0.113,negligible
adv_ratio,-0.3972574718604414,0.0154394749552011,0.0266 ± 0.0330,0.0377 ± 0.0474,-0.219,small
verb_ratio,-0.4634887879237758,0.0205882508307695,0.1182 ± 0.0624,0.1356 ± 0.0615,-0.295,small
certainty_verbs_count,-0.1738687504882002,0.0210163090378046,0.3977 ± 0.5473,0.3967 ± 0.6935,-0.074,negligible
readability_score,0.1246034291179273,0.0218514408916234,9.8526 ± 4.1022,8.5089 ± 3.8744,0.205,small
sentiment_subjectivity,-0.0036021796393836,0.0221449881792068,0.2805 ± 0.2869,0.3112 ± 0.2814,-0.104,negligible
doubt_adverbs_count,-0.1435794858309693,0.0404816791415214,0.2487 ± 0.4674,0.3554 ± 0.6023,-0.3,small
type_token_ratio,0.3468839899258825,0.0257176551967859,0.8942 ± 0.0784,0.8863 ± 0.0813,0.122,negligible
anger,0.661097955307958,0.0192269515246152,0.2555 ± 0.2756,0.1658 ± 0.2118,0.373,small
hapax_legomena,-0.3613851468098114,0.018450429663062,0.8171 ± 0.1246,0.8066 ± 0.1279,0.069,negligible
certainty_adjectives_count,0.0044917132327036,0.0109641617164015,0.2559 ± 0.4928,0.3306 ± 0.5599,-0.123,negligible
fear,0.3523040503139293,0.0227102860808372,0.4200 ± 0.3515,0.4500 ± 0.3765,-0.143,negligible
certainty_adverbs_count,0.204737101970397,0.0156509391963481,0.1521 ± 0.3542,0.1653 ± 0.4243,-0.001,negligible
joy,-0.2706987773356613,0.0239807069301605,0.0387 ± 0.0986,0.0664 ± 0.1736,-0.295,small
surprise,-0.2546258629654188,0.0285285077989101,0.0501 ± 0.1025,0.0783 ± 0.1506,-0.214,small
sadness,0.2147402884266305,0.0174312982708215,0.1181 ± 0.1938,0.1004 ± 0.1739,0.033,negligible
disgust,0.0309918465721075,0.0267958436161279,0.0181 ± 0.0651,0.0086 ± 0.0275,-0.055,negligible
