feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,0.4184787982277905,0.03874758258461952,0.9921 ± 0.0249,0.9879 ± 0.0283
D_ratio,0.06668849965760844,0.0,0.0021 ± 0.0118,0.0022 ± 0.0104
E_ratio,-0.1422187275235675,0.07262323796749115,0.0058 ± 0.02,0.004 ± 0.0164
I_ratio,-0.1032963830780963,0.0,0.0 ± 0.0,0.0007 ± 0.0072
N_ratio*,-0.5417375941612234,0.0,0.0 ± 0.0,0.0052 ± 0.0188
adj_ratio,-0.14999522573548008,0.017683453857898712,0.0526 ± 0.0493,0.0624 ± 0.0493
adv_ratio*,-0.6851895907371324,0.04226420819759369,0.0091 ± 0.0243,0.0377 ± 0.0474
anger*,0.5626193838730087,0.03664097562432289,0.3162 ± 0.276,0.1658 ± 0.2118
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.7038974835317923,0.030662722885608673,5.4201 ± 0.7703,4.4348 ± 0.8027
certainty_adjectives_count*,0.004491713232703617,0.0,0.0722 ± 0.3608,0.3306 ± 0.5599
certainty_adverbs_count*,0.448120466001462,0.0,0.0206 ± 0.1428,0.1653 ± 0.4243
certainty_verbs_count*,0.007401525590021898,0.0023132404312491417,0.1134 ± 0.3499,0.3967 ± 0.6935
disgust,-0.2830512285800192,0.0395403653383255,0.0069 ± 0.0113,0.0086 ± 0.0275
doubt_adjectives_count,-0.3870351837618237,0.0,0.0412 ± 0.1999,0.1074 ± 0.3234
doubt_adverbs_count*,-1.0244687660695888,0.05933034047484398,0.0412 ± 0.1999,0.3554 ± 0.6023
doubt_verbs_count,-0.3299743821114802,0.0,0.0 ± 0.0,0.0289 ± 0.1679
fear*,-0.24780727022695476,0.01157007273286581,0.2483 ± 0.3061,0.45 ± 0.3765
function_word_ratio*,-0.9391528059349973,0.0348077118396759,0.1684 ± 0.0911,0.3371 ± 0.1373
hapax_legomena*,-0.4888131445813239,0.023156214505434036,0.8909 ± 0.1115,0.8066 ± 0.1279
hedge_C_count*,-0.27954128365840764,0.02512088045477867,13.4639 ± 3.5061,20.8471 ± 9.5268
hedge_D_count,-0.8284021203092975,0.0,0.0309 ± 0.174,0.0496 ± 0.2175
hedge_E_count,0.2004702357304775,0.0,0.0928 ± 0.3254,0.0744 ± 0.2783
hedge_I_count,-0.09270094950736532,0.0,0.0 ± 0.0,0.0165 ± 0.1569
hedge_N_count*,-0.39934012122147405,0.0,0.0 ± 0.0,0.1198 ± 0.4151
hedges_score,1.0566878196026084,0.042707111686468124,0.1225 ± 0.3144,0.1753 ± 0.3689
joy*,-0.29638576494681246,0.019528551027178764,0.0257 ± 0.0573,0.0664 ± 0.1736
noun_ratio*,-0.08824445090257106,0.025528475642204285,0.523 ± 0.1207,0.3593 ± 0.1279
pronoun_ratio*,-0.5733892456559351,0.0,0.0041 ± 0.013,0.0445 ± 0.0515
punctuation_density*,0.04635869015246291,0.02282424457371235,0.5131 ± 0.158,0.3109 ± 0.1645
punctuation_usage*,0.2041186072778719,0.011870025657117367,0.0995 ± 0.0661,0.0807 ± 0.0609
readability_score*,0.4639398950752177,0.021851440891623497,11.7093 ± 3.8206,8.5089 ± 3.8744
sadness*,0.16416324373206323,0.04301445931196213,0.1708 ± 0.224,0.1004 ± 0.1739
sentence_count*,-0.5424459672543837,0.0018675312167033553,1.268 ± 0.5106,2.1942 ± 1.3231
sentence_length_variation*,-0.3081604820839342,0.008892403915524483,0.9989 ± 2.082,3.0208 ± 3.364
sentiment_polarity,0.15905378606093296,0.05780283361673355,0.0384 ± 0.2156,0.0628 ± 0.2466
sentiment_subjectivity*,-0.13341312691312754,0.007906795479357243,0.1575 ± 0.2733,0.3112 ± 0.2814
std_word_length*,0.6410635401716455,0.19484765827655792,4.2291 ± 0.5589,3.2688 ± 0.9298
stopword_ratio*,0.11119136596539082,0.014990940690040588,0.1328 ± 0.0883,0.2727 ± 0.1208
subordinate_clause_ratio*,0.1479696572074294,0.0037830942310392857,0.0336 ± 0.0385,0.048 ± 0.047
surprise,-0.36268995650783803,0.02709958516061306,0.06 ± 0.0938,0.0783 ± 0.1506
type_token_ratio*,1.314321160887477,0.016272397711873055,0.9418 ± 0.0617,0.8863 ± 0.0813
verb_ratio*,-0.08210553649615356,0.020156024023890495,0.0973 ± 0.0535,0.1356 ± 0.0615
word_count*,0.08619669783036159,0.024595430120825768,18.7629 ± 4.6699,27.2025 ± 11.7951
