feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,0.1372131646525609,0.013606026768684387,0.992 ± 0.0219,0.9915 ± 0.0221
D_ratio,0.1836469037718388,0.0,0.0017 ± 0.0102,0.0019 ± 0.0095
E_ratio,-0.20656956231394494,0.11451270431280136,0.0063 ± 0.0199,0.0033 ± 0.0132
I_ratio,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
N_ratio*,-0.12612507231163816,0.0,0.0 ± 0.0,0.0033 ± 0.0147
adj_ratio,0.141585670170052,0.01748264580965042,0.0662 ± 0.0524,0.0607 ± 0.0478
adv_ratio*,0.12367298704804808,0.019266195595264435,0.0174 ± 0.0343,0.0292 ± 0.0365
anger*,-0.8039960238640184,0.024399958550930023,0.0377 ± 0.078,0.1271 ± 0.2332
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.06115122196147936,0.02340097166597843,4.9411 ± 0.8595,4.6443 ± 0.8124
certainty_adjectives_count*,-0.05909952780044764,0.0,0.1298 ± 0.3594,0.2746 ± 0.5023
certainty_adverbs_count*,-0.38925200092354373,0.0,0.0229 ± 0.1502,0.1347 ± 0.3715
certainty_verbs_count*,-0.565447586186311,0.014855986461043358,0.0305 ± 0.1727,0.3212 ± 0.6538
disgust,-0.09092473214957833,0.027046937495470047,0.0026 ± 0.0098,0.0182 ± 0.098
doubt_adjectives_count,0.12221944308569163,0.0,0.1069 ± 0.3101,0.1606 ± 0.4084
doubt_adverbs_count*,-0.4416943870392558,0.011840268969535828,0.1756 ± 0.4016,0.3679 ± 0.6804
doubt_verbs_count,-0.01717781091064843,0.0,0.0 ± 0.0,0.0155 ± 0.124
fear*,0.06599478450017822,0.04489854350686073,0.1986 ± 0.2995,0.3401 ± 0.3807
function_word_ratio*,0.07217258361283208,0.02970106340944767,0.2287 ± 0.0982,0.3074 ± 0.1308
hapax_legomena,-0.6053373606061725,0.028282903134822845,0.8379 ± 0.1385,0.8263 ± 0.1275
hedge_C_count*,0.7781437737648488,0.03678050637245178,15.626 ± 4.2794,20.1969 ± 9.1903
hedge_D_count,0.23834283286251562,0.0,0.0305 ± 0.1727,0.0415 ± 0.1998
hedge_E_count,0.7819856148109714,0.0,0.1069 ± 0.334,0.0725 ± 0.2794
hedge_I_count,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
hedge_N_count*,-0.10798747510088291,0.0,0.0 ± 0.0,0.0881 ± 0.4051
hedges_score,0.010489834344678966,0.01342498604208231,0.1245 ± 0.3165,0.1698 ± 0.3583
joy*,0.34377882499955664,0.09181562811136246,0.2445 ± 0.2234,0.1112 ± 0.1993
noun_ratio*,-0.12378746107753034,0.023523598909378052,0.4735 ± 0.1167,0.4052 ± 0.1433
pronoun_ratio*,-0.8631679121580002,0.057933758944272995,0.0052 ± 0.0148,0.0297 ± 0.0373
punctuation_density*,0.5335809635978928,0.045536108314991,0.4513 ± 0.144,0.3419 ± 0.1662
punctuation_usage,-0.1362408911541442,0.018201656639575958,0.0836 ± 0.0474,0.0851 ± 0.0591
readability_score,-0.43285680062056514,0.017883984372019768,9.8397 ± 3.6022,9.5627 ± 3.99
sadness,-0.1084310761876592,0.02418883517384529,0.0616 ± 0.1263,0.0821 ± 0.1702
sentence_count*,-0.5542177168052748,0.035171620547771454,1.2443 ± 0.5696,1.8653 ± 1.0957
sentence_length_variation*,0.08438999679636083,0.04260808229446411,0.8585 ± 2.1461,2.7655 ± 3.8857
sentiment_polarity,0.20874695609964486,0.032224949449300766,0.0648 ± 0.1698,0.065 ± 0.2426
sentiment_subjectivity*,-0.4035640840431164,0.015680737793445587,0.185 ± 0.28,0.3226 ± 0.2965
std_word_length*,-0.4044288529670175,0.01950676366686821,3.8958 ± 0.6675,3.5676 ± 0.8992
stopword_ratio*,-0.6863058043242904,0.03530702739953995,0.1705 ± 0.083,0.2479 ± 0.1104
subordinate_clause_ratio,0.1346703939937262,0.03202670067548752,0.038 ± 0.0417,0.0434 ± 0.048
surprise*,-0.07724924618501128,0.017875758931040764,0.1939 ± 0.1413,0.1437 ± 0.1934
type_token_ratio,0.340118970319318,0.013193884864449501,0.9125 ± 0.0766,0.9025 ± 0.0757
verb_ratio*,0.1924426149415619,0.03185645118355751,0.0922 ± 0.0551,0.116 ± 0.0737
word_count*,-1.0194802510744225,0.02596478909254074,20.9542 ± 5.3506,26.2383 ± 10.8774
