feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.006338908417066432,0.04771406203508377,0.9914 ± 0.0215,0.9902 ± 0.0248
D_ratio,-0.22323344894816738,0.0,0.002 ± 0.0092,0.0022 ± 0.0107
E_ratio,0.11652368911552038,0.04574621841311455,0.0035 ± 0.0144,0.0042 ± 0.0165
I_ratio,0.13557427586191015,0.0,0.0002 ± 0.0029,0.0003 ± 0.0046
N_ratio,-0.003576106615398097,0.03204748034477234,0.0029 ± 0.0131,0.0031 ± 0.0144
adj_ratio,-0.01005266543156178,0.02075825445353985,0.0585 ± 0.0477,0.0584 ± 0.0494
adv_ratio,0.03811674508717489,0.02667294442653656,0.0288 ± 0.0379,0.0281 ± 0.0397
anger,0.04783986208986371,0.02232212945818901,0.1446 ± 0.2331,0.1411 ± 0.2163
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.24348550220987306,0.023876408115029335,4.5937 ± 0.8264,4.7133 ± 0.8786
certainty_adjectives_count*,0.10052861652086256,0.04055019095540047,0.2958 ± 0.5095,0.2309 ± 0.4747
certainty_adverbs_count*,0.06713335048006012,0.013269028626382351,0.1887 ± 0.4439,0.1253 ± 0.3618
certainty_verbs_count*,0.11604881104596769,0.029773704707622528,0.4465 ± 0.7888,0.2916 ± 0.6001
disgust,0.04560780968448705,0.022703932598233223,0.012 ± 0.0726,0.0106 ± 0.0624
doubt_adjectives_count,0.06775500625864224,0.045285217463970184,0.147 ± 0.3792,0.1214 ± 0.3464
doubt_adverbs_count,-0.1604475487947229,0.013850905932486057,0.2759 ± 0.5258,0.2982 ± 0.5845
doubt_verbs_count,0.009671013594621468,0.0,0.0163 ± 0.1269,0.0185 ± 0.1347
fear,-0.20488842484493922,0.026294659823179245,0.3965 ± 0.3863,0.3806 ± 0.3817
function_word_ratio,-0.3394715781249748,0.02312074601650238,0.3017 ± 0.144,0.2895 ± 0.14
hapax_legomena*,0.4946652103817186,0.03105008415877819,0.7936 ± 0.1322,0.8291 ± 0.132
hedge_C_count*,0.8176372936516738,0.017566047608852386,21.6225 ± 10.8791,18.9274 ± 8.7676
hedge_D_count,0.22404217849864952,0.0,0.0599 ± 0.2797,0.0449 ± 0.2071
hedge_E_count,-0.016168712154034637,0.01986214518547058,0.0708 ± 0.2836,0.0765 ± 0.2758
hedge_I_count,-0.15447826067344353,0.0,0.0073 ± 0.085,0.0092 ± 0.1405
hedge_N_count,-0.041908352749022965,0.030563728883862495,0.0726 ± 0.2988,0.0765 ± 0.3516
hedges_score,-0.06440189555578747,0.022637533023953438,0.1646 ± 0.3576,0.1607 ± 0.3534
joy,0.05508053746413423,0.03080146387219429,0.099 ± 0.1799,0.0826 ± 0.1674
noun_ratio,0.007318140546180404,0.025598108768463135,0.4025 ± 0.1479,0.4125 ± 0.1474
pronoun_ratio,0.031000664853097413,0.019240006804466248,0.0351 ± 0.0438,0.0304 ± 0.0435
punctuation_density,-0.0031499888666606185,0.01722000725567341,0.3492 ± 0.1805,0.3598 ± 0.1716
punctuation_usage,0.08628648499179166,0.0189436674118042,0.0843 ± 0.07,0.0832 ± 0.0587
readability_score,0.05267229768319928,0.023252664133906364,9.503 ± 4.3218,9.3862 ± 3.96
sadness*,-0.15262484182318553,0.02138090692460537,0.0726 ± 0.1456,0.0949 ± 0.175
sentence_count,-0.2577044821432402,0.03466123715043068,1.9601 ± 1.2527,1.8496 ± 1.2114
sentence_length_variation*,0.09582405309981792,0.020351501181721687,2.9146 ± 3.9409,2.3611 ± 3.4104
sentiment_polarity,-0.0076457543229895165,0.027595948427915573,0.0585 ± 0.2776,0.0493 ± 0.2259
sentiment_subjectivity*,0.05608759085794555,0.01773846335709095,0.3269 ± 0.3125,0.2818 ± 0.2997
std_word_length,0.3297744524919773,0.017956873401999474,3.5415 ± 0.941,3.5614 ± 0.9037
stopword_ratio*,0.46550668454369853,0.028551757335662842,0.2495 ± 0.1285,0.2327 ± 0.1224
subordinate_clause_ratio,-0.018707979988171086,0.02694001980125904,0.0407 ± 0.0481,0.0428 ± 0.0474
surprise,-0.08863177786031641,0.025050733238458633,0.1044 ± 0.1706,0.1124 ± 0.1671
type_token_ratio*,-0.8536544046088372,0.02987045608460903,0.8763 ± 0.0897,0.9019 ± 0.0821
verb_ratio*,-0.2829841264612106,0.027822822332382202,0.1104 ± 0.0701,0.1211 ± 0.0706
word_count*,-0.6091458831768125,0.03135793283581734,28.2868 ± 13.0444,25.0026 ± 11.6014
