feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.274439206124106,0.025823336094617844,0.9878 ± 0.0286,0.9902 ± 0.0248
D_ratio,0.015054572461969748,0.0,0.0018 ± 0.0104,0.0022 ± 0.0107
E_ratio,-0.19154619812570972,0.0347902737557888,0.0051 ± 0.0179,0.0042 ± 0.0165
I_ratio,0.04030402410624287,0.0,0.0005 ± 0.0046,0.0003 ± 0.0046
N_ratio,0.5577400095546733,0.010863075964152813,0.0048 ± 0.0201,0.0031 ± 0.0144
adj_ratio,0.06650399459376664,0.020999189466238022,0.0581 ± 0.0506,0.0584 ± 0.0494
adv_ratio,0.112329248920806,0.024379001930356026,0.0294 ± 0.0413,0.0281 ± 0.0397
anger*,-0.17716763058243615,0.027945388108491898,0.0961 ± 0.1913,0.1411 ± 0.2163
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length,-0.5543783234283105,0.022495228797197342,4.6242 ± 0.825,4.7133 ± 0.8786
certainty_adjectives_count,-0.0006755948391067653,0.02709255926311016,0.2105 ± 0.4816,0.2309 ± 0.4747
certainty_adverbs_count,0.1481819656981576,0.013500995002686977,0.1688 ± 0.4417,0.1253 ± 0.3618
certainty_verbs_count*,-0.036905674006986126,0.017888428643345833,0.2087 ± 0.4492,0.2916 ± 0.6001
disgust,-0.04649737250485271,0.02301565371453762,0.006 ± 0.0399,0.0106 ± 0.0624
doubt_adjectives_count*,-0.07875663640864686,0.00993723887950182,0.0835 ± 0.2834,0.1214 ± 0.3464
doubt_adverbs_count*,-0.10900364329788165,0.015581035055220127,0.2323 ± 0.4867,0.2982 ± 0.5845
doubt_verbs_count,-0.00825640574727211,0.0,0.0236 ± 0.1519,0.0185 ± 0.1347
fear*,-0.317001101251643,0.02940208837389946,0.2574 ± 0.341,0.3806 ± 0.3817
function_word_ratio,0.2740956985258686,0.03179740533232689,0.2897 ± 0.1372,0.2895 ± 0.14
hapax_legomena,0.12678506770492293,0.019572772085666656,0.8363 ± 0.1304,0.8291 ± 0.132
hedge_C_count*,-0.28351033745508275,0.04944464936852455,16.7586 ± 4.6454,18.9274 ± 8.7676
hedge_D_count,-0.12367005976403744,0.0,0.0345 ± 0.1923,0.0449 ± 0.2071
hedge_E_count,0.11424775309655286,0.0,0.0907 ± 0.3059,0.0765 ± 0.2758
hedge_I_count,-0.05409172398059523,0.0,0.0109 ± 0.1039,0.0092 ± 0.1405
hedge_N_count,-0.654000796163529,0.06242600455880165,0.0889 ± 0.3634,0.0765 ± 0.3516
hedges_score,0.02439400145240468,0.022916175425052643,0.171 ± 0.3624,0.1607 ± 0.3534
joy*,0.3566804910309916,0.04661823809146881,0.1641 ± 0.2225,0.0826 ± 0.1674
noun_ratio*,0.1426034230522058,0.025435971096158028,0.4304 ± 0.1362,0.4125 ± 0.1474
pronoun_ratio,-0.02162530834544116,0.021480271592736244,0.0278 ± 0.0402,0.0304 ± 0.0435
punctuation_density,0.08117952197320656,0.019398227334022522,0.3753 ± 0.1698,0.3598 ± 0.1716
punctuation_usage,-0.036753045872585405,0.026532460004091263,0.0852 ± 0.0756,0.0832 ± 0.0587
readability_score,0.19026583761851615,0.02273388020694256,9.2317 ± 3.8142,9.3862 ± 3.96
sadness,-0.12827886536538768,0.02602718211710453,0.0857 ± 0.1749,0.0949 ± 0.175
sentence_count*,-0.1946082646456107,0.03304180130362511,1.5118 ± 0.7479,1.8496 ± 1.2114
sentence_length_variation*,0.07554388394340693,0.021972285583615303,1.7311 ± 2.7487,2.3611 ± 3.4104
sentiment_polarity,-0.18577552134769876,0.036382097750902176,0.0616 ± 0.2578,0.0493 ± 0.2259
sentiment_subjectivity,0.15659925437099664,0.027723897248506546,0.2907 ± 0.3293,0.2818 ± 0.2997
std_word_length,0.08069829136315801,0.025653734803199768,3.5463 ± 0.9869,3.5614 ± 0.9037
stopword_ratio,0.11839126049713633,0.02116166055202484,0.2304 ± 0.1211,0.2327 ± 0.1224
subordinate_clause_ratio,0.10524885168219494,0.01986756920814514,0.0414 ± 0.0531,0.0428 ± 0.0474
surprise*,0.05597118940779207,0.020545290783047676,0.1534 ± 0.177,0.1124 ± 0.1671
type_token_ratio,-0.32995412925999434,0.03906814008951187,0.9073 ± 0.0809,0.9019 ± 0.0821
verb_ratio*,-0.304173583677081,0.03664419800043106,0.1016 ± 0.068,0.1211 ± 0.0706
word_count*,-0.36128072005829653,0.03984257951378822,22.2904 ± 5.6561,25.0026 ± 11.6014
