feature,mi_score
std_word_length,0.10745674402200134
sadness,0.07309473321370952
hedge_D_count,0.0594065945954545
doubt_verbs_count,0.05557049035372286
pronoun_ratio,0.05071110704271109
avg_word_length,0.04508459229186457
fear,0.04142821534762908
stopword_ratio,0.04012985957522153
joy,0.039626642265064405
readability_score,0.0360065115180499
type_token_ratio,0.0345776516955949
certainty_adverbs_count,0.031806596419374555
verb_ratio,0.029142011807475665
adj_ratio,0.027023853549019927
noun_ratio,0.02557020643301655
sentiment_polarity,0.02271926130809665
subordinate_clause_ratio,0.018982176234417114
word_count,0.01792548149488704
sentence_count,0.015481464365936448
hedges_score,0.014966941314041193
anger,0.014760719620216411
certainty_adjectives_count,0.012274372445001624
disgust,0.008628602770124116
punctuation_density,0.006800763310962354
hedge_N_count,0.00400211413020557
surprise,0.0036867766156705173
D_ratio,0.0019129220267328773
hapax_legomena,0.0
adv_ratio,0.0
sentiment_subjectivity,0.0
avg_dependency_depth,0.0
sentence_length_variation,0.0
punctuation_usage,0.0
function_word_ratio,0.0
doubt_adverbs_count,0.0
certainty_verbs_count,0.0
hedge_C_count,0.0
doubt_adjectives_count,0.0
hedge_I_count,0.0
hedge_E_count,0.0
C_ratio,0.0
E_ratio,0.0
I_ratio,0.0
N_ratio,0.0
