feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
sentence_count,0.4989109460086171,,2.1116,2.1942,2.1116 ± 1.3634,2.1942 ± 1.3231,0.07265900075435638
hedges_score,0.6290727770549234,,0.1918,0.1753,0.1918 ± 0.3784,0.1753 ± 0.3689,0.0638674646615982
disgust*,0.014477899553901304,*,0.028,0.0086,0.028 ± 0.1198,0.0086 ± 0.0275,0.05085708945989609
joy,0.14442215249666085,,0.0451,0.0664,0.0451 ± 0.147,0.0664 ± 0.1736,0.04887181892991066
hedge_C_count,0.06007258167631321,,22.657,20.8471,22.657 ± 11.5073,20.8471 ± 9.5268,0.04125327989459038
hapax_legomena,0.7158092295878098,,0.8109,0.8066,0.8109 ± 0.1352,0.8066 ± 0.1279,0.04097801819443703
certainty_verbs_count,0.24506938642512266,,0.4711,0.3967,0.4711 ± 0.7124,0.3967 ± 0.6935,0.03771420195698738
noun_ratio,0.314641559305554,,0.3722,0.3593,0.3722 ± 0.1527,0.3593 ± 0.1279,0.033676739782094955
sentence_length_variation,0.824204245985324,,2.949,3.0208,2.949 ± 3.7303,3.0208 ± 3.364,0.031123606488108635
pronoun_ratio,0.5228668057125762,,0.0476,0.0445,0.0476 ± 0.0527,0.0445 ± 0.0515,0.03046424128115177
avg_word_length,0.24250906909477965,,4.5255,4.4348,4.5255 ± 0.8985,4.4348 ± 0.8027,0.030199265107512474
verb_ratio,0.5463725529958169,,0.1394,0.1356,0.1394 ± 0.0734,0.1356 ± 0.0615,0.029199769720435143
stopword_ratio,0.6255949573567519,,0.2784,0.2727,0.2784 ± 0.133,0.2727 ± 0.1208,0.02815856598317623
fear,0.2537020940795404,,0.4109,0.45,0.4109 ± 0.3758,0.45 ± 0.3765,0.02813355065882206
type_token_ratio,0.5038625175633729,,0.8914,0.8863,0.8914 ± 0.0857,0.8863 ± 0.0813,0.0281083844602108
function_word_ratio,0.8881880539910101,,0.3353,0.3371,0.3353 ± 0.1482,0.3371 ± 0.1373,0.027911975979804993
E_ratio*,0.03914414669481778,*,0.0016,0.004,0.0016 ± 0.0083,0.004 ± 0.0164,0.02762068808078766
punctuation_density,0.48236452187103473,,0.2995,0.3109,0.2995 ± 0.1909,0.3109 ± 0.1645,0.027158401906490326
readability_score,0.08128151791611342,,9.1545,8.5089,9.1545 ± 4.2472,8.5089 ± 3.8744,0.026652056723833084
doubt_adverbs_count,0.7579970933312222,,0.3388,0.3554,0.3388 ± 0.5769,0.3554 ± 0.6023,0.02593231201171875
anger*,0.011800248273563673,*,0.222,0.1658,0.222 ± 0.2737,0.1658 ± 0.2118,0.024143775925040245
doubt_adjectives_count,0.6744364787471777,,0.1198,0.1074,0.1198 ± 0.3254,0.1074 ± 0.3234,0.022225119173526764
sentiment_polarity,0.47930662553291903,,0.0471,0.0628,0.0471 ± 0.2435,0.0628 ± 0.2466,0.021450988948345184
surprise,0.479791395876236,,0.0682,0.0783,0.0682 ± 0.1642,0.0783 ± 0.1506,0.021401090547442436
word_count,0.22678586169192383,,28.6157,27.2025,28.6157 ± 13.8155,27.2025 ± 11.7951,0.020138774067163467
std_word_length,0.700999273031772,,3.2359,3.2688,3.2359 ± 0.9532,3.2688 ± 0.9298,0.01973630115389824
sentiment_subjectivity,0.5012029854086787,,0.3295,0.3112,0.3295 ± 0.3152,0.3112 ± 0.2814,0.018304521217942238
punctuation_usage,0.7869930025271858,,0.0792,0.0807,0.0792 ± 0.0627,0.0807 ± 0.0609,0.01789933256804943
adv_ratio,0.5003911356271047,,0.035,0.0377,0.035 ± 0.0418,0.0377 ± 0.0474,0.017798302695155144
subordinate_clause_ratio,0.07334643121043817,,0.0563,0.048,0.0563 ± 0.0537,0.048 ± 0.047,0.015782250091433525
adj_ratio*,0.04219234548237376,*,0.0537,0.0624,0.0537 ± 0.0439,0.0624 ± 0.0493,0.015753619372844696
sadness,0.12338098704475123,,0.129,0.1004,0.129 ± 0.2304,0.1004 ± 0.1739,0.014453869313001633
certainty_adjectives_count,0.630699059811926,,0.3058,0.3306,0.3058 ± 0.5739,0.3306 ± 0.5599,0.01373034156858921
hedge_N_count,0.8399112360671677,,0.1116,0.1198,0.1116 ± 0.482,0.1198 ± 0.4151,0.010658961720764637
hedge_D_count,0.050603040606799876,,0.1033,0.0496,0.1033 ± 0.3668,0.0496 ± 0.2175,0.010271977633237839
C_ratio,0.18385851249340282,,0.991,0.9879,0.991 ± 0.0231,0.9879 ± 0.0283,0.005710301920771599
certainty_adverbs_count,0.5297129633366011,,0.1901,0.1653,0.1901 ± 0.4428,0.1653 ± 0.4243,
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
doubt_verbs_count,0.20197059759514124,,0.0124,0.0289,0.0124 ± 0.1109,0.0289 ± 0.1679,
hedge_I_count,0.10193471093185988,,0.0,0.0165,0.0 ± 0.0,0.0165 ± 0.1569,
hedge_E_count,0.14726711937429787,,0.0413,0.0744,0.0413 ± 0.2193,0.0744 ± 0.2783,
D_ratio,0.10471521634893255,,0.0043,0.0022,0.0043 ± 0.017,0.0022 ± 0.0104,
I_ratio,0.15481819131413735,,0.0,0.0007,0.0 ± 0.0,0.0007 ± 0.0072,
N_ratio,0.150102821642005,,0.0031,0.0052,0.0031 ± 0.0127,0.0052 ± 0.0188,
