feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
doubt_adjectives_count,0.4111131371251101,,0.1322,0.1074,0.1322 ± 0.3394,0.1074 ± 0.3234,0.07471213489770889
C_ratio,0.7185879412971308,,0.9888,0.9879,0.9888 ± 0.027,0.9879 ± 0.0283,0.05807722359895706
E_ratio,0.9416568579688864,,0.0041,0.004,0.0041 ± 0.0169,0.004 ± 0.0164,0.046130407601594925
avg_word_length*,5.7283936462590905e-06,*,4.8015,4.4348,4.8015 ± 0.9496,4.4348 ± 0.8027,0.041738394647836685
stopword_ratio*,0.00047343511235002536,*,0.2316,0.2727,0.2316 ± 0.1359,0.2727 ± 0.1208,0.03772486746311188
anger*,1.0544617917026636e-06,*,0.2794,0.1658,0.2794 ± 0.2879,0.1658 ± 0.2118,0.03578055649995804
word_count,0.211267195935996,,25.8388,27.2025,25.8388 ± 12.1684,27.2025 ± 11.7951,0.034841667860746384
joy*,0.0024005298380152607,*,0.0275,0.0664,0.0275 ± 0.0963,0.0664 ± 0.1736,0.034387148916721344
certainty_verbs_count,0.7995905511928099,,0.3802,0.3967,0.3802 ± 0.7373,0.3967 ± 0.6935,0.03343421593308449
sentiment_subjectivity,0.6948260303333682,,0.3008,0.3112,0.3008 ± 0.303,0.3112 ± 0.2814,0.03300541639328003
hedges_score,0.6843229411443494,,0.1891,0.1753,0.1891 ± 0.3772,0.1753 ± 0.3689,0.03190365061163902
sentence_length_variation,0.4676179240602675,,2.7932,3.0208,2.7932 ± 3.5206,3.0208 ± 3.364,0.030261170119047165
noun_ratio*,0.0010835383983546988,*,0.4009,0.3593,0.4009 ± 0.1494,0.3593 ± 0.1279,0.029952730983495712
verb_ratio*,0.0010488227799714345,*,0.1165,0.1356,0.1165 ± 0.0663,0.1356 ± 0.0615,0.029342278838157654
sentiment_polarity,0.14806281877100153,,0.0307,0.0628,0.0307 ± 0.2417,0.0628 ± 0.2466,0.028570592403411865
fear,0.17473900705037596,,0.4038,0.45,0.4038 ± 0.3719,0.45 ± 0.3765,0.02836667187511921
sentence_count*,0.011818707229370597,*,1.9132,2.1942,1.9132 ± 1.1142,2.1942 ± 1.3231,0.026036616414785385
hedge_D_count,0.45378147866793384,,0.0661,0.0496,0.0661 ± 0.2651,0.0496 ± 0.2175,0.025475075468420982
doubt_adverbs_count,0.3062170193992357,,0.3017,0.3554,0.3017 ± 0.5503,0.3554 ± 0.6023,0.024864131584763527
punctuation_density*,0.00048812577989861656,*,0.3683,0.3109,0.3683 ± 0.1941,0.3109 ± 0.1645,0.024318506941199303
function_word_ratio*,7.907665705828504e-06,*,0.2773,0.3371,0.2773 ± 0.1538,0.3371 ± 0.1373,0.023978572338819504
N_ratio,0.3882973123712512,,0.0038,0.0052,0.0038 ± 0.0153,0.0052 ± 0.0188,0.023821162059903145
type_token_ratio,0.07719332625167112,,0.8995,0.8863,0.8995 ± 0.0821,0.8863 ± 0.0813,0.02313784882426262
sadness,0.1771739681592679,,0.124,0.1004,0.124 ± 0.2088,0.1004 ± 0.1739,0.021617187187075615
subordinate_clause_ratio,0.8293349141228488,,0.0471,0.048,0.0471 ± 0.0487,0.048 ± 0.047,0.021280793473124504
disgust,0.2858699014744739,,0.0145,0.0086,0.0145 ± 0.0814,0.0086 ± 0.0275,0.019725222140550613
punctuation_usage,0.9656703966486471,,0.0809,0.0807,0.0809 ± 0.0654,0.0807 ± 0.0609,0.018773436546325684
std_word_length*,0.0005990960022904943,*,3.5717,3.2688,3.5717 ± 0.9981,3.2688 ± 0.9298,0.01781582273542881
hedge_C_count,0.24663937555175108,,19.8017,20.8471,19.8017 ± 10.2869,20.8471 ± 9.5268,0.017657874152064323
pronoun_ratio*,0.02258169969831188,*,0.0344,0.0445,0.0344 ± 0.0462,0.0445 ± 0.0515,0.01757081411778927
surprise*,0.032348867825019445,*,0.0527,0.0783,0.0527 ± 0.1084,0.0783 ± 0.1506,0.017122160643339157
readability_score*,0.00024638031347868527,*,9.8931,8.5089,9.8931 ± 4.3558,8.5089 ± 3.8744,0.014277519658207893
adj_ratio,0.818640601557856,,0.0634,0.0624,0.0634 ± 0.0509,0.0624 ± 0.0493,0.013551757670938969
hapax_legomena,0.10159332562934537,,0.8258,0.8066,0.8258 ± 0.1305,0.8066 ± 0.1279,0.011713859625160694
adv_ratio*,0.01313161883280796,*,0.0279,0.0377,0.0279 ± 0.0395,0.0377 ± 0.0474,0.011276539415121078
certainty_adjectives_count,0.2208291285262249,,0.2686,0.3306,0.2686 ± 0.5524,0.3306 ± 0.5599,0.010114681906998158
certainty_adverbs_count,0.3799872235271614,,0.2025,0.1653,0.2025 ± 0.5034,0.1653 ± 0.4243,0.0040258863009512424
hedge_N_count,0.772686409032727,,0.1322,0.1198,0.1322 ± 0.5224,0.1198 ± 0.4151,0.0036154231056571007
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
doubt_verbs_count,0.36123170322527587,,0.0165,0.0289,0.0165 ± 0.1278,0.0289 ± 0.1679,
hedge_E_count,0.8749531796390757,,0.0785,0.0744,0.0785 ± 0.2987,0.0744 ± 0.2783,
hedge_I_count,0.2559908404621418,,0.0041,0.0165,0.0041 ± 0.0643,0.0165 ± 0.1569,
D_ratio,0.45361372157284596,,0.0031,0.0022,0.0031 ± 0.0132,0.0022 ± 0.0104,
I_ratio,0.3334347727254514,,0.0002,0.0007,0.0002 ± 0.0028,0.0007 ± 0.0072,
