feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
doubt_adjectives_count,1.0,,0.1084,0.1084,0.1084 ± 0.3113,0.1084 ± 0.3211,0.07904668152332306
hedges_score,0.857499424189072,,0.1492,0.1444,0.1492 ± 0.346,0.1444 ± 0.3387,0.07160446047782898
fear*,0.0001390416299700285,*,0.2444,0.3527,0.2444 ± 0.3367,0.3527 ± 0.3803,0.05211813002824783
sentiment_polarity,0.06255340029260423,,0.0625,0.0299,0.0625 ± 0.2446,0.0299 ± 0.1967,0.044862087815999985
joy*,4.1388660538546155e-09,*,0.1702,0.0775,0.1702 ± 0.2431,0.0775 ± 0.1376,0.0412660650908947
word_count,0.8209186606746237,,22.4551,22.6161,22.4551 ± 5.6365,22.6161 ± 11.4662,0.03831823170185089
sentence_count,0.3896343568336629,,1.517,1.582,1.517 ± 0.7614,1.582 ± 1.1237,0.03783060610294342
C_ratio,0.23274458800564587,,0.9888,0.9913,0.9888 ± 0.029,0.9913 ± 0.0234,0.03647491708397865
function_word_ratio,0.08303777976231957,,0.2619,0.2432,0.2619 ± 0.1406,0.2432 ± 0.1332,0.0360829196870327
avg_word_length*,0.0005848804325484954,*,4.7354,4.9631,4.7354 ± 0.7661,4.9631 ± 0.903,0.035290610045194626
verb_ratio*,0.001217223684165726,*,0.0949,0.1131,0.0949 ± 0.0694,0.1131 ± 0.0735,0.032749611884355545
sentence_length_variation,0.6287920798508674,,1.5217,1.6253,1.5217 ± 2.4302,1.6253 ± 2.9837,0.03237282484769821
stopword_ratio,0.2438907708896713,,0.2046,0.1937,0.2046 ± 0.1196,0.1937 ± 0.119,0.030526472255587578
anger*,9.824195878454888e-05,*,0.0755,0.131,0.0755 ± 0.1462,0.131 ± 0.2082,0.029663406312465668
disgust,0.9276959782786133,,0.0072,0.0076,0.0072 ± 0.0492,0.0076 ± 0.0531,0.029639922082424164
punctuation_density,0.9834123134782973,,0.4068,0.4071,0.4068 ± 0.1635,0.4071 ± 0.1681,0.02832568809390068
adj_ratio*,0.03530851843058596,*,0.0621,0.054,0.0621 ± 0.0472,0.054 ± 0.0503,0.02705882489681244
std_word_length,0.48942547971692985,,3.7331,3.777,3.7331 ± 0.7868,3.777 ± 0.8245,0.02696646936237812
surprise*,0.0312546614754202,*,0.1468,0.1193,0.1468 ± 0.1661,0.1193 ± 0.1575,0.026174379512667656
readability_score,0.11640809304885388,,9.445,9.938,9.445 ± 4.0645,9.938 ± 3.9033,0.02425416186451912
sentiment_subjectivity,0.20350998087311237,,0.2662,0.2353,0.2662 ± 0.3076,0.2353 ± 0.3094,0.023645371198654175
hedge_C_count,0.7572797838214597,,16.5789,16.7307,16.5789 ± 4.8897,16.7307 ± 7.3382,0.022077051922678947
subordinate_clause_ratio,0.12080204736379373,,0.0327,0.0384,0.0327 ± 0.0469,0.0384 ± 0.047,0.021210551261901855
certainty_adjectives_count*,0.0014367800790614077,*,0.2384,0.13,0.2384 ± 0.4942,0.13 ± 0.3548,0.020425625145435333
certainty_verbs_count,0.39398424541116484,,0.1641,0.195,0.1641 ± 0.4606,0.195 ± 0.4619,0.020287998020648956
pronoun_ratio,0.5581375183193217,,0.0217,0.0201,0.0217 ± 0.0334,0.0201 ± 0.0371,0.019768282771110535
noun_ratio,0.933131534896961,,0.4577,0.4568,0.4577 ± 0.1357,0.4568 ± 0.1498,0.01973627507686615
sadness,0.7490715936313337,,0.1031,0.0984,0.1031 ± 0.1955,0.0984 ± 0.1787,0.01930336095392704
hapax_legomena,0.44580105273944415,,0.8397,0.8478,0.8397 ± 0.1333,0.8478 ± 0.1352,0.01726306974887848
type_token_ratio,0.3013648159608854,,0.9062,0.9132,0.9062 ± 0.087,0.9132 ± 0.0846,0.01681317202746868
doubt_adverbs_count,0.3895695336326862,,0.1827,0.2136,0.1827 ± 0.4179,0.2136 ± 0.493,0.016004987061023712
punctuation_usage,0.7150743968241722,,0.0824,0.084,0.0824 ± 0.0535,0.084 ± 0.0569,0.013596009463071823
adv_ratio,0.2740558112154753,,0.0232,0.0202,0.0232 ± 0.0363,0.0202 ± 0.0332,0.009241817519068718
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
certainty_adverbs_count,0.2607648611456957,,0.1207,0.0898,0.1207 ± 0.3952,0.0898 ± 0.297,
doubt_verbs_count,0.24445152919183089,,0.0248,0.0124,0.0248 ± 0.1557,0.0124 ± 0.1108,
hedge_D_count,0.8444343108433583,,0.0402,0.0433,0.0402 ± 0.1968,0.0433 ± 0.2039,
hedge_E_count,0.5579090834295555,,0.0681,0.0805,0.0681 ± 0.2643,0.0805 ± 0.2725,
hedge_I_count,0.7630570338940974,,0.0062,0.0093,0.0062 ± 0.0786,0.0093 ± 0.1669,
hedge_N_count,0.09049927980711422,,0.0774,0.0372,0.0774 ± 0.3483,0.0372 ± 0.2464,
D_ratio,0.9614068067342609,,0.0022,0.0022,0.0022 ± 0.0111,0.0022 ± 0.0115,
E_ratio,0.9496351050065868,,0.0048,0.0049,0.0048 ± 0.02,0.0049 ± 0.0182,
I_ratio,0.809653886000546,,0.0002,0.0002,0.0002 ± 0.0032,0.0002 ± 0.0033,
N_ratio*,0.03180373509483246,*,0.0039,0.0014,0.0039 ± 0.0191,0.0014 ± 0.0094,
