target,text,stance,dataset,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,type,label
entertainment,"As Disney leads the race to acquire much of Twenty-First Century Fox's media empire, Britain pushes back date for f… https://t.co/tHXUWkmjSt",1,wtwt,25.0,1.0,4.8,3.4641016151377544,1.0,1.0,0.2,0.32,0.4,0.12,0.12,0.04,0.0,1.0,0.3846153846153846,0.04,11.5,0.0,0.12,0.1,0.1,0.0386600568890571,0.0240748450160026,0.0763845816254615,0.0599624849855899,0.0017592071089893,0.1585830301046371,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
entertainment,"This is nothing new, Disney is starting a new Streaming service in 2019, another reason for the purchase of Fox’s m… https://t.co/d7W3EWFX47",1,wtwt,28.0,1.0,4.25,3.48081476504732,0.8928571428571429,0.7857142857142857,0.3214285714285714,0.25,0.3571428571428571,0.1428571428571428,0.1071428571428571,0.0,0.0,1.0,0.4230769230769231,0.0357142857142857,10.7,0.0,0.0357142857142857,0.0909090909090909,0.3363636363636363,0.0146602466702461,0.1148173883557319,0.0092473104596138,0.0096816923469305,0.0014071324840188,0.2929292321205139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,(Reuters) - Health insurer Anthem Inc is close to finalizing negotiations to acquire peer Cigna Inc and could announce a roughly $48,1,wtwt,25.0,1.0,4.44,2.9810065414218734,0.92,0.84,0.2,0.16,0.32,0.16,0.04,0.04,0.0,1.0,0.24,0.0,11.5,0.0,0.0,-0.1,0.4,0.0158264897763729,0.5418495535850525,0.0178863983601331,0.0189202632755041,0.0032028981950134,0.1324225664138794,0.0,0.0,0.0,1.0,0.0,0.0,0.9551942944526672,21.0,0.0,1.0,0.0,0.0,0.9545454545454546,0.0,0.0454545454545454,0.0,0.0,,1
healthcare,Anthem reveals $54-billion bid for Cigna after merger talks break down http://t.co/ogiH1ifnaX,1,wtwt,15.0,1.0,5.466666666666667,3.774770044504551,1.0,1.0,0.2,0.4666666666666667,0.4666666666666667,0.1333333333333333,0.0666666666666666,0.0,0.0,1.0,0.2,0.0666666666666666,10.3,0.0,0.1333333333333333,-0.1555555555555555,0.2888888888888889,0.0499130599200725,0.0187957305461168,0.0107206478714942,0.796316921710968,0.0036260692868381,0.0733732655644416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Joe Biden,"@JoeBiden is out of his element with this #Democrat #socialist party unless he has become socialist too$$, there wouldn't be a place for JFK in this party now",1,pstance,35.0,1.0,3.742857142857143,2.3463388763026067,0.8571428571428571,0.7142857142857143,0.4571428571428571,0.2,0.2,0.1142857142857142,0.0857142857142857,0.0857142857142857,0.0571428571428571,1.0,0.59375,0.0,13.872857142857146,0.0,0.0857142857142857,0.0,0.0,0.4642120003700256,0.03932736068964,0.4314507246017456,0.0507710427045822,0.000737793801818,0.0100242607295513,0.0,0.0,0.0,1.0,0.0,0.0,0.9416652321815492,26.0,0.0,0.0,0.0,2.0,0.9285714285714286,0.0,0.0,0.0,0.0714285714285714,test,0
Donald Trump,"Immediately following @realDonaldTrump's #LexingtonRally join the Monday Night #LionelNation #Conspiratorium #LiveStream anent Trump's utter and incalculable magnificence and how he'll utterly destroy what's left of the #Dems, marching to victory again!",1,pstance,43.0,1.0,5.186046511627907,4.082041292553976,0.813953488372093,0.7209302325581395,0.2325581395348837,0.2790697674418604,0.3255813953488372,0.1395348837209302,0.0232558139534883,0.0697674418604651,0.0232558139534883,1.0,0.3333333333333333,0.0232558139534883,22.38387096774193,0.0,0.0465116279069767,-0.04,0.36,0.0078970128670334,0.0025496622547507,0.9863508343696594,0.0016314001986756,0.000464749551611,0.0006577894673682,2.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
Joe Biden,That entry (i.e. 3)) will be counted as #JoeBiden is simultaneously a Harvey Weinstein Democrat and a Jeffrey Epstein Democrat. #BidensBoundaries,1,pstance,28.0,3.0,4.464285714285714,3.9953736000631577,0.8214285714285714,0.6428571428571429,0.2857142857142857,0.2857142857142857,0.3571428571428571,0.1071428571428571,0.0,0.0357142857142857,0.0,1.0,0.2962962962962963,0.1071428571428571,10.419285714285714,7.118052168020874,0.0357142857142857,0.0,0.0,0.0416108258068561,0.0195982083678245,0.1857289969921112,0.0443663075566291,0.0035932667087763,0.2295274287462234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
healthcare,CVS to test stores with added health services early next year after Aetna deal closes https://t.co/iI4DmJ6l4B,1,wtwt,18.0,1.0,5.222222222222222,3.2413226990699604,1.0,1.0,0.1666666666666666,0.2777777777777778,0.5,0.1666666666666666,0.0555555555555555,0.0555555555555555,0.0,1.0,0.25,0.0555555555555555,9.5,0.0,0.1111111111111111,0.05,0.15,0.0165887232869863,0.0338172763586044,0.0785520076751709,0.0589151941239833,0.0015450215432792,0.2927832007408142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
healthcare,Anthem &amp; CIGNA Enter Into Definitive Acquisition... https://t.co/XUwPVtI7Fw,1,wtwt,13.0,1.0,5.538461538461538,4.465515468830767,1.0,1.0,0.0769230769230769,0.7692307692307693,0.6923076923076923,0.0,0.0,0.0,0.0,1.0,0.0909090909090909,0.3076923076923077,18.2,0.0,0.0,0.0,0.0,0.012215900234878,0.3978771567344665,0.0109154358506202,0.0288723465055227,0.0015681837685406,0.1927502751350402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,"CVS, Aetna expect their roughly $69 billion deal to close within days. Excited to be part of #TeamCVS https://t.co/Fly69brZQa",1,wtwt,25.0,2.0,4.28,3.35284953435134,0.96,0.92,0.2,0.36,0.32,0.16,0.0,0.04,0.04,1.0,0.3043478260869565,0.08,7.0,2.5,0.08,0.1375,0.575,0.0164440348744392,0.1857459843158722,0.709976315498352,0.0086006857454776,0.0003772736235987,0.06503626704216,0.0,0.0,1.0,0.0,0.0,0.0,0.9508294463157654,18.0,1.0,0.0,0.0,0.0,0.9473684210526316,0.0526315789473684,0.0,0.0,0.0,,1
