feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
C_ratio,0.42827744410649204,,0.9932,0.9915,0.9932 ± 0.0212,0.9915 ± 0.0221,0.09945642948150635
adv_ratio,0.183172934790188,,0.0244,0.0292,0.0244 ± 0.0333,0.0292 ± 0.0365,0.07510466873645782
joy*,1.2614089833021042e-05,*,0.2139,0.1112,0.2139 ± 0.2536,0.1112 ± 0.1993,0.06299615651369095
certainty_adjectives_count,0.14526081648254122,,0.3679,0.2746,0.3679 ± 0.732,0.2746 ± 0.5023,0.052330244332551956
hedges_score,0.29634376706275234,,0.1333,0.1698,0.1333 ± 0.3265,0.1698 ± 0.3583,0.04461780935525894
punctuation_usage,0.36085805472249166,,0.0796,0.0851,0.0796 ± 0.0586,0.0851 ± 0.0591,0.03911368548870087
noun_ratio,0.33009636331697434,,0.4203,0.4052,0.4203 ± 0.1606,0.4052 ± 0.1433,0.038364820182323456
anger,0.13210875031227912,,0.0947,0.1271,0.0947 ± 0.1861,0.1271 ± 0.2332,0.037021271884441376
adj_ratio*,0.034021151211718455,*,0.0503,0.0607,0.0503 ± 0.0482,0.0607 ± 0.0478,0.031701672822237015
disgust*,0.02325683071352786,*,0.0021,0.0182,0.0021 ± 0.005,0.0182 ± 0.098,0.029856223613023758
avg_word_length,0.49118678638201907,,4.704,4.6443,4.704 ± 0.8882,4.6443 ± 0.8124,0.029709534719586372
sentiment_polarity*,0.004955892201645942,*,0.1363,0.065,0.1363 ± 0.2531,0.065 ± 0.2426,0.02873697690665722
surprise,0.20162055161368583,,0.1219,0.1437,0.1219 ± 0.1372,0.1437 ± 0.1934,0.02870822884142399
fear,0.43242265204480956,,0.3104,0.3401,0.3104 ± 0.3614,0.3401 ± 0.3807,0.028537053614854813
sentence_count,0.5960700132743351,,1.8031,1.8653,1.8031 ± 1.2044,1.8653 ± 1.0957,0.02837131917476654
function_word_ratio,0.1600427222835005,,0.2873,0.3074,0.2873 ± 0.1491,0.3074 ± 0.1308,0.028183413669466972
hedge_C_count,0.9197367760417233,,20.3005,20.1969,20.3005 ± 10.9265,20.1969 ± 9.1903,0.027052074670791626
type_token_ratio,0.27769048897306015,,0.8935,0.9025,0.8935 ± 0.0858,0.9025 ± 0.0757,0.026867059990763664
subordinate_clause_ratio,0.4852742059333415,,0.0401,0.0434,0.0401 ± 0.0462,0.0434 ± 0.048,0.026768526062369347
sadness,0.4552065175901703,,0.0696,0.0821,0.0696 ± 0.1581,0.0821 ± 0.1702,0.02673470228910446
stopword_ratio,0.2405986292005501,,0.2331,0.2479,0.2331 ± 0.1357,0.2479 ± 0.1104,0.026331279426813126
word_count,0.9489391215123022,,26.1606,26.2383,26.1606 ± 12.8679,26.2383 ± 10.8774,0.02526017092168331
punctuation_density,0.4096237653729151,,0.3562,0.3419,0.3562 ± 0.1725,0.3419 ± 0.1662,0.02523615211248398
verb_ratio,0.5988802974007545,,0.1122,0.116,0.1122 ± 0.0714,0.116 ± 0.0737,0.02292499504983425
readability_score,0.9633185804635134,,9.5441,9.5627,9.5441 ± 3.9275,9.5627 ± 3.99,0.02215130254626274
std_word_length,0.8536329304969524,,3.5517,3.5676,3.5517 ± 0.7945,3.5676 ± 0.8992,0.020052749663591385
sentence_length_variation,0.23993150100837696,,2.3275,2.7655,2.3275 ± 3.4096,2.7655 ± 3.8857,0.019313957542181015
hapax_legomena,0.40871842384817136,,0.815,0.8263,0.815 ± 0.1413,0.8263 ± 0.1275,0.01570744998753071
pronoun_ratio,0.7199882855637512,,0.0312,0.0297,0.0312 ± 0.0457,0.0297 ± 0.0373,0.011582941748201847
doubt_adverbs_count*,0.017231947600080465,*,0.2228,0.3679,0.2228 ± 0.497,0.3679 ± 0.6804,0.010802345350384712
sentiment_subjectivity,0.39465849406915043,,0.2968,0.3226,0.2968 ± 0.2979,0.3226 ± 0.2965,0.010404837317764759
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
certainty_adverbs_count,0.8923623505758269,,0.1295,0.1347,0.1295 ± 0.3803,0.1347 ± 0.3715,
doubt_verbs_count,0.6536210045812599,,0.0104,0.0155,0.0104 ± 0.1015,0.0155 ± 0.124,
doubt_adjectives_count,0.2118022313064221,,0.114,0.1606,0.114 ± 0.3186,0.1606 ± 0.4084,
certainty_verbs_count,0.939383101108616,,0.3161,0.3212,0.3161 ± 0.6836,0.3212 ± 0.6538,
hedge_D_count,0.5872494635062642,,0.0311,0.0415,0.0311 ± 0.174,0.0415 ± 0.1998,
hedge_E_count,0.8624750819376301,,0.0674,0.0725,0.0674 ± 0.3072,0.0725 ± 0.2794,
hedge_I_count,0.31794022953781903,,0.0052,0.0,0.0052 ± 0.072,0.0 ± 0.0,
hedge_N_count,0.24055612247426345,,0.0466,0.0881,0.0466 ± 0.2756,0.0881 ± 0.4051,
D_ratio,0.9003447697505044,,0.002,0.0019,0.002 ± 0.0119,0.0019 ± 0.0095,
E_ratio,0.9707332849225098,,0.0033,0.0033,0.0033 ± 0.0164,0.0033 ± 0.0132,
I_ratio,0.317940229537819,,0.0002,0.0,0.0002 ± 0.0027,0.0 ± 0.0,
N_ratio,0.08667232156345438,,0.0012,0.0033,0.0012 ± 0.0071,0.0033 ± 0.0147,
