feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
hedges_score,0.8760863712820868,,0.1579,0.1607,0.1579 ± 0.3518,0.1607 ± 0.3534,0.041620589792728424
E_ratio,0.9827268008072365,,0.0042,0.0042,0.0042 ± 0.0181,0.0042 ± 0.0165,0.03569179028272629
hedge_N_count,0.5846352713497509,,0.0871,0.0765,0.0871 ± 0.3986,0.0765 ± 0.3516,0.0354798324406147
sentiment_polarity,0.07463478119980761,,0.0711,0.0493,0.0711 ± 0.2489,0.0493 ± 0.2259,0.03413750231266022
certainty_adverbs_count,0.24503237815162313,,0.1491,0.1253,0.1491 ± 0.4303,0.1253 ± 0.3618,0.033551279455423355
stopword_ratio,0.05913073753557023,,0.2205,0.2327,0.2205 ± 0.1297,0.2327 ± 0.1224,0.03187587112188339
C_ratio,0.8091475139496827,,0.9899,0.9902,0.9899 ± 0.0266,0.9902 ± 0.0248,0.031854722648859024
joy*,1.865472596025776e-07,*,0.1358,0.0826,0.1358 ± 0.2241,0.0826 ± 0.1674,0.031544532626867294
subordinate_clause_ratio,0.1405879619389657,,0.0392,0.0428,0.0392 ± 0.0477,0.0428 ± 0.0474,0.03062598407268524
type_token_ratio,0.80579808519493,,0.9008,0.9019,0.9008 ± 0.0852,0.9019 ± 0.0821,0.028600169345736504
punctuation_density*,0.014898821677987294,*,0.3816,0.3598,0.3816 ± 0.1772,0.3598 ± 0.1716,0.027955278754234314
readability_score,0.2743309026950096,,9.6133,9.3862,9.6133 ± 4.1253,9.3862 ± 3.96,0.027894562110304832
sadness,0.500127763331609,,0.1012,0.0949,0.1012 ± 0.1921,0.0949 ± 0.175,0.027783412486314774
certainty_adjectives_count,0.06653347650215297,,0.281,0.2309,0.281 ± 0.5828,0.2309 ± 0.4747,0.027691494673490524
function_word_ratio*,0.027779929158914054,*,0.2733,0.2895,0.2733 ± 0.1473,0.2895 ± 0.14,0.02765291929244995
word_count,0.3524155797488254,,24.4789,25.0026,24.4789 ± 10.2816,25.0026 ± 11.6014,0.02737128920853138
adj_ratio,0.6526039292675092,,0.0595,0.0584,0.0595 ± 0.0489,0.0584 ± 0.0494,0.02713715098798275
anger,0.7024472734578403,,0.1455,0.1411,0.1455 ± 0.2297,0.1411 ± 0.2163,0.027094490826129913
pronoun_ratio,0.3211219842928533,,0.0282,0.0304,0.0282 ± 0.0415,0.0304 ± 0.0435,0.02663055807352066
doubt_adverbs_count*,0.014905651627528688,*,0.2309,0.2982,0.2309 ± 0.4857,0.2982 ± 0.5845,0.026622004806995392
noun_ratio*,0.021340476412927974,*,0.43,0.4125,0.43 ± 0.1487,0.4125 ± 0.1474,0.026455746963620186
surprise,0.803356308794175,,0.1104,0.1124,0.1104 ± 0.148,0.1124 ± 0.1671,0.02635505050420761
avg_word_length,0.43004351898546733,,4.7485,4.7133,4.7485 ± 0.8592,4.7133 ± 0.8786,0.026211736723780632
sentence_count*,0.020677182146037705,*,1.7164,1.8496,1.7164 ± 1.0203,1.8496 ± 1.2114,0.02617211826145649
verb_ratio*,3.6860154480458735e-05,*,0.1062,0.1211,0.1062 ± 0.0695,0.1211 ± 0.0706,0.02613057754933834
punctuation_usage,0.5089482519334663,,0.0812,0.0832,0.0812 ± 0.0588,0.0832 ± 0.0587,0.025938192382454872
hapax_legomena,0.9805169742979076,,0.829,0.8291,0.829 ± 0.1347,0.8291 ± 0.132,0.025357302278280258
certainty_verbs_count,0.5296738027118846,,0.2718,0.2916,0.2718 ± 0.6253,0.2916 ± 0.6001,0.024718323722481728
fear*,0.00034032771140542835,*,0.3121,0.3806,0.3121 ± 0.3606,0.3806 ± 0.3817,0.024717506021261215
sentiment_subjectivity,0.8328355648999255,,0.285,0.2818,0.285 ± 0.3037,0.2818 ± 0.2997,0.024711262434720993
sentence_length_variation,0.17391045551772458,,2.1329,2.3611,2.1329 ± 3.1169,2.3611 ± 3.4104,0.02439941093325615
std_word_length,0.10368034281906047,,3.6354,3.5614,3.6354 ± 0.8647,3.5614 ± 0.9037,0.023769496008753777
disgust,0.4382738916200458,,0.0083,0.0106,0.0083 ± 0.0563,0.0106 ± 0.0624,0.02336137183010578
adv_ratio,0.11626968985690787,,0.025,0.0281,0.025 ± 0.0367,0.0281 ± 0.0397,0.023299362510442734
hedge_C_count,0.40920972415727597,,18.5554,18.9274,18.5554 ± 8.7795,18.9274 ± 8.7676,0.018944909796118736
doubt_adjectives_count,0.8178466844635336,,0.1174,0.1214,0.1174 ± 0.3221,0.1214 ± 0.3464,0.01593007519841194
D_ratio,0.6369093133789613,,0.0024,0.0022,0.0024 ± 0.012,0.0022 ± 0.0107,0.004712065681815147
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
hedge_D_count,0.9034586063552489,,0.0462,0.0449,0.0462 ± 0.2162,0.0449 ± 0.2071,
doubt_verbs_count,1.0,,0.0185,0.0185,0.0185 ± 0.1347,0.0185 ± 0.1347,
hedge_E_count,0.7149075581128775,,0.0712,0.0765,0.0712 ± 0.2865,0.0765 ± 0.2758,
hedge_I_count,0.4907084024996706,,0.0053,0.0092,0.0053 ± 0.0725,0.0092 ± 0.1405,
I_ratio,0.6922011653097879,,0.0002,0.0003,0.0002 ± 0.0029,0.0003 ± 0.0046,
N_ratio,0.854340228558178,,0.0032,0.0031,0.0032 ± 0.0156,0.0031 ± 0.0144,
