index,confidence_score,actual_outcome
0,0.27403080182711426,Correct
1,0.2868708274781275,Correct
2,0.14975403340636612,Correct
3,0.2868708274781275,Correct
4,0.2337643482763338,Correct
5,0.22751481492335218,Correct
6,0.2394338449160233,Correct
7,0.1495921705131863,Correct
8,0.24915907753780764,Correct
9,0.2068553444025015,Correct
10,0.20993155288132903,Correct
11,0.1913565964939473,Correct
12,0.21222210285644655,Correct
13,0.24015626781127195,Correct
14,0.2447168344064044,Correct
15,0.23312749736829647,Correct
16,0.22042116124893624,Correct
17,0.16755241522193048,Correct
18,0.13899747836022647,Correct
19,0.19125408070686395,Correct
20,0.2903733215141283,Correct
21,0.19435890330867944,Correct
22,0.1755553378107997,Correct
23,0.2635481769380661,Correct
24,0.302486750059247,Correct
25,0.29376093514044505,Correct
26,0.2677192115926104,Correct
27,0.21222210285644655,Correct
28,0.26298534775529825,Correct
29,0.19446141909576278,Correct
30,0.25880737382483715,Correct
31,0.2264448268013528,Correct
32,0.2068633120006628,Correct
33,0.2930043426414497,Correct
34,0.13714496479652075,Correct
35,0.23147861200616243,Correct
36,0.15820068487927458,Correct
37,0.2819793299148718,Correct
38,0.30256939089270796,Correct
39,0.17370740038599006,Correct
40,0.2557677111502305,Correct
41,0.2930043426414497,Correct
42,0.26636126175596875,Correct
43,0.29625780065820406,Correct
44,0.28189323153033863,Correct
45,0.1471705552833034,Correct
46,0.1441361913008755,Correct
47,0.2683022248358837,Correct
48,0.2567527327941466,Correct
49,0.1989752418472628,Correct
50,0.24887263023890793,Misclassified
51,0.26701997975277136,Correct
52,0.20965161537558505,Correct
53,0.32996550335156444,Correct
54,0.26700492096863837,Correct
55,0.16271272980148282,Correct
56,0.24533797085633774,Correct
57,0.18900011245289566,Correct
58,0.22240491990377573,Correct
59,0.2252608466693839,Correct
60,0.18898488276727776,Correct
61,0.12687790893583248,Correct
62,0.22047885354723878,Correct
63,0.2854818239508726,Correct
64,0.23332891536514824,Correct
65,0.2599940988942954,Correct
66,0.21492603837882163,Correct
67,0.15747933095564803,Misclassified
68,0.2917326822628959,Correct
69,0.2508832154688421,Correct
70,0.26077382598981197,Correct
71,0.15953758164586715,Correct
72,0.2061714113087621,Correct
73,0.2417932856666845,Correct
74,0.1363758410973085,Misclassified
75,0.195006082720566,Correct
76,0.2084489896097284,Correct
77,0.24360454367334095,Correct
78,0.20355430560753004,Correct
79,0.19210493505471118,Correct
80,0.22831183160643534,Correct
81,0.18268879924503076,Correct
82,0.19382456818772545,Correct
83,0.13697777254337679,Correct
84,0.3100499911137116,Correct
85,0.23953550368513313,Correct
86,0.3202041608114608,Correct
87,0.19554041784152,Correct
88,0.17685033330786443,Correct
89,0.20481192995513736,Correct
90,0.19651866590862085,Correct
91,0.2767823148196734,Correct
92,0.2401656036644595,Correct
93,0.2669729442188309,Correct
94,0.21745560811605694,Correct
95,0.2748666060074128,Correct
96,0.2592159870122995,Correct
97,0.30545320295705464,Correct
98,0.24022029379684606,Correct
99,0.2252608466693839,Correct
100,0.31426214446956086,Correct
101,0.30611726094935454,Correct
102,0.2713103382080154,Correct
103,0.3003382543019717,Correct
104,0.26700492096863837,Correct
105,0.2099681346024783,Correct
106,0.2515250320370176,Correct
107,0.2400756614841987,Correct
108,0.28247522308252304,Correct
109,0.258669463297496,Correct
110,0.30611726094935454,Correct
111,0.23791163541049123,Correct
112,0.21222210285644655,Correct
113,0.3101554636104045,Correct
114,0.26689944847194547,Correct
115,0.16401795547821735,Correct
116,0.21539201174134673,Correct
117,0.15820068487927458,Correct
118,0.285146689547093,Correct
119,0.2068633120006628,Correct
120,0.22751481492335218,Correct
121,0.22397109588011505,Correct
122,0.20532277735269305,Correct
123,0.24577332044926567,Correct
124,0.16089296818328613,Correct
125,0.29056489239535443,Correct
126,0.2616189330677132,Correct
127,0.1767478175207811,Correct
128,0.27403080182711426,Correct
129,0.2768680641177638,Correct
130,0.2729592953924922,Correct
131,0.18129738968665204,Correct
132,0.24086211036502148,Correct
133,0.21944825999840922,Correct
134,0.2099681346024783,Correct
135,0.17596136863995832,Correct
136,0.18900011245289566,Correct
137,0.15487750707478437,Correct
138,0.21043806425640782,Correct
139,0.2076497608814855,Correct
140,0.17370740038599006,Correct
141,0.19142135391613121,Correct
142,0.31929076943320783,Correct
143,0.25514769168854157,Correct
144,0.20076600223260774,Correct
145,0.13094279728589084,Correct
146,0.19457475583847897,Correct
147,0.28647966214271914,Correct
148,0.24291264298144027,Correct
149,0.2492710637830493,Correct
150,0.18900011245289566,Correct
151,0.2641654632338485,Correct
152,0.29261341346133357,Correct
153,0.23393450868563312,Correct
154,0.25272645022530604,Correct
155,0.25972713248375334,Correct
156,0.14275956382759014,Correct
157,0.1915340182126079,Correct
158,0.16260404995852643,Correct
159,0.31009536713435726,Correct
160,0.24073098045495014,Correct
161,0.26924955336941914,Correct
162,0.18900011245289566,Correct
163,0.25579970416639386,Correct
164,0.2376921799665675,Correct
165,0.17449384926681283,Correct
166,0.23384456650537233,Correct
167,0.22246457569630035,Correct
168,0.26546524333864213,Correct
169,0.2595885961318209,Correct
170,0.2716099010265699,Correct
171,0.26779136984946106,Correct
172,0.23523597606375102,Correct
173,0.2819793299148718,Correct
174,0.2511867725953098,Correct
175,0.2888407544643199,Correct
176,0.24308746449600172,Correct
177,0.28183479456758614,Correct
178,0.13931310477001335,Correct
179,0.14438994169517616,Correct
180,0.2718667757534068,Correct
181,0.1618717669606639,Correct
182,0.17370740038599006,Correct
183,0.28937058478725364,Correct
184,0.14358495449040978,Correct
185,0.29056489239535443,Correct
186,0.1622884235487395,Correct
187,0.20352303618384204,Correct
188,0.24641513701744114,Correct
189,0.2252608466693839,Correct
190,0.1866300044669205,Correct
191,0.2530204149674549,Correct
192,0.2531580889631856,Correct
193,0.2252608466693839,Correct
194,0.27269782923148805,Correct
195,0.21777212734295018,Correct
196,0.2579775626055953,Correct
197,0.23721973471859056,Correct
198,0.17370740038599006,Correct
199,0.23445624896823447,Correct
200,0.2662233512286276,Correct
201,0.2698687290409746,Correct
202,0.31861315679889984,Correct
203,0.27997650102698923,Correct
204,0.20196807820383667,Correct
205,0.15059203770211443,Correct
206,0.27259235673479515,Correct
207,0.2811779192152778,Correct
208,0.2401656036644595,Correct
209,0.3077071712110229,Correct
210,0.17370740038599006,Correct
211,0.2508832154688421,Correct
212,0.1311965476801915,Correct
213,0.2068633120006628,Correct
214,0.23791163541049123,Correct
215,0.20625201763583534,Correct
216,0.2861452464967391,Correct
217,0.18978656133371846,Correct
218,0.21207486578934906,Correct
219,0.19540597384968267,Correct
