feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.057833215532866245,0.029503103345632553,0.9905 ± 0.0269,0.9913 ± 0.0234
D_ratio,-0.10844547873678159,0.0,0.0018 ± 0.0103,0.0022 ± 0.0115
E_ratio,0.15963478181292554,0.0,0.0057 ± 0.0218,0.0049 ± 0.0182
I_ratio,-0.11226126098286503,0.0,0.0003 ± 0.0048,0.0002 ± 0.0033
N_ratio,-0.026232225533746732,0.0,0.0018 ± 0.0115,0.0014 ± 0.0094
adj_ratio,0.03203447659074308,0.028909560292959213,0.0574 ± 0.0543,0.054 ± 0.0503
adv_ratio,0.11156452559490469,0.028631193563342094,0.0196 ± 0.0345,0.0202 ± 0.0332
anger*,-0.38373463232409283,0.03689853474497795,0.0731 ± 0.1527,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length,-0.47567395181111555,0.024461334571242332,4.901 ± 1.0927,4.9631 ± 0.903
certainty_adjectives_count,0.12470696790440296,0.084475077688694,0.1858 ± 0.4127,0.13 ± 0.3548
certainty_adverbs_count,0.046963172503788765,0.018964525312185287,0.1176 ± 0.3591,0.0898 ± 0.297
certainty_verbs_count,-0.010328846862689412,0.01916736178100109,0.1548 ± 0.4397,0.195 ± 0.4619
disgust,-0.052299645854173675,0.030352290719747543,0.0042 ± 0.019,0.0076 ± 0.0531
doubt_adjectives_count,-0.09106533193469328,0.01218260359019041,0.0836 ± 0.2772,0.1084 ± 0.3211
doubt_adverbs_count,0.0002956157578927064,0.03443281725049019,0.1858 ± 0.4347,0.2136 ± 0.493
doubt_verbs_count*,0.1857342289365612,0.03520471230149269,0.0402 ± 0.1968,0.0124 ± 0.1108
fear,-0.23689586480521732,0.02815716713666916,0.3043 ± 0.363,0.3527 ± 0.3803
function_word_ratio,-0.018303129012313905,0.03483917936682701,0.2249 ± 0.1394,0.2432 ± 0.1332
hapax_legomena,0.17419321583260622,0.01423014048486948,0.8386 ± 0.13,0.8478 ± 0.1352
hedge_C_count*,-0.1730341617416516,0.030258040875196457,15.4861 ± 4.8553,16.7307 ± 7.3382
hedge_D_count,0.19900534519530333,0.0,0.0341 ± 0.198,0.0433 ± 0.2039
hedge_E_count,-0.2059470868322965,0.0,0.0774 ± 0.3004,0.0805 ± 0.2725
hedge_I_count,-0.11226126098286505,0.0,0.0062 ± 0.1113,0.0093 ± 0.1669
hedge_N_count,0.07828296500421739,0.0,0.0372 ± 0.2335,0.0372 ± 0.2464
hedges_score,0.04834307490975222,0.006762133911252022,0.1364 ± 0.3318,0.1444 ± 0.3387
joy*,0.06663817454735432,0.03748800978064537,0.1145 ± 0.1891,0.0775 ± 0.1376
noun_ratio,0.08972450972495605,0.019278744235634804,0.4741 ± 0.1389,0.4568 ± 0.1498
pronoun_ratio,0.03303902571680176,0.02639899030327797,0.0172 ± 0.0307,0.0201 ± 0.0371
punctuation_density*,0.17833800429065588,0.01850944571197033,0.4576 ± 0.2173,0.4071 ± 0.1681
punctuation_usage,-0.08571066467414089,0.028092747554183006,0.086 ± 0.0699,0.084 ± 0.0569
readability_score,-0.004739303862601064,0.024288645014166832,9.9347 ± 4.4372,9.938 ± 3.9033
sadness,-0.0803103887299681,0.021998245269060135,0.0836 ± 0.1518,0.0984 ± 0.1787
sentence_count*,-0.06795972386776022,0.017097920179367065,1.418 ± 0.6607,1.582 ± 1.1237
sentence_length_variation*,-0.008716451457189444,0.02127857692539692,1.1907 ± 2.1713,1.6253 ± 2.9837
sentiment_polarity,-0.007463029081090206,0.047949131578207016,0.0466 ± 0.1772,0.0299 ± 0.1967
sentiment_subjectivity,-0.03971279165575883,0.022840591147542,0.2213 ± 0.285,0.2353 ± 0.3094
std_word_length,0.32565227163687516,0.0201735757291317,3.942 ± 1.3999,3.777 ± 0.8245
stopword_ratio,0.1467530760228506,0.03709777072072029,0.1781 ± 0.1199,0.1937 ± 0.119
subordinate_clause_ratio*,0.06223354711007081,0.019881848245859146,0.0306 ± 0.0471,0.0384 ± 0.047
surprise,-0.23634857087044114,0.032132092863321304,0.1402 ± 0.1596,0.1193 ± 0.1575
type_token_ratio,-0.15984381292056463,0.027130402624607086,0.9068 ± 0.0808,0.9132 ± 0.0846
verb_ratio*,-0.42206634062686,0.03931468352675438,0.0833 ± 0.0731,0.1131 ± 0.0735
word_count,0.0199267514590208,0.04161882773041725,21.3622 ± 6.0064,22.6161 ± 11.4662
